Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
625,Márton Dárdai,GER,DF,Hertha BSC,Bundesliga,18,2002,12,9,821,9.1,0,1,0,0,0,0,0,0.0,0.11,0.11,0.0,0.11,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
626,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,29,1990,27,24,1903,21.1,1,6,1,0,0,5,1,0.05,0.28,0.33,0.05,0.33,1.4,1.4,5.8,7.2,0.07,0.27,0.34,0.07,0.34,Matches
627,Karl Darlow,ENG,GK,Newcastle Utd,Premier League,29,1990,25,25,2250,25.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
628,Matteo Darmian,ITA,DF,Inter,Serie A,30,1989,26,14,1160,12.9,3,3,3,0,0,4,0,0.23,0.23,0.47,0.23,0.47,1.2,1.2,1.5,2.7,0.1,0.12,0.21,0.1,0.21,Matches
629,Matteo Darmian,ITA,DF,Parma,Serie A,30,1989,3,2,208,2.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
630,Jonathan David,CAN,FW,Lille,Ligue 1,20,2000,37,29,2354,26.2,13,2,13,0,0,0,0,0.5,0.08,0.57,0.5,0.57,9.8,9.8,3.1,13.0,0.38,0.12,0.5,0.38,0.5,Matches
631,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,19,2000,23,22,1763,19.6,1,2,1,0,0,2,1,0.05,0.1,0.15,0.05,0.15,0.2,0.2,0.8,1.0,0.01,0.04,0.05,0.01,0.05,Matches
632,Ben Davies,WAL,DF,Tottenham,Premier League,27,1993,20,14,1346,15.0,0,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,Matches
633,Tom Davies,ENG,MF,Everton,Premier League,22,1998,25,17,1423,15.8,0,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,1.0,1.1,0.01,0.06,0.07,0.01,0.07,Matches
634,Keinan Davis,ENG,"FW,MF",Aston Villa,Premier League,22,1998,15,1,277,3.1,1,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,1.0,1.0,0.5,1.5,0.34,0.16,0.49,0.34,0.49,Matches
635,Leif Davis,ENG,DF,Leeds United,Premier League,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
636,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,25,1995,30,22,1860,20.7,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1.4,0.06,0.0,0.07,0.06,0.07,Matches
637,Craig Dawson,ENG,DF,West Ham,Premier League,30,1990,22,22,1925,21.4,3,0,3,0,0,5,1,0.14,0.0,0.14,0.14,0.14,1.7,1.7,0.0,1.7,0.08,0.0,0.08,0.08,0.08,Matches
638,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,29,1991,25,23,1997,22.2,6,12,4,2,3,1,0,0.27,0.54,0.81,0.18,0.72,9.7,7.5,10.2,17.6,0.44,0.46,0.9,0.34,0.79,Matches
639,Sebastien De Maio,FRA,DF,Udinese,Serie A,33,1987,15,9,853,9.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03,Matches
640,Rodrigo De Paul,ARG,MF,Udinese,Serie A,26,1994,36,36,3201,35.6,9,9,6,3,3,5,2,0.25,0.25,0.51,0.17,0.42,6.6,4.3,10.0,14.3,0.18,0.28,0.47,0.12,0.4,Matches
641,Mattia De Sciglio,ITA,DF,Juventus,Serie A,27,1992,1,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
642,Mattia De Sciglio,ITA,DF,Lyon,Ligue 1,27,1992,29,14,1467,16.3,0,1,0,0,0,4,1,0.0,0.06,0.06,0.0,0.06,0.1,0.1,1.5,1.6,0.01,0.09,0.1,0.01,0.1,Matches
643,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,32,1988,29,25,2143,23.8,2,0,2,0,0,4,0,0.08,0.0,0.08,0.08,0.08,2.3,2.3,0.9,3.2,0.1,0.04,0.13,0.1,0.13,Matches
644,Thibault De Smet,BEL,DF,Reims,Ligue 1,22,1998,8,6,496,5.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.08,0.08,0.0,0.08,Matches
645,Lucas Deaux,FRA,"MF,DF",Nîmes,Ligue 1,31,1988,25,19,1754,19.5,1,2,1,0,0,4,1,0.05,0.1,0.15,0.05,0.15,0.9,0.9,1.0,1.9,0.05,0.05,0.1,0.05,0.1,Matches
646,Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,35,1985,26,25,2103,23.4,2,1,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,2.6,2.6,1.7,4.3,0.11,0.07,0.18,0.11,0.18,Matches
647,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,Serie A,29,1991,28,14,1337,14.9,3,3,3,0,0,1,0,0.2,0.2,0.4,0.2,0.4,2.8,2.8,1.3,4.1,0.19,0.09,0.28,0.19,0.28,Matches
648,Alessandro Deiola,ITA,MF,Spezia,Serie A,24,1995,12,4,360,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.05,0.1,0.15,0.05,0.15,Matches
649,Alessandro Deiola,ITA,MF,Cagliari,Serie A,24,1995,12,7,615,6.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.5,0.02,0.05,0.08,0.02,0.08,Matches
650,Romain Del Castillo,FRA,"MF,FW",Rennes,Ligue 1,24,1996,26,5,652,7.2,0,5,0,0,0,2,0,0.0,0.69,0.69,0.0,0.69,1.2,1.2,2.2,3.4,0.17,0.3,0.47,0.17,0.47,Matches
651,Lorenzo Del Pinto,ITA,MF,Benevento,Serie A,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
652,Thomas Delaine,FRA,DF,Metz,Ligue 1,28,1992,24,19,1779,19.8,3,2,3,0,0,4,0,0.15,0.1,0.25,0.15,0.25,1.1,1.1,0.8,1.9,0.06,0.04,0.1,0.06,0.1,Matches
653,Thomas Delaney,DEN,MF,Dortmund,Bundesliga,28,1991,20,14,1286,14.3,1,1,1,0,0,6,0,0.07,0.07,0.14,0.07,0.14,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches
654,Liam Delap,ENG,FW,Manchester City,Premier League,17,2003,1,0,40,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
655,Jonathan Delaplace,FRA,DF,Lorient,Ligue 1,34,1986,18,9,906,10.1,0,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,0.2,0.2,1.6,1.8,0.02,0.16,0.18,0.02,0.18,Matches
656,Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18,2002,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
657,Cristian Dell'Orco,ITA,DF,Spezia,Serie A,26,1994,8,2,262,2.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03,Matches
658,Andy Delort,ALG,FW,Montpellier,Ligue 1,28,1991,30,30,2482,27.6,15,9,15,0,1,4,0,0.54,0.33,0.87,0.54,0.87,10.8,10.1,5.9,16.0,0.39,0.21,0.61,0.37,0.58,Matches
659,Fabian Delph,ENG,"MF,DF",Everton,Premier League,30,1989,8,2,266,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
660,Moussa Dembélé,FRA,"FW,MF",Atlético Madrid,La Liga,24,1996,5,0,100,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1,0.92,0.02,0.95,0.92,0.95,Matches
661,Moussa Dembélé,FRA,FW,Lyon,Ligue 1,24,1996,16,6,677,7.5,1,0,1,0,0,3,0,0.13,0.0,0.13,0.13,0.13,3.8,3.8,0.7,4.5,0.51,0.09,0.59,0.51,0.59,Matches
662,Ousmane Dembélé,FRA,"FW,DF",Barcelona,La Liga,23,1997,30,19,1774,19.7,6,3,6,0,0,2,0,0.3,0.15,0.46,0.3,0.46,5.6,5.6,4.9,10.6,0.29,0.25,0.54,0.29,0.54,Matches
663,Merih Demiral,TUR,DF,Juventus,Serie A,22,1998,15,10,940,10.4,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,0.7,0.7,0.1,0.8,0.07,0.01,0.07,0.07,0.07,Matches
664,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,27,1993,29,20,1744,19.4,4,3,4,0,0,2,0,0.21,0.15,0.36,0.21,0.36,2.4,2.4,2.6,5.0,0.12,0.13,0.26,0.12,0.26,Matches
665,Ermedin Demirović,BIH,FW,Freiburg,Bundesliga,22,1998,30,19,1498,16.6,5,6,5,0,0,7,0,0.3,0.36,0.66,0.3,0.66,4.7,4.7,3.1,7.8,0.28,0.19,0.47,0.28,0.47,Matches
666,Diego Demme,GER,MF,Napoli,Serie A,28,1991,24,20,1590,17.7,2,3,2,0,0,6,0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.6,3.0,0.08,0.09,0.17,0.08,0.17,Matches
667,Jason Denayer,BEL,DF,Lyon,Ligue 1,25,1995,31,31,2614,29.0,1,0,1,0,0,1,0,0.03,0.0,0.03,0.03,0.03,0.5,0.5,0.0,0.5,0.02,0.0,0.02,0.02,0.02,Matches
668,Leander Dendoncker,BEL,"MF,DF",Wolves,Premier League,25,1995,33,28,2503,27.8,1,0,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04,3.3,3.3,0.7,4.0,0.12,0.03,0.14,0.12,0.14,Matches
669,Kevin Denkey,TOG,FW,Nîmes,Ligue 1,19,2000,10,6,524,5.8,1,1,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34,1.8,1.8,0.6,2.3,0.31,0.1,0.4,0.31,0.4,Matches
670,Emmanuel Dennis,NGA,FW,Köln,Bundesliga,22,1997,9,6,474,5.3,0,1,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19,0.6,0.6,1.2,1.7,0.1,0.22,0.33,0.1,0.33,Matches
671,Stefano Denswil,NED,DF,Bologna,Serie A,27,1993,5,1,115,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
672,Fabio Depaoli,ITA,DF,Benevento,Serie A,23,1997,15,14,1120,12.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.02,0.03,0.05,0.02,0.05,Matches
673,Fabio Depaoli,ITA,MF,Sampdoria,Serie A,23,1997,2,1,77,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.18,0.07,0.25,0.18,0.25,Matches
674,Fabio Depaoli,ITA,DF,Atalanta,Serie A,23,1997,5,3,191,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.07,0.07,0.0,0.07,Matches
675,Memphis Depay,NED,FW,Lyon,Ligue 1,26,1994,37,33,2923,32.5,20,12,12,8,8,4,0,0.62,0.37,0.99,0.37,0.74,17.7,11.6,13.7,25.3,0.55,0.42,0.97,0.36,0.78,Matches
676,Clément Depres,FRA,MF,Nîmes,Ligue 1,25,1994,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
677,Mike van der Hoorn,NED,DF,Arminia,Bundesliga,27,1992,22,15,1356,15.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
678,Kastriot Dermaku,ALB,DF,Parma,Serie A,28,1992,2,1,100,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
679,Kiril Despodov,BUL,FW,Cagliari,Serie A,23,1996,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
680,Sergiño Dest,USA,DF,Barcelona,La Liga,19,2000,30,23,1886,21.0,2,1,2,0,0,1,0,0.1,0.05,0.14,0.1,0.14,2.5,2.5,2.6,5.0,0.12,0.12,0.24,0.12,0.24,Matches
681,Mattia Destro,ITA,FW,Genoa,Serie A,29,1991,29,22,1606,17.8,11,1,11,0,0,5,0,0.62,0.06,0.67,0.62,0.67,6.8,6.8,0.6,7.5,0.38,0.04,0.42,0.38,0.42,Matches
682,Gerard Deulofeu,ESP,FW,Udinese,Serie A,26,1994,13,7,598,6.6,1,1,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3,1.3,1.3,1.1,2.3,0.19,0.16,0.35,0.19,0.35,Matches
683,Deyverson,BRA,FW,Alavés,La Liga,29,1991,27,11,874,9.7,1,3,1,0,0,4,0,0.1,0.31,0.41,0.1,0.41,1.8,1.8,1.6,3.3,0.18,0.16,0.34,0.18,0.34,Matches
684,Jacopo Dezi,ITA,"FW,MF",Parma,Serie A,28,1992,2,1,79,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.05,0.18,0.24,0.05,0.24,Matches
685,Samuel Di Carmine,ITA,FW,Hellas Verona,Serie A,31,1988,11,6,500,5.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.7,0.28,0.02,0.3,0.28,0.3,Matches
686,Samuel Di Carmine,ITA,FW,Crotone,Serie A,31,1988,11,6,475,5.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.08,0.0,0.08,0.08,0.08,Matches
687,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,26,1993,36,36,3240,36.0,3,6,3,0,0,11,0,0.08,0.17,0.25,0.08,0.25,3.8,3.8,4.7,8.5,0.11,0.13,0.24,0.11,0.24,Matches
688,Ángel Di María,ARG,"FW,MF",Paris S-G,Ligue 1,32,1988,27,23,1853,20.6,5,9,5,0,0,1,0,0.24,0.44,0.68,0.24,0.68,5.1,5.1,10.6,15.7,0.25,0.52,0.76,0.25,0.76,Matches
689,Alessandro Di Pardo,ITA,"MF,DF",Juventus,Serie A,21,1999,4,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
690,Giuseppe Di Serio,ITA,"FW,MF",Benevento,Serie A,19,2001,16,1,292,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.7,0.19,0.01,0.2,0.19,0.2,Matches
691,Boulaye Dia,SEN,"FW,MF",Reims,Ligue 1,23,1996,36,35,2930,32.6,14,1,9,5,5,2,0,0.43,0.03,0.46,0.28,0.31,13.2,9.4,1.8,11.1,0.41,0.05,0.46,0.29,0.34,Matches
692,Abdoulay Diaby,MLI,MF,Getafe,La Liga,29,1991,1,0,18,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,1.69,0.53,2.22,1.69,2.22,Matches
693,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,21,1999,32,28,2388,26.5,4,11,4,0,0,5,0,0.15,0.41,0.57,0.15,0.57,5.6,5.6,6.8,12.5,0.21,0.26,0.47,0.21,0.47,Matches
694,Mbaye Diagne,SEN,FW,West Brom,Premier League,28,1991,16,14,1189,13.2,3,2,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,5.0,5.0,1.7,6.7,0.38,0.13,0.51,0.38,0.51,Matches
695,Mouctar Diakhaby,FRA,DF,Valencia,La Liga,23,1996,26,24,2079,23.1,1,0,1,0,0,4,1,0.04,0.0,0.04,0.04,0.04,1.1,1.1,0.0,1.1,0.05,0.0,0.05,0.05,0.05,Matches
696,Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,24,1996,22,17,1490,16.6,0,1,0,0,0,3,2,0.0,0.06,0.06,0.0,0.06,0.3,0.3,0.5,0.7,0.02,0.03,0.04,0.02,0.04,Matches
697,Amad Diallo,CIV,FW,Manchester Utd,Premier League,18,2002,3,2,166,1.8,0,1,0,0,0,0,0,0.0,0.54,0.54,0.0,0.54,0.0,0.0,0.5,0.5,0.02,0.26,0.29,0.02,0.29,Matches
698,Amad Diallo,CIV,MF,Atalanta,Serie A,18,2002,1,0,14,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.54,0.73,0.2,0.73,Matches
699,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,25,1995,32,27,2322,25.8,9,3,8,1,1,2,0,0.35,0.12,0.47,0.31,0.43,7.2,6.4,3.2,9.6,0.28,0.12,0.4,0.25,0.37,Matches
700,Habib Diallo,SEN,FW,Metz,Ligue 1,25,1995,4,1,143,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.24,0.21,0.45,0.24,0.45,Matches
701,Ibrahima Diallo,FRA,MF,Southampton,Premier League,21,1999,22,10,1020,11.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.2,0.05,0.05,0.1,0.05,0.1,Matches
702,Ibrahima Diallo,FRA,MF,Brest,Ligue 1,21,1999,5,5,440,4.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.08,0.08,0.0,0.08,Matches
703,Amadou Diambo,GHA,FW,Benevento,Serie A,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
704,Grady Diangana,ENG,"MF,FW",West Brom,Premier League,22,1998,20,15,1235,13.7,1,0,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.09,0.01,0.1,0.09,0.1,Matches
705,Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,21,1998,13,2,197,2.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.05,0.14,0.19,0.05,0.19,Matches
706,Raphael Dias Belloli,BRA,MF,Leeds United,Premier League,23,1996,30,26,2360,26.2,6,9,6,0,0,3,0,0.23,0.34,0.57,0.23,0.57,6.0,6.0,8.1,14.1,0.23,0.31,0.54,0.23,0.54,Matches
707,Raphael Dias Belloli,BRA,"FW,MF",Rennes,Ligue 1,23,1996,6,5,404,4.5,1,2,1,0,0,0,0,0.22,0.45,0.67,0.22,0.67,1.2,1.2,1.0,2.2,0.27,0.23,0.5,0.27,0.5,Matches
708,Rúben Dias,POR,DF,Manchester City,Premier League,23,1997,32,32,2843,31.6,1,0,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0.0,0.08,0.07,0.08,Matches
709,Krepin Diatta,SEN,"MF,DF",Monaco,Ligue 1,21,1999,12,3,389,4.3,1,0,1,0,0,3,0,0.23,0.0,0.23,0.23,0.23,0.5,0.5,0.1,0.6,0.12,0.02,0.14,0.12,0.14,Matches
710,Amadou Diawara,GUI,MF,Roma,Serie A,23,1997,18,7,658,7.3,1,0,1,0,0,4,1,0.14,0.0,0.14,0.14,0.14,1.1,1.1,0.6,1.7,0.15,0.08,0.24,0.15,0.24,Matches
711,Brahim Díaz,ESP,"MF,FW",Milan,Serie A,20,1999,27,15,1228,13.6,4,3,4,0,0,2,0,0.29,0.22,0.51,0.29,0.51,3.3,3.3,1.6,4.9,0.24,0.12,0.36,0.24,0.36,Matches
712,Víctor Díaz,ESP,DF,Granada,La Liga,32,1988,17,7,828,9.2,0,2,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06,Matches
713,Daniel Didavi,GER,"FW,MF",Stuttgart,Bundesliga,30,1990,23,10,970,10.8,4,3,4,0,0,2,0,0.37,0.28,0.65,0.37,0.65,3.2,3.2,3.0,6.2,0.29,0.28,0.58,0.29,0.58,Matches
714,Eric Dier,ENG,DF,Tottenham,Premier League,26,1994,28,28,2520,28.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,0.03,0.0,0.03,0.03,0.03,Matches
715,Daan Dierckx,BEL,DF,Parma,Serie A,17,2003,7,6,471,5.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
716,Lucas Digne,FRA,DF,Everton,Premier League,27,1993,30,30,2681,29.8,0,7,0,0,0,2,1,0.0,0.23,0.23,0.0,0.23,0.6,0.6,5.4,6.0,0.02,0.18,0.2,0.02,0.2,Matches
717,Virgil van Dijk,NED,DF,Liverpool,Premier League,29,1991,5,5,370,4.1,1,0,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.0,0.08,0.08,0.08,Matches
718,Mitchell Dijks,NED,DF,Bologna,Serie A,27,1993,20,18,1481,16.5,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.02,0.0,0.02,Matches
719,Javairô Dilrosun,NED,"FW,MF",Hertha BSC,Bundesliga,22,1998,12,5,529,5.9,0,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,0.8,0.8,0.4,1.2,0.13,0.06,0.2,0.13,0.2,Matches
720,Federico Dimarco,ITA,DF,Hellas Verona,Serie A,22,1997,35,29,2613,29.0,5,3,5,0,0,6,0,0.17,0.1,0.28,0.17,0.28,2.3,2.3,6.6,9.0,0.08,0.23,0.31,0.08,0.31,Matches
721,Tristan Dingomé,CMR,MF,Reims,Ligue 1,29,1991,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
722,Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,18,2001,8,1,108,1.2,1,0,1,0,0,0,1,0.83,0.0,0.83,0.83,0.83,0.4,0.4,0.1,0.5,0.37,0.08,0.45,0.37,0.45,Matches
723,Sinaly Diomande,CIV,DF,Lyon,Ligue 1,19,2001,27,10,1133,12.6,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.2,0.08,0.02,0.1,0.08,0.1,Matches
724,Lois Diony,FRA,FW,Angers,Ligue 1,27,1992,36,20,1749,19.4,5,1,4,1,1,2,0,0.26,0.05,0.31,0.21,0.26,4.3,3.5,1.3,4.9,0.22,0.07,0.29,0.18,0.25,Matches
725,Issa Diop,FRA,DF,West Ham,Premier League,23,1997,18,15,1381,15.3,2,0,2,0,0,3,0,0.13,0.0,0.13,0.13,0.13,0.3,0.3,0.0,0.3,0.02,0.0,0.02,0.02,0.02,Matches
726,Papakouli Diop,SEN,MF,Eibar,La Liga,34,1986,33,28,2324,25.8,1,1,1,0,0,9,2,0.04,0.04,0.08,0.04,0.08,1.9,1.9,1.1,3.0,0.07,0.04,0.12,0.07,0.12,Matches
727,Sofiane Diop,FRA,"MF,FW",Monaco,Ligue 1,20,2000,32,24,2023,22.5,7,1,7,0,0,4,0,0.31,0.04,0.36,0.31,0.36,4.4,4.4,2.3,6.7,0.19,0.1,0.3,0.19,0.3,Matches
728,Andy Diouf,FRA,FW,Rennes,Ligue 1,18,2002,1,0,12,0.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
729,Yehvann Diouf,FRA,GK,Reims,Ligue 1,20,1999,2,1,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
730,Assane Dioussé,SEN,DF,Saint-Étienne,Ligue 1,22,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
731,Axel Disasi,FRA,DF,Monaco,Ligue 1,22,1998,29,24,2011,22.3,3,0,3,0,0,4,2,0.13,0.0,0.13,0.13,0.13,2.3,2.3,0.4,2.7,0.1,0.02,0.12,0.1,0.12,Matches
732,Tiago Djaló,POR,DF,Lille,Ligue 1,20,2000,17,8,873,9.7,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.02,0.02,0.0,0.02,Matches
733,Djené,TOG,DF,Getafe,La Liga,28,1991,34,34,2941,32.7,0,1,0,0,0,8,2,0.0,0.03,0.03,0.0,0.03,0.2,0.2,0.1,0.3,0.01,0.0,0.01,0.01,0.01,Matches
734,Moussa Djenepo,MLI,MF,Southampton,Premier League,22,1998,27,15,1240,13.8,1,0,1,0,0,5,0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11,Matches
735,Koffi Djidji,CIV,DF,Crotone,Serie A,27,1992,20,16,1524,16.9,1,0,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches
736,Alexander Djiku,GHA,"DF,MF",Strasbourg,Ligue 1,25,1994,30,29,2552,28.4,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.5,2.2,0.06,0.02,0.08,0.06,0.08,Matches
737,Berat Djimsiti,ALB,DF,Atalanta,Serie A,27,1993,33,28,2625,29.2,0,3,0,0,0,8,0,0.0,0.1,0.1,0.0,0.1,2.1,2.1,2.2,4.3,0.07,0.07,0.15,0.07,0.15,Matches
738,Marko Dmitrović,SRB,GK,Eibar,La Liga,28,1992,35,35,3120,34.7,1,0,0,1,2,0,0,0.03,0.0,0.03,0.0,0.0,1.6,0.1,0.5,0.6,0.05,0.01,0.06,0.0,0.02,Matches
739,Ritsu Doan,JPN,"MF,FW",Arminia,Bundesliga,22,1998,34,33,2768,30.8,5,2,5,0,0,1,0,0.16,0.07,0.23,0.16,0.23,5.2,5.0,3.3,8.4,0.17,0.11,0.28,0.16,0.27,Matches
