Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
153,Óscar Aranda,ESP,FW,Real Madrid,La Liga,18,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
154,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,21,1669,79,54.5,18.5,20,82,13,1,21,2,1.19,21,24,-3,-0.16,-1.26,24.6,24.0,0.6,0.03,-0.37,Matches
155,Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,28,1496,53,43.7,16.6,17,74,2,11,21,2,2.18,33,6,27,1.62,0.97,23.7,10.6,13.1,0.79,0.31,Matches
156,Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,33,2426,74,70.9,27.0,26,86,21,7,29,3,1.39,35,38,-3,-0.11,-0.2,31.7,34.3,-2.6,-0.1,-0.17,Matches
157,Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,24,1510,63,44.2,16.8,16,80,12,8,29,5,2.33,34,16,18,1.07,-0.29,34.5,15.6,18.9,1.12,0.16,Matches
158,Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,34,2807,83,82.1,31.2,30,90,30,4,27,0,0.79,23,46,-23,-0.74,-0.74,35.1,38.2,-3.1,-0.1,0.23,Matches
159,Roberto Olabe del Arco,ESP,MF,Eibar,La Liga,24,1996,0,0,0,0.0,0.0,0,0,0,0,0,13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
160,Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36,3240,90,94.7,36.0,36,90,36,0,0,2,0.78,27,48,-21,-0.58,1.92,39.4,50.0,-10.6,-0.29,0.64,Matches
161,Simone Aresti,ITA,GK,Cagliari,Serie A,34,1986,0,0,0,0.0,0.0,0,0,0,0,0,35,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
162,Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1992,1,90,90,2.9,1.0,1,90,1,0,0,0,1.0,1,1,0,0.0,-0.42,1.4,0.8,0.5,0.54,0.35,Matches
163,Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,1994,13,294,23,8.6,3.3,2,55,0,11,17,5,0.92,3,9,-6,-1.84,-1.12,4.3,7.5,-3.2,-0.98,-0.4,Matches
164,Unai Arietaleanizbeaskoa,ESP,"FW,MF",Eibar,La Liga,21,1999,4,47,12,1.4,0.5,0,0,0,4,12,12,0.0,0,1,-1,-1.91,-1.33,0.5,1.1,-0.6,-1.23,-1.11,Matches
165,Amir Arli,TUR,MF,Dijon,Ligue 1,17,2003,0,0,0,0.0,0.0,0,0,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
166,Nicolò Armini,ITA,DF,Lazio,Serie A,19,2001,1,5,5,0.1,0.1,0,0,0,1,5,22,0.0,0,0,0,0.0,-0.16,0.0,0.3,-0.3,-4.51,-4.84,Matches
167,Stuart Armstrong,SCO,MF,Southampton,Premier League,28,1992,33,2764,84,80.8,30.7,32,86,21,1,13,1,1.24,39,56,-17,-0.55,0.0,33.7,44.7,-11.0,-0.36,-0.23,Matches
168,Alex Arnofoli,ITA,DF,Bologna,Serie A,17,2003,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
169,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,1994,30,2585,86,84.5,28.7,30,86,23,0,0,0,1.87,53,30,23,0.8,0.61,43.2,33.0,10.2,0.36,0.89,Matches
170,Toluwalas Arokodare,NGA,FW,Köln,Bundesliga,19,2000,10,112,11,3.7,1.2,0,0,0,10,11,7,0.6,3,4,-1,-0.8,-0.04,2.0,1.4,0.6,0.47,0.98,Matches
171,Sergio Arribas,ESP,"FW,DF",Real Madrid,La Liga,18,2001,8,135,17,3.9,1.5,0,0,0,8,17,4,2.13,3,0,3,2.0,1.01,1.4,0.4,1.0,0.64,-0.03,Matches
172,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,7,585,84,17.1,6.5,6,90,6,1,45,28,1.14,9,8,1,0.15,-0.51,10.8,9.2,1.7,0.26,-0.68,Matches
173,Tolgay Arslan,GER,MF,Udinese,Serie A,29,1990,30,1818,61,53.2,20.2,25,69,3,5,19,3,1.2,23,20,3,0.15,1.22,23.8,23.1,0.6,0.03,0.58,Matches
