Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1047,Nicolò Fagioli,ITA,MF,Juventus,Serie A,19,2001,1,21,21,0.6,0.2,0,0,0,1,21,16,3.0,0,0,0,0.0,-1.03,0.7,0.3,0.4,1.57,0.62,Matches
1048,Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,31,1988,22,1876,85,61.3,20.8,22,85,20,0,0,2,0.55,18,50,-32,-1.54,0.67,17.8,41.3,-23.5,-1.13,0.21,Matches
1049,Romain Faivre,FRA,"MF,FW",Brest,Ligue 1,22,1998,36,2891,80,84.5,32.1,33,86,19,3,22,0,1.11,40,58,-18,-0.56,-0.9,39.8,47.3,-7.5,-0.23,-0.09,Matches
1050,Simon Falette,GUI,DF,Eint Frankfurt,Bundesliga,28,1992,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1051,Fali,ESP,"DF,MF",Cádiz,La Liga,26,1993,34,2637,78,77.1,29.3,29,87,23,5,25,2,1.24,28,44,-16,-0.55,0.14,26.6,43.3,-16.7,-0.57,-0.08,Matches
1052,Boubacar Fall,SEN,GK,Saint-Étienne,Ligue 1,19,2001,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1053,Oussama Falouh,MAR,DF,Angers,Ligue 1,21,1999,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1054,Iago Falque,ESP,"FW,MF",Torino,Serie A,30,1990,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1055,Iago Falque,ESP,"MF,FW",Benevento,Serie A,30,1990,11,358,33,10.5,4.0,4,60,0,7,17,6,0.55,6,7,-1,-0.25,0.75,5.5,9.1,-3.7,-0.92,-0.31,Matches
1056,Andri Fannar Baldursson,ISL,MF,Bologna,Serie A,18,2002,8,217,27,6.3,2.4,1,64,0,7,22,28,0.5,4,6,-2,-0.83,-0.49,3.5,7.1,-3.6,-1.48,-1.27,Matches
1057,Paolo Faragò,ITA,DF,Bologna,Serie A,27,1993,1,23,23,0.7,0.3,0,0,0,1,23,9,0.0,1,0,1,3.91,4.31,0.9,0.7,0.2,0.81,1.12,Matches
1058,Paolo Faragò,ITA,"DF,MF",Cagliari,Serie A,27,1993,8,369,46,10.8,4.1,4,81,2,4,11,2,0.75,3,5,-2,-0.49,-0.07,5.2,10.4,-5.2,-1.26,-0.9,Matches
1059,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,28,1991,34,2891,85,84.5,32.1,33,86,28,1,45,0,1.12,34,38,-4,-0.12,-0.46,36.5,40.6,-4.1,-0.13,0.32,Matches
1060,Simone Farelli,ITA,GK,Roma,Serie A,37,1983,0,0,0,0.0,0.0,0,0,0,0,0,19,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1061,Mohamed Fares,ALG,DF,Lazio,Serie A,24,1996,21,1139,54,33.3,12.7,12,68,3,9,36,6,1.71,17,22,-5,-0.4,-0.83,17.5,16.3,1.2,0.1,-0.33,Matches
1062,Diego Farias,BRA,FW,Spezia,Serie A,30,1990,29,1514,52,44.3,16.8,17,72,5,12,24,4,1.0,28,31,-3,-0.18,0.62,23.8,31.6,-7.7,-0.46,0.24,Matches
1063,Wuilker Faríñez,VEN,GK,Lens,Ligue 1,22,1998,3,107,36,3.1,1.2,1,90,1,2,9,35,2.0,1,3,-2,-1.68,-1.76,2.0,2.4,-0.4,-0.37,-0.61,Matches
1064,Noah Fatar,FRA,"FW,MF",Angers,Ligue 1,18,2002,2,21,11,0.6,0.2,0,0,0,2,11,5,0.5,0,1,-1,-4.29,-3.84,0.1,0.3,-0.3,-1.1,-0.87,Matches
1065,Ansu Fati,ESP,FW,Barcelona,La Liga,17,2002,7,431,62,12.6,4.8,6,67,0,1,29,0,1.57,10,5,5,1.04,-0.22,8.0,5.1,2.9,0.61,-0.49,Matches
1066,Julien Faussurier,FRA,DF,Brest,Ligue 1,33,1987,17,955,56,27.9,10.6,9,88,7,8,20,12,1.0,18,19,-1,-0.09,0.45,15.4,12.6,2.8,0.27,0.67,Matches
1067,Andrea Favilli,ITA,FW,Hellas Verona,Serie A,23,1997,11,339,31,9.9,3.8,2,75,1,9,21,7,1.36,3,2,1,0.27,0.35,5.5,4.9,0.6,0.16,0.38,Matches
1068,Federico Fazio,ARG,DF,Roma,Serie A,33,1987,6,406,68,11.9,4.5,5,80,3,1,4,17,1.17,5,8,-3,-0.67,-1.05,6.8,9.5,-2.7,-0.59,-1.19,Matches
1069,Adrian Fein,GER,MF,Bayern Munich,Bundesliga,21,1999,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1070,Nabil Fekir,FRA,"MF,FW",Betis,La Liga,27,1993,33,2622,79,76.7,29.1,33,79,17,0,0,0,1.64,38,37,1,0.03,0.15,37.2,30.2,7.0,0.24,0.98,Matches
1071,Yassin Fekir,FRA,FW,Betis,La Liga,23,1997,0,0,0,0.0,0.0,0,0,0,0,0,13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1072,Felipe,BRA,DF,Atlético Madrid,La Liga,31,1989,31,2057,66,60.1,22.9,23,86,20,8,10,6,2.29,36,18,18,0.79,-0.8,28.7,21.8,6.9,0.3,-0.54,Matches
1073,Luiz Felipe,BRA,DF,Lazio,Serie A,23,1997,14,909,65,26.6,10.1,10,77,4,4,35,2,1.79,19,12,7,0.69,0.73,13.0,13.3,-0.2,-0.02,-0.47,Matches
1074,Lucas Felippe,BRA,MF,Hellas Verona,Serie A,20,2000,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1075,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,22,1997,29,2610,90,85.3,29.0,29,90,29,0,0,0,1.14,28,42,-14,-0.48,0.32,28.3,44.8,-16.5,-0.57,0.03,Matches
1076,João Félix,POR,"FW,MF",Atlético Madrid,La Liga,20,1999,31,1572,51,46.0,17.5,14,73,3,17,33,0,2.26,33,14,19,1.09,-0.03,26.8,15.2,11.6,0.67,0.27,Matches
1077,Amir Feratovič,SVN,MF,Roma,Serie A,18,2002,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1078,Zinedine Ferhat,ALG,"FW,MF",Nîmes,Ligue 1,27,1993,33,2957,90,86.5,32.9,33,90,30,0,0,0,0.97,39,61,-22,-0.67,1.08,36.5,55.0,-18.4,-0.56,0.42,Matches
1079,Erick Ferigra,ECU,DF,Torino,Serie A,21,1999,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1080,Bruno Fernandes,POR,MF,Manchester Utd,Premier League,25,1994,37,3099,84,90.6,34.4,35,87,23,2,29,0,1.92,67,36,31,0.9,1.46,55.7,36.0,19.6,0.57,1.03,Matches
1081,Edimilson Fernandes,SUI,"MF,DF",Mainz 05,Bundesliga,24,1996,14,841,60,27.5,9.3,9,79,4,5,26,3,0.64,10,17,-7,-0.75,-0.34,14.3,14.8,-0.5,-0.05,0.08,Matches
1082,Gedson Fernandes,POR,MF,Tottenham,Premier League,21,1999,0,0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1083,Matheus Fernandes,BRA,MF,Barcelona,La Liga,22,1998,0,0,0,0.0,0.0,0,0,0,0,0,23,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1084,Aitor Fernández,ESP,GK,Levante,La Liga,29,1991,29,2610,90,76.3,29.0,29,90,29,0,0,7,1.21,38,44,-6,-0.21,0.35,33.9,37.6,-3.6,-0.12,0.91,Matches
1085,Álex Fernández,ESP,MF,Cádiz,La Liga,27,1992,25,1946,78,56.9,21.6,21,86,14,4,33,0,1.16,21,29,-8,-0.37,0.48,20.8,25.7,-4.9,-0.23,0.75,Matches
1086,Álvaro Fernández,ESP,GK,Huesca,La Liga,22,1998,22,1980,90,57.9,22.0,22,90,22,0,0,16,0.91,21,32,-11,-0.5,0.0,20.8,28.4,-7.6,-0.35,-0.26,Matches
1087,Álvaro Fernández,ESP,GK,Celta Vigo,La Liga,20,2000,0,0,0,0.0,0.0,0,0,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1088,Andrés Fernández,ESP,GK,Huesca,La Liga,33,1986,16,1440,90,42.1,16.0,16,90,16,0,0,19,0.88,13,21,-8,-0.5,0.0,14.5,15.9,-1.4,-0.09,0.26,Matches
1089,Augusto Fernández,ARG,MF,Cádiz,La Liga,34,1986,12,369,31,10.8,4.1,4,65,0,8,14,11,1.5,4,9,-5,-1.22,-0.72,2.6,7.5,-4.9,-1.2,-0.73,Matches
1090,Carlos Fernández,ESP,FW,Sevilla,La Liga,24,1996,5,143,29,4.2,1.6,2,56,0,3,10,5,0.8,1,0,1,0.63,0.11,2.2,1.2,1.0,0.62,0.21,Matches
1091,Carlos Fernández,ESP,"FW,MF",Real Sociedad,La Liga,24,1996,11,390,35,11.4,4.3,4,73,0,7,14,1,1.73,8,7,1,0.23,-0.36,7.0,7.1,-0.1,-0.01,-0.72,Matches
1092,Federico Fernández,ARG,DF,Newcastle Utd,Premier League,31,1989,24,2079,87,60.8,23.1,24,87,20,0,0,3,1.33,31,38,-7,-0.3,0.3,24.8,34.9,-10.1,-0.44,-0.24,Matches
1093,Joaquín Fernández,ESP,DF,Valladolid,La Liga,24,1996,25,2073,83,60.6,23.0,24,85,20,1,28,4,0.96,23,36,-13,-0.56,0.1,23.9,31.4,-7.6,-0.33,0.15,Matches
1094,Fernandinho,BRA,MF,Manchester City,Premier League,35,1985,21,1188,57,34.7,13.2,12,85,10,9,19,11,2.38,29,10,19,1.44,0.15,22.6,11.3,11.3,0.86,-0.38,Matches
1095,Fernando,BRA,MF,Sevilla,La Liga,33,1987,31,2546,82,74.4,28.3,28,88,25,3,29,4,2.13,42,27,15,0.53,0.02,38.6,25.8,12.9,0.46,0.15,Matches
1096,Alex Ferrari,ITA,DF,Sampdoria,Serie A,26,1994,12,880,73,25.7,9.8,11,80,8,1,3,20,1.42,13,15,-2,-0.2,-0.2,11.3,13.9,-2.6,-0.26,0.02,Matches
1097,David Ferreiro,ESP,"MF,FW",Huesca,La Liga,32,1988,37,2527,68,73.9,28.1,29,80,9,8,26,1,0.89,28,34,-6,-0.21,1.1,29.5,28.6,1.0,0.03,1.04,Matches
1098,Salvador Ferrer,ESP,DF,Spezia,Serie A,22,1998,18,1190,66,34.8,13.2,14,79,10,4,22,11,1.39,24,19,5,0.38,1.39,0.0,0.0,0.0,0.0,0.0,Matches
1099,Facundo Ferreyra,ARG,FW,Celta Vigo,La Liga,29,1991,13,300,23,8.8,3.3,2,66,0,11,15,2,1.46,3,5,-2,-0.6,-0.6,2.9,4.7,-1.8,-0.54,-0.54,Matches
1100,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,28,1992,34,2577,76,75.4,28.6,31,80,14,3,30,0,1.47,47,44,3,0.1,0.64,37.8,44.0,-6.2,-0.22,1.0,Matches
1101,Will Ferry,IRL,FW,Southampton,Premier League,18,2001,0,0,0,0.0,0.0,0,0,0,0,0,16,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1102,Marco Festa,ITA,GK,Crotone,Serie A,28,1992,1,90,90,2.6,1.0,1,90,1,0,0,36,1.0,1,1,0,0.0,1.27,1.0,2.1,-1.1,-1.07,-0.2,Matches
1103,Fidel,ESP,"MF,DF",Elche,La Liga,30,1989,30,2396,80,70.1,26.6,28,83,19,2,33,0,1.0,26,31,-5,-0.19,1.22,22.1,40.0,-17.9,-0.67,0.22,Matches
1104,Sam Field,ENG,MF,West Brom,Premier League,22,1998,3,62,21,1.8,0.7,0,0,0,3,21,2,0.33,0,2,-2,-2.9,-1.86,0.1,1.5,-1.4,-2.02,-1.15,Matches
1105,Alfreð Finnbogason,ISL,FW,Augsburg,Bundesliga,31,1989,17,544,32,17.8,6.0,4,64,1,13,22,2,1.29,7,8,-1,-0.17,0.44,10.0,9.4,0.6,0.1,0.82,Matches
1106,Ryan Finnigan,ENG,MF,Southampton,Premier League,16,2003,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1107,Roberto Firmino,BRA,FW,Liverpool,Premier League,28,1991,36,2838,79,83.0,31.5,33,84,16,3,23,0,1.83,57,39,18,0.57,-0.67,61.2,39.0,22.3,0.71,-0.07,Matches
1108,Junior Firpo,ESP,DF,Barcelona,La Liga,23,1996,7,289,41,8.5,3.2,3,75,2,4,16,28,2.71,7,2,5,1.56,0.35,7.1,3.3,3.8,1.18,0.15,Matches
1109,John Fleck,SCO,MF,Sheffield Utd,Premier League,28,1991,31,2575,83,75.3,28.6,29,87,26,2,31,2,0.71,16,47,-31,-1.08,0.19,22.6,45.8,-23.2,-0.81,-0.03,Matches
1110,Mark Flekken,NED,GK,Freiburg,Bundesliga,27,1993,3,270,90,8.8,3.0,3,90,3,0,0,0,1.33,7,6,1,0.33,0.37,4.9,7.1,-2.2,-0.73,-0.55,Matches
1111,Juan Flere,ARG,GK,Cádiz,La Liga,22,1998,0,0,0,0.0,0.0,0,0,0,0,0,14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1112,Florian Flick,GER,MF,Schalke 04,Bundesliga,20,2000,4,360,90,11.8,4.0,4,90,4,0,0,1,0.75,7,10,-3,-0.75,1.18,5.5,8.2,-2.7,-0.67,0.61,Matches
1113,Alexis Flips,FRA,MF,Reims,Ligue 1,20,2000,2,43,22,1.3,0.5,0,0,0,2,22,5,0.5,1,0,1,2.09,2.33,0.1,0.8,-0.7,-1.49,-0.78,Matches
1114,Alessandro Florenzi,ITA,DF,Paris S-G,Ligue 1,29,1991,21,1538,73,45.0,17.1,18,84,10,3,7,5,2.0,35,14,21,1.23,-0.54,38.9,13.6,25.3,1.48,0.53,Matches
1115,Shane Flynn,IRL,MF,Leicester City,Premier League,18,2001,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1116,Kingsley Fobi,GHA,DF,Granada,La Liga,21,1998,1,45,45,1.3,0.5,0,0,0,1,45,0,0.0,0,0,0,0.0,0.48,0.8,1.2,-0.4,-0.75,-0.38,Matches
1117,Phil Foden,ENG,"FW,MF",Manchester City,Premier League,20,2000,28,1616,58,47.3,18.0,17,82,10,11,20,10,2.14,46,16,30,1.67,0.62,34.8,16.6,18.2,1.01,-0.17,Matches
1118,Wes Foderingham,ENG,GK,Sheffield Utd,Premier League,29,1991,0,0,0,0.0,0.0,0,0,0,0,0,25,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1119,Mamadou Fofana,MLI,"MF,DF",Metz,Ligue 1,22,1998,16,1070,67,31.3,11.9,11,83,8,5,32,21,1.31,14,15,-1,-0.08,0.03,15.3,17.8,-2.5,-0.21,0.01,Matches
1120,Seko Fofana,CIV,MF,Lens,Ligue 1,25,1995,30,2309,77,67.5,25.7,25,87,18,5,26,0,1.43,37,37,0,0.0,-0.08,36.1,35.9,0.2,0.01,-0.66,Matches
1121,Wesley Fofana,FRA,DF,Leicester City,Premier League,19,2000,28,2262,81,66.1,25.1,27,83,22,1,25,1,1.64,43,30,13,0.52,0.13,36.4,28.8,7.6,0.3,0.24,Matches
1122,Wesley Fofana,FRA,DF,Saint-Étienne,Ligue 1,19,2000,4,315,79,9.2,3.5,3,90,3,1,45,0,2.25,6,2,4,1.14,1.61,4.8,4.5,0.3,0.09,0.11,Matches
1123,Youssouf Fofana,FRA,MF,Monaco,Ligue 1,21,1999,35,2873,82,84.0,31.9,35,82,24,0,0,1,2.09,65,32,33,1.03,0.87,57.9,26.8,31.0,0.97,0.53,Matches
1124,Thomas Foket,BEL,DF,Reims,Ligue 1,25,1994,37,3324,90,97.2,36.9,37,90,36,0,0,0,1.14,42,49,-7,-0.19,0.75,33.2,59.8,-26.6,-0.72,0.22,Matches
1125,Ramón Folch,ESP,MF,Elche,La Liga,30,1989,1,1,1,0.0,0.0,0,0,0,1,1,2,3.0,0,0,0,0.0,0.55,0.0,0.0,0.0,0.0,0.74,Matches
1126,Lamine Fomba,FRA,MF,Nîmes,Ligue 1,22,1998,32,2175,68,63.6,24.2,24,83,16,8,24,4,1.09,27,37,-10,-0.41,1.1,24.1,39.0,-15.0,-0.62,0.0,Matches
1127,Thomas Fontaine,MAD,DF,Lorient,Ligue 1,29,1991,4,320,80,9.4,3.6,4,80,2,0,0,10,0.25,4,9,-5,-1.41,-1.03,3.4,5.9,-2.5,-0.7,-0.65,Matches
1128,José Fontán,ESP,DF,Celta Vigo,La Liga,20,2000,14,652,47,19.1,7.2,7,74,3,7,19,18,1.43,8,16,-8,-1.1,-1.3,9.4,11.7,-2.3,-0.32,-0.34,Matches
1129,José Fonte,POR,DF,Lille,Ligue 1,36,1983,36,3185,88,93.1,35.4,36,88,34,0,0,0,2.14,58,22,36,1.02,-0.9,43.6,24.9,18.7,0.53,-1.27,Matches
1130,Fernando Forestieri,ITA,"FW,MF",Udinese,Serie A,30,1990,19,552,29,16.1,6.1,3,57,0,16,24,6,0.58,10,16,-6,-0.98,-0.66,8.2,12.4,-4.3,-0.69,-0.54,Matches
1131,Pablo Fornals,ESP,"FW,MF",West Ham,Premier League,24,1996,33,2572,78,75.2,28.6,31,82,16,2,18,3,1.79,43,33,10,0.35,-0.18,41.5,35.1,6.5,0.23,0.3,Matches
1132,Emil Forsberg,SWE,"FW,MF",RB Leipzig,Bundesliga,28,1991,29,1539,53,50.3,17.1,20,64,0,9,29,1,1.72,30,20,10,0.58,-0.48,30.2,15.0,15.2,0.89,-0.35,Matches
1133,Fraser Forster,ENG,GK,Southampton,Premier League,32,1988,8,720,90,21.1,8.0,8,90,8,0,0,30,1.5,10,11,-1,-0.12,0.54,10.7,12.4,-1.8,-0.22,0.12,Matches
1134,Philipp Förster,GER,"FW,MF",Stuttgart,Bundesliga,25,1995,25,1509,60,49.3,16.8,17,75,3,8,29,3,1.4,25,24,1,0.06,0.06,24.4,24.9,-0.5,-0.03,-0.06,Matches
1135,Hernâni Fortes,POR,"FW,MF",Levante,La Liga,28,1991,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1136,Steven Fortes,CPV,DF,Lens,Ligue 1,28,1992,18,1435,80,42.0,15.9,16,86,11,2,33,18,1.5,24,24,0,0.0,-0.05,24.3,18.0,6.3,0.39,0.3,Matches
1137,Yassin Fortune,FRA,FW,Angers,Ligue 1,21,1999,1,15,15,0.4,0.2,0,0,0,1,15,0,0.0,0,1,-1,-6.0,-5.55,0.0,0.3,-0.3,-1.71,-1.47,Matches
1138,Timothy Fosu-Mensah,NED,DF,Manchester Utd,Premier League,22,1998,1,80,80,2.3,0.9,1,80,0,0,0,2,0.0,1,2,-1,-1.13,-1.93,1.1,1.5,-0.5,-0.51,-1.0,Matches
1139,Timothy Fosu-Mensah,NED,DF,Leverkusen,Bundesliga,22,1998,6,409,68,13.4,4.5,5,73,2,1,45,1,0.83,6,5,1,0.22,-0.22,5.7,6.4,-0.8,-0.17,-0.42,Matches
1140,Daam Foulon,BEL,DF,Benevento,Serie A,21,1999,23,1021,44,29.9,11.3,11,68,3,12,23,4,1.04,11,18,-7,-0.62,0.43,11.7,21.1,-9.4,-0.83,-0.27,Matches
1141,Dimitri Foulquier,FRA,DF,Granada,La Liga,27,1993,32,2663,83,77.9,29.6,32,83,23,0,0,1,1.31,37,50,-13,-0.44,0.16,31.0,39.2,-8.2,-0.28,0.45,Matches
1142,Juan Foyth,ARG,"DF,MF",Villarreal,La Liga,22,1998,16,1168,73,34.2,13.0,13,81,9,3,39,7,1.25,21,21,0,0.0,-0.64,21.6,17.9,3.7,0.29,-0.14,Matches
1143,Gianluca Frabotta,ITA,DF,Juventus,Serie A,21,1999,15,689,46,20.1,7.7,8,79,4,7,9,18,1.93,12,8,4,0.52,-0.63,13.5,8.1,5.5,0.71,-0.29,Matches
1144,Raphael Framberger,GER,DF,Augsburg,Bundesliga,24,1995,21,1540,73,50.3,17.1,19,78,11,2,29,4,1.24,20,22,-2,-0.12,0.83,17.4,25.1,-7.7,-0.45,0.25,Matches
1145,Denis Franchi,ITA,GK,Paris S-G,Ligue 1,18,2002,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1146,Damiano Franco,ITA,DF,Lazio,Serie A,18,2002,0,0,0,0.0,0.0,0,0,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1147,Tyrese Francois,AUS,DF,Fulham,Premier League,20,2000,1,15,15,0.4,0.2,0,0,0,1,15,0,0.0,0,1,-1,-6.0,-5.34,0.1,0.8,-0.7,-3.99,-3.68,Matches
1148,Ryan Fraser,SCO,"FW,MF",Newcastle Utd,Premier League,26,1994,18,928,52,27.1,10.3,9,76,2,9,27,2,0.78,7,17,-10,-0.97,-0.75,10.1,14.0,-3.9,-0.38,-0.05,Matches
1149,Fred,BRA,MF,Manchester Utd,Premier League,27,1993,30,2390,80,69.9,26.6,27,84,18,3,41,5,1.97,49,25,24,0.9,0.47,41.7,27.0,14.7,0.55,0.27,Matches
1150,Jean Freddi Greco,ITA,MF,Torino,Serie A,19,2001,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1151,Ryan Fredericks,ENG,"DF,FW",West Ham,Premier League,27,1992,14,569,41,16.6,6.3,6,81,3,8,11,15,1.07,7,9,-2,-0.32,-0.85,7.8,8.1,-0.3,-0.05,-0.25,Matches
1152,Lucas Freitas,BRA,DF,Valladolid,La Liga,19,2001,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1153,Remo Freuler,SUI,MF,Atalanta,Serie A,28,1992,34,2712,80,79.3,30.1,32,84,21,2,14,4,2.24,72,27,45,1.49,1.75,59.9,28.7,31.1,1.03,0.57,Matches
1154,Marco Friedl,AUT,DF,Werder Bremen,Bundesliga,22,1998,32,2785,87,91.0,30.9,31,89,29,1,35,0,0.94,34,53,-19,-0.61,0.04,30.3,45.6,-15.3,-0.49,0.13,Matches
1155,Marvin Friedrich,GER,DF,Union Berlin,Bundesliga,24,1995,34,3060,90,100.0,34.0,34,90,34,0,0,0,1.47,50,43,7,0.21,0.0,45.8,41.3,4.5,0.13,0.0,Matches
1156,Marco Frigerio,ITA,MF,Milan,Serie A,19,2001,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1157,Jeremie Frimpong,NED,"DF,FW",Leverkusen,Bundesliga,19,2000,10,436,44,14.2,4.8,4,74,2,6,23,4,1.4,7,8,-1,-0.21,-0.72,8.4,5.9,2.5,0.51,0.37,Matches
1158,Julian Frommann,GER,MF,Arminia,Bundesliga,17,2003,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1159,Jorge de Frutos,ESP,"MF,FW",Levante,La Liga,23,1997,37,2186,59,63.9,24.3,22,82,8,15,26,0,1.03,34,38,-4,-0.16,0.35,26.2,36.6,-10.3,-0.43,-0.23,Matches
1160,Christian Fuchs,AUT,DF,Leicester City,Premier League,34,1986,9,702,78,20.5,7.8,8,86,7,1,11,20,2.0,13,9,4,0.51,0.05,12.7,9.7,3.0,0.38,0.21,Matches
1161,Angelo Fulgini,FRA,MF,Angers,Ligue 1,23,1996,33,2725,83,79.7,30.3,33,83,17,0,0,0,1.27,33,46,-13,-0.43,0.22,33.6,42.0,-8.5,-0.28,-0.19,Matches
1162,Niclas Füllkrug,GER,"FW,MF",Werder Bremen,Bundesliga,27,1993,19,877,46,28.7,9.7,10,67,1,9,23,1,0.89,11,10,1,0.1,1.01,11.1,13.4,-2.4,-0.24,0.37,Matches
1163,Ramiro Funes Mori,ARG,DF,Villarreal,La Liga,29,1991,10,727,73,21.3,8.1,8,89,7,2,7,26,1.6,14,10,4,0.5,0.09,14.8,10.7,4.1,0.51,0.16,Matches
1164,Alessio Furlanetto,ITA,GK,Lazio,Serie A,18,2002,0,0,0,0.0,0.0,0,0,0,0,0,8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1165,Darnell Furlong,ENG,DF,West Brom,Premier League,24,1995,35,2932,84,85.7,32.6,32,89,31,3,25,3,0.74,29,63,-34,-1.04,0.25,29.0,58.9,-29.9,-0.92,-0.16,Matches
1166,Daniel Fuzato,BRA,GK,Roma,Serie A,23,1997,5,450,90,13.2,5.0,5,90,5,0,0,17,1.4,10,7,3,0.6,0.39,7.7,8.2,-0.5,-0.1,-0.65,Matches
1167,Baptiste Gabard,FRA,MF,Saint-Étienne,Ligue 1,20,2000,2,133,67,3.9,1.5,2,67,0,0,0,1,0.0,0,3,-3,-2.03,-1.78,1.6,3.4,-1.8,-1.19,-1.23,Matches
1168,Matteo Gabbia,ITA,DF,Milan,Serie A,20,1999,8,557,70,16.3,6.2,7,78,6,1,13,16,2.13,12,4,8,1.29,0.51,14.5,5.4,9.1,1.47,0.96,Matches
1169,Manolo Gabbiadini,ITA,FW,Sampdoria,Serie A,28,1991,16,870,54,25.4,9.7,10,70,1,6,28,7,1.44,16,8,8,0.83,1.18,13.2,12.5,0.7,0.08,0.48,Matches
1170,Mijat Gaćinović,SRB,"DF,MF",Hoffenheim,Bundesliga,25,1995,23,822,36,26.9,9.1,7,72,2,16,20,2,1.09,12,14,-2,-0.22,-0.22,15.7,15.3,0.4,0.04,0.13,Matches
1171,Roberto Gagliardini,ITA,MF,Inter,Serie A,26,1994,28,1232,44,36.0,13.7,14,71,4,14,17,8,2.54,33,13,20,1.46,0.06,24.0,15.5,8.5,0.62,-0.52,Matches
1172,Riccardo Gagliolo,SWE,DF,Parma,Serie A,30,1990,28,1956,70,57.2,21.7,22,81,17,6,28,0,0.57,20,47,-27,-1.24,-0.2,23.1,32.6,-9.5,-0.44,0.29,Matches
1173,Adolfo Gaich,ARG,FW,Benevento,Serie A,21,1999,15,768,51,22.5,8.5,9,68,0,6,25,2,0.53,10,19,-9,-1.05,-0.17,8.5,14.6,-6.1,-0.71,-0.09,Matches
1174,Andrey Galabinov,BUL,FW,Spezia,Serie A,31,1988,12,430,36,12.6,4.8,4,68,2,8,20,10,0.75,7,12,-5,-1.05,-0.6,5.9,11.9,-6.0,-1.26,-0.76,Matches
1175,Javi Galán,ESP,DF,Huesca,La Liga,25,1994,37,3065,83,89.6,34.1,34,88,29,3,29,0,0.89,32,47,-15,-0.44,0.57,31.3,40.9,-9.6,-0.28,-0.44,Matches
