Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
31,Sergio Agüero,ARG,"FW,MF",Manchester City,Premier League,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.3,13.8,0,1,2,3.3,1.8,0.11,0.7,1.2,Matches
32,Ruben Aguilar,FRA,"DF,FW",Monaco,Ligue 1,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,9.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
33,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,2.8,0,5,1,20.0,1.79,0.36,0.0,0.0,22.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
34,Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,10.0,2,11,6,54.5,1.1,0.6,0.18,0.33,21.8,0,0,0,1.6,1.6,0.14,0.4,0.4,Matches
35,Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20,2000,1.4,0,1,0,0.0,0.7,0.0,0.0,0.0,4.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
36,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,23.8,2,31,6,19.4,1.3,0.25,0.06,0.33,20.9,0,0,0,2.3,2.0,0.06,-0.3,0.0,Matches
37,Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,0.4,0,2,1,50.0,5.0,2.5,0.0,0.0,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
38,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,14.3,0,9,0,0.0,0.63,0.0,0.0,0.0,14.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
39,Ola Aina,NGA,DF,Fulham,Premier League,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.5,25.2,1,0,0,1.0,1.0,0.07,1.0,1.0,Matches
40,Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,2.1,0,1,0,0.0,0.48,0.0,0.0,0.0,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
41,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,2001,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,19.7,0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
42,Semi Ajayi,NGA,DF,West Brom,Premier League,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.5,9.0,0,0,0,1.3,1.3,0.1,0.7,0.7,Matches
43,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,33.0,16,67,30,44.8,2.03,0.91,0.18,0.4,14.3,0,4,5,16.5,12.7,0.19,-0.5,-0.7,Matches
44,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,26.1,2,19,4,21.1,0.73,0.15,0.11,0.5,13.4,0,0,0,1.8,1.8,0.09,0.2,0.2,Matches
45,Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,9.6,1,2,1,50.0,0.21,0.1,0.5,1.0,23.8,0,0,0,0.4,0.4,0.19,0.6,0.6,Matches
46,Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,1.6,0,4,0,0.0,2.47,0.0,0.0,0.0,11.1,0,0,0,1.1,1.1,0.27,-1.1,-1.1,Matches
47,Nathan Aké,NED,DF,Manchester City,Premier League,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1.0,16.0,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
48,Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,4.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
49,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,11.7,0,12,1,8.3,1.02,0.09,0.0,0.0,15.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
50,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,13.2,1,2,2,100.0,0.15,0.15,0.5,0.5,19.7,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches
51,David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,28,1992,29.7,2,21,6,28.6,0.71,0.2,0.1,0.33,22.3,3,0,0,1.3,1.3,0.06,0.7,0.7,Matches
52,Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22,1998,16.7,0,5,0,0.0,0.3,0.0,0.0,0.0,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
53,Jony Álamo,ESP,MF,Elche,La Liga,18,2001,0.8,0,1,0,0.0,1.23,0.0,0.0,0.0,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
54,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,13.8,11,37,18,48.6,2.67,1.3,0.24,0.5,12.6,0,2,2,6.5,5.0,0.14,4.5,4.0,Matches
55,Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,33.6,3,27,11,40.7,0.8,0.33,0.11,0.27,19.6,1,0,0,2.4,2.4,0.09,0.6,0.6,Matches
56,Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,29.1,9,69,29,42.0,2.37,1.0,0.13,0.31,20.3,3,0,0,5.5,5.3,0.08,3.5,3.7,Matches
57,Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,34.6,0,8,1,12.5,0.23,0.03,0.0,0.0,13.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
58,Marc Albrighton,ENG,"DF,FW",Leicester City,Premier League,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,20.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
