Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
642,Mattia De Sciglio,ITA,DF,Juventus,Serie A,27,1992,0.3,0,1,0,0.0,3.75,0.0,0.0,0.0,20.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
643,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,32,1988,23.8,2,12,7,58.3,0.5,0.29,0.17,0.29,10.5,0,0,0,2.3,2.3,0.19,-0.3,-0.3,Matches
644,Thibault De Smet,BEL,DF,Reims,Ligue 1,22,1998,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
645,Lucas Deaux,FRA,"MF,DF",Nîmes,Ligue 1,31,1988,19.5,1,14,6,42.9,0.72,0.31,0.07,0.17,17.8,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
646,Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,35,1985,23.4,2,26,7,26.9,1.11,0.3,0.08,0.29,12.7,0,0,0,2.6,2.6,0.1,-0.6,-0.6,Matches
647,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,Serie A,29,1991,14.9,3,22,9,40.9,1.48,0.61,0.14,0.33,16.3,0,0,0,2.8,2.8,0.13,0.2,0.2,Matches
648,Alessandro Deiola,ITA,MF,Spezia,Serie A,24,1995,4.0,0,5,1,20.0,1.25,0.25,0.0,0.0,23.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
649,Alessandro Deiola,ITA,MF,Cagliari,Serie A,24,1995,6.8,0,6,1,16.7,0.88,0.15,0.0,0.0,22.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
650,Romain Del Castillo,FRA,"MF,FW",Rennes,Ligue 1,24,1996,7.2,0,17,5,29.4,2.35,0.69,0.0,0.0,20.4,1,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
651,Lorenzo Del Pinto,ITA,MF,Benevento,Serie A,30,1990,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
652,Thomas Delaine,FRA,DF,Metz,Ligue 1,28,1992,19.8,3,17,10,58.8,0.86,0.51,0.18,0.3,20.6,0,0,0,1.1,1.1,0.07,1.9,1.9,Matches
653,Thomas Delaney,DEN,MF,Dortmund,Bundesliga,28,1991,14.3,1,8,3,37.5,0.56,0.21,0.13,0.33,13.1,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
654,Liam Delap,ENG,FW,Manchester City,Premier League,17,2003,0.4,0,1,0,0.0,2.25,0.0,0.0,0.0,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
655,Jonathan Delaplace,FRA,DF,Lorient,Ligue 1,34,1986,10.1,0,5,0,0.0,0.5,0.0,0.0,0.0,23.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
656,Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18,2002,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
657,Cristian Dell'Orco,ITA,DF,Spezia,Serie A,26,1994,2.9,0,1,0,0.0,0.34,0.0,0.0,0.0,6.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
658,Andy Delort,ALG,FW,Montpellier,Ligue 1,28,1991,27.6,15,91,34,37.4,3.3,1.23,0.16,0.44,16.0,2,0,1,10.8,10.1,0.11,4.2,4.9,Matches
659,Fabian Delph,ENG,"MF,DF",Everton,Premier League,30,1989,3.0,0,1,0,0.0,0.34,0.0,0.0,0.0,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
660,Moussa Dembélé,FRA,FW,Lyon,Ligue 1,24,1996,7.5,1,27,8,29.6,3.59,1.06,0.04,0.13,13.6,1,0,0,3.8,3.8,0.14,-2.8,-2.8,Matches
661,Moussa Dembélé,FRA,"FW,MF",Atlético Madrid,La Liga,24,1996,1.1,0,6,2,33.3,5.4,1.8,0.0,0.0,10.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
662,Ousmane Dembélé,FRA,"FW,DF",Barcelona,La Liga,23,1997,19.7,6,55,20,36.4,2.79,1.01,0.11,0.3,17.2,0,0,0,5.6,5.6,0.1,0.4,0.4,Matches
663,Merih Demiral,TUR,DF,Juventus,Serie A,22,1998,10.4,0,7,2,28.6,0.67,0.19,0.0,0.0,10.3,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
664,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,27,1993,19.4,4,44,13,29.5,2.27,0.67,0.09,0.31,23.3,5,0,0,2.4,2.4,0.05,1.6,1.6,Matches
665,Ermedin Demirović,BIH,FW,Freiburg,Bundesliga,22,1998,16.6,5,40,19,47.5,2.4,1.14,0.13,0.26,13.7,0,0,0,4.7,4.7,0.12,0.3,0.3,Matches
666,Diego Demme,GER,MF,Napoli,Serie A,28,1991,17.7,2,14,5,35.7,0.79,0.28,0.14,0.4,15.5,0,0,0,1.4,1.4,0.1,0.6,0.6,Matches
667,Jason Denayer,BEL,DF,Lyon,Ligue 1,25,1995,29.0,1,5,1,20.0,0.17,0.03,0.2,1.0,16.8,0,0,0,0.5,0.5,0.1,0.5,0.5,Matches
668,Leander Dendoncker,BEL,"MF,DF",Wolves,Premier League,25,1995,27.8,1,32,8,25.0,1.15,0.29,0.03,0.13,13.5,0,0,0,3.3,3.3,0.1,-2.3,-2.3,Matches
669,Kevin Denkey,TOG,FW,Nîmes,Ligue 1,19,2000,5.8,1,17,8,47.1,2.92,1.37,0.06,0.13,15.3,0,0,0,1.8,1.8,0.1,-0.8,-0.8,Matches
670,Emmanuel Dennis,NGA,FW,Köln,Bundesliga,22,1997,5.3,0,5,0,0.0,0.95,0.0,0.0,0.0,12.7,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
671,Stefano Denswil,NED,DF,Bologna,Serie A,27,1993,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
672,Fabio Depaoli,ITA,DF,Benevento,Serie A,23,1997,12.4,0,7,1,14.3,0.56,0.08,0.0,0.0,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
673,Fabio Depaoli,ITA,MF,Sampdoria,Serie A,23,1997,0.9,0,2,1,50.0,2.34,1.17,0.0,0.0,17.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
674,Fabio Depaoli,ITA,DF,Atalanta,Serie A,23,1997,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
675,Memphis Depay,NED,FW,Lyon,Ligue 1,26,1994,32.5,20,102,45,44.1,3.14,1.39,0.12,0.27,21.1,14,8,8,17.7,11.6,0.11,2.3,0.4,Matches
676,Clément Depres,FRA,MF,Nîmes,Ligue 1,25,1994,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
677,Mike van der Hoorn,NED,DF,Arminia,Bundesliga,27,1992,15.1,0,4,2,50.0,0.27,0.13,0.0,0.0,10.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
678,Kastriot Dermaku,ALB,DF,Parma,Serie A,28,1992,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
679,Kiril Despodov,BUL,FW,Cagliari,Serie A,23,1996,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
680,Sergiño Dest,USA,DF,Barcelona,La Liga,19,2000,21.0,2,14,5,35.7,0.67,0.24,0.14,0.4,15.6,0,0,0,2.5,2.5,0.18,-0.5,-0.5,Matches
681,Mattia Destro,ITA,FW,Genoa,Serie A,29,1991,17.8,11,38,23,60.5,2.13,1.29,0.29,0.48,12.0,0,0,0,6.8,6.8,0.18,4.2,4.2,Matches
682,Gerard Deulofeu,ESP,FW,Udinese,Serie A,26,1994,6.6,1,16,9,56.3,2.41,1.35,0.06,0.11,17.1,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
683,Deyverson,BRA,FW,Alavés,La Liga,29,1991,9.7,1,14,2,14.3,1.44,0.21,0.07,0.5,16.6,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches
684,Jacopo Dezi,ITA,"FW,MF",Parma,Serie A,28,1992,0.9,0,1,0,0.0,1.14,0.0,0.0,0.0,20.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
685,Samuel Di Carmine,ITA,FW,Hellas Verona,Serie A,31,1988,5.6,0,9,2,22.2,1.62,0.36,0.0,0.0,9.7,0,0,0,1.6,1.6,0.17,-1.6,-1.6,Matches
686,Samuel Di Carmine,ITA,FW,Crotone,Serie A,31,1988,5.3,0,6,1,16.7,1.14,0.19,0.0,0.0,11.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
687,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,26,1993,36.0,3,31,12,38.7,0.86,0.33,0.1,0.25,11.9,0,0,0,3.8,3.8,0.12,-0.8,-0.8,Matches
688,Ángel Di María,ARG,"FW,MF",Paris S-G,Ligue 1,32,1988,20.6,5,60,18,30.0,2.91,0.87,0.08,0.28,20.8,6,0,0,5.1,5.1,0.09,-0.1,-0.1,Matches
689,Alessandro Di Pardo,ITA,"MF,DF",Juventus,Serie A,21,1999,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
690,Giuseppe Di Serio,ITA,"FW,MF",Benevento,Serie A,19,2001,3.2,0,5,2,40.0,1.54,0.62,0.0,0.0,15.5,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
691,Boulaye Dia,SEN,"FW,MF",Reims,Ligue 1,23,1996,32.6,14,58,22,37.9,1.78,0.68,0.16,0.41,15.9,0,5,5,13.2,9.4,0.16,0.8,-0.4,Matches
692,Abdoulay Diaby,MLI,MF,Getafe,La Liga,29,1991,0.2,0,1,0,0.0,5.0,0.0,0.0,0.0,14.0,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
693,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,21,1999,26.5,4,51,25,49.0,1.92,0.94,0.08,0.16,18.5,0,0,0,5.6,5.6,0.11,-1.6,-1.6,Matches
694,Mbaye Diagne,SEN,FW,West Brom,Premier League,28,1991,13.2,3,25,9,36.0,1.89,0.68,0.12,0.33,10.0,0,0,0,5.0,5.0,0.2,-2.0,-2.0,Matches
695,Mouctar Diakhaby,FRA,DF,Valencia,La Liga,23,1996,23.1,1,11,4,36.4,0.48,0.17,0.09,0.25,10.0,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
696,Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,24,1996,16.6,0,4,0,0.0,0.24,0.0,0.0,0.0,11.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
697,Amad Diallo,CIV,FW,Manchester Utd,Premier League,18,2002,1.8,0,1,1,100.0,0.54,0.54,0.0,0.0,22.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
698,Amad Diallo,CIV,MF,Atalanta,Serie A,18,2002,0.2,0,1,0,0.0,6.43,0.0,0.0,0.0,21.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
699,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,25,1995,25.8,9,53,19,35.8,2.05,0.74,0.15,0.42,16.4,0,1,1,7.2,6.4,0.12,1.8,1.6,Matches
700,Habib Diallo,SEN,FW,Metz,Ligue 1,25,1995,1.6,0,2,0,0.0,1.26,0.0,0.0,0.0,9.6,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
701,Ibrahima Diallo,FRA,MF,Southampton,Premier League,21,1999,11.3,0,8,2,25.0,0.71,0.18,0.0,0.0,20.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
702,Ibrahima Diallo,FRA,MF,Brest,Ligue 1,21,1999,4.9,0,1,0,0.0,0.2,0.0,0.0,0.0,31.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
703,Amadou Diambo,GHA,FW,Benevento,Serie A,19,2001,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
704,Grady Diangana,ENG,"MF,FW",West Brom,Premier League,22,1998,13.7,1,14,5,35.7,1.02,0.36,0.07,0.2,16.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
705,Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,21,1998,2.2,0,2,2,100.0,0.91,0.91,0.0,0.0,21.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
706,Raphael Dias Belloli,BRA,MF,Leeds United,Premier League,23,1996,26.2,6,68,27,39.7,2.59,1.03,0.09,0.22,16.3,4,0,0,6.0,6.0,0.09,0.0,0.0,Matches
707,Raphael Dias Belloli,BRA,"FW,MF",Rennes,Ligue 1,23,1996,4.5,1,11,3,27.3,2.45,0.67,0.09,0.33,18.0,3,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
708,Rúben Dias,POR,DF,Manchester City,Premier League,23,1997,31.6,1,14,7,50.0,0.44,0.22,0.07,0.14,7.5,0,0,0,2.4,2.4,0.17,-1.4,-1.4,Matches
709,Krepin Diatta,SEN,"MF,DF",Monaco,Ligue 1,21,1999,4.3,1,3,1,33.3,0.69,0.23,0.33,1.0,14.3,0,0,0,0.5,0.5,0.18,0.5,0.5,Matches
710,Amadou Diawara,GUI,MF,Roma,Serie A,23,1997,7.3,1,7,4,57.1,0.96,0.55,0.14,0.25,20.3,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
711,Brahim Díaz,ESP,"MF,FW",Milan,Serie A,20,1999,13.6,4,26,9,34.6,1.91,0.66,0.15,0.44,16.3,0,0,0,3.3,3.3,0.13,0.7,0.7,Matches
712,Víctor Díaz,ESP,DF,Granada,La Liga,32,1988,9.2,0,5,1,20.0,0.54,0.11,0.0,0.0,26.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
713,Daniel Didavi,GER,"FW,MF",Stuttgart,Bundesliga,30,1990,10.8,4,24,7,29.2,2.23,0.65,0.17,0.57,18.3,5,0,0,3.2,3.2,0.13,0.8,0.8,Matches
714,Eric Dier,ENG,DF,Tottenham,Premier League,26,1994,28.0,0,14,2,14.3,0.5,0.07,0.0,0.0,21.5,8,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
715,Daan Dierckx,BEL,DF,Parma,Serie A,17,2003,5.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
716,Lucas Digne,FRA,DF,Everton,Premier League,27,1993,29.8,0,13,0,0.0,0.44,0.0,0.0,0.0,23.2,3,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
717,Virgil van Dijk,NED,DF,Liverpool,Premier League,29,1991,4.1,1,4,2,50.0,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
718,Mitchell Dijks,NED,DF,Bologna,Serie A,27,1993,16.5,0,2,0,0.0,0.12,0.0,0.0,0.0,14.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
719,Javairô Dilrosun,NED,"FW,MF",Hertha BSC,Bundesliga,22,1998,5.9,0,8,1,12.5,1.36,0.17,0.0,0.0,17.4,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
720,Federico Dimarco,ITA,DF,Hellas Verona,Serie A,22,1997,29.0,5,38,14,36.8,1.31,0.48,0.13,0.36,20.5,6,0,0,2.3,2.3,0.06,2.7,2.7,Matches
721,Tristan Dingomé,CMR,MF,Reims,Ligue 1,29,1991,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
722,Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,18,2001,1.2,1,3,2,66.7,2.5,1.67,0.33,0.5,11.3,0,0,0,0.4,0.4,0.15,0.6,0.6,Matches
723,Sinaly Diomande,CIV,DF,Lyon,Ligue 1,19,2001,12.6,0,16,3,18.8,1.27,0.24,0.0,0.0,14.5,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
724,Lois Diony,FRA,FW,Angers,Ligue 1,27,1992,19.4,5,28,14,50.0,1.44,0.72,0.14,0.29,15.9,0,1,1,4.3,3.5,0.13,0.7,0.5,Matches
725,Issa Diop,FRA,DF,West Ham,Premier League,23,1997,15.3,2,3,2,66.7,0.2,0.13,0.67,1.0,8.2,0,0,0,0.3,0.3,0.11,1.7,1.7,Matches
726,Papakouli Diop,SEN,MF,Eibar,La Liga,34,1986,25.8,1,28,9,32.1,1.08,0.35,0.04,0.11,17.8,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
727,Sofiane Diop,FRA,"MF,FW",Monaco,Ligue 1,20,2000,22.5,7,43,17,39.5,1.91,0.76,0.16,0.41,19.3,1,0,0,4.4,4.4,0.1,2.6,2.6,Matches
728,Andy Diouf,FRA,FW,Rennes,Ligue 1,18,2002,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
729,Yehvann Diouf,FRA,GK,Reims,Ligue 1,20,1999,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
730,Assane Dioussé,SEN,DF,Saint-Étienne,Ligue 1,22,1997,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
731,Axel Disasi,FRA,DF,Monaco,Ligue 1,22,1998,22.3,3,19,6,31.6,0.85,0.27,0.16,0.5,10.1,0,0,0,2.3,2.3,0.12,0.7,0.7,Matches
732,Tiago Djaló,POR,DF,Lille,Ligue 1,20,2000,9.7,0,2,0,0.0,0.21,0.0,0.0,0.0,26.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
733,Djené,TOG,DF,Getafe,La Liga,28,1991,32.7,0,2,0,0.0,0.06,0.0,0.0,0.0,7.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
734,Moussa Djenepo,MLI,MF,Southampton,Premier League,22,1998,13.8,1,14,2,14.3,1.02,0.15,0.07,0.5,19.1,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
735,Koffi Djidji,CIV,DF,Crotone,Serie A,27,1992,16.9,1,4,2,50.0,0.24,0.12,0.25,0.5,8.9,0,0,0,0.4,0.4,0.11,0.6,0.6,Matches
736,Alexander Djiku,GHA,"DF,MF",Strasbourg,Ligue 1,25,1994,28.4,0,15,2,13.3,0.53,0.07,0.0,0.0,14.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7,Matches
737,Berat Djimsiti,ALB,DF,Atalanta,Serie A,27,1993,29.2,0,21,1,4.8,0.72,0.03,0.0,0.0,9.2,0,0,0,2.1,2.1,0.1,-2.1,-2.1,Matches
738,Marko Dmitrović,SRB,GK,Eibar,La Liga,28,1992,34.7,1,1,0,0.0,0.03,0.0,0.0,0.0,44.0,0,1,2,1.6,0.1,0.07,-0.6,-0.1,Matches
739,Ritsu Doan,JPN,"MF,FW",Arminia,Bundesliga,22,1998,30.8,5,71,20,28.2,2.31,0.65,0.07,0.25,18.9,7,0,0,5.2,5.0,0.07,-0.2,0.0,Matches
740,Mihai Dobre,ROU,FW,Dijon,Ligue 1,21,1998,5.9,0,9,1,11.1,1.53,0.17,0.0,0.0,16.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
741,Matt Doherty,IRL,DF,Tottenham,Premier League,28,1992,13.8,0,3,1,33.3,0.22,0.07,0.0,0.0,16.0,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
742,Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,18,2002,25.7,2,36,7,19.4,1.4,0.27,0.06,0.29,17.3,0,0,0,3.7,3.7,0.1,-1.7,-1.7,Matches
743,Kasper Dolberg,DEN,FW,Nice,Ligue 1,22,1997,21.4,6,36,17,47.2,1.68,0.79,0.11,0.24,12.9,1,2,2,7.6,6.0,0.17,-1.6,-2.0,Matches
744,Keagan Dolly,RSA,MF,Montpellier,Ligue 1,27,1993,5.0,0,6,0,0.0,1.19,0.0,0.0,0.0,23.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
745,Jaume Doménech,ESP,GK,Valencia,La Liga,29,1990,28.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
746,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,19,2001,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,6.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
747,Nicolás Domínguez,ARG,MF,Bologna,Serie A,22,1998,13.9,1,18,5,27.8,1.29,0.36,0.06,0.2,18.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
748,John Donald,ESP,DF,Elche,La Liga,19,2000,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
749,Ji Dong-won,KOR,FW,Mainz 05,Bundesliga,29,1991,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
750,Anastasios Donis,GRE,MF,Reims,Ligue 1,23,1996,1.1,0,1,0,0.0,0.93,0.0,0.0,0.0,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
751,Gianluigi Donnarumma,ITA,GK,Milan,Serie A,21,1999,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
752,Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.5,11.3,0,0,0,1.0,1.0,0.06,1.0,1.0,Matches
753,Bas Dost,NED,FW,Eint Frankfurt,Bundesliga,31,1989,9.1,4,14,7,50.0,1.54,0.77,0.21,0.43,9.5,0,1,1,4.3,3.5,0.25,-0.3,-0.5,Matches
754,Lucas Douath,FRA,MF,Saint-Étienne,Ligue 1,16,2003,14.7,0,5,1,20.0,0.34,0.07,0.0,0.0,16.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
755,Abdoulaye Doucouré,FRA,MF,Everton,Premier League,27,1993,27.1,2,18,5,27.8,0.66,0.18,0.11,0.4,16.8,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
756,Cheick Doucouré,MLI,MF,Lens,Ligue 1,20,2000,29.2,2,35,5,14.3,1.2,0.17,0.06,0.4,23.8,0,0,0,1.2,1.2,0.03,0.8,0.8,Matches
757,Fodé Doucouré,MLI,DF,Reims,Ligue 1,19,2001,3.7,0,3,2,66.7,0.81,0.54,0.0,0.0,22.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
758,Mahamadou Doucouré,FRA,FW,Nîmes,Ligue 1,20,2000,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
759,Cheick Doukouré,CIV,MF,Levante,La Liga,27,1992,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
760,Idrissa Doumbia,CIV,MF,Huesca,La Liga,22,1998,8.7,0,4,0,0.0,0.46,0.0,0.0,0.0,21.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
761,Moussa Doumbia,MLI,"MF,FW",Reims,Ligue 1,25,1994,10.0,0,17,3,17.6,1.7,0.3,0.0,0.0,20.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
762,Souleyman Doumbia,CIV,DF,Angers,Ligue 1,23,1996,24.7,0,7,2,28.6,0.28,0.08,0.0,0.0,21.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
763,Aleksandar Dragović,AUT,DF,Leverkusen,Bundesliga,29,1991,12.6,1,3,2,66.7,0.24,0.16,0.33,0.5,16.1,0,0,0,0.3,0.3,0.1,0.7,0.7,Matches
764,Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,22,1997,35.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
765,Denis Drăguș,ROU,"FW,MF",Crotone,Serie A,21,1999,2.0,0,4,0,0.0,2.03,0.0,0.0,0.0,25.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
766,Radu Drăgușin,ROU,DF,Juventus,Serie A,18,2002,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
767,Mouhamadou Drammeh,FRA,MF,Reims,Ligue 1,21,1999,1.9,0,1,0,0.0,0.52,0.0,0.0,0.0,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
768,Julian Draxler,GER,"MF,FW",Paris S-G,Ligue 1,26,1993,11.8,4,12,5,41.7,1.02,0.42,0.33,0.8,15.3,0,0,0,2.2,2.2,0.18,1.8,1.8,Matches
769,Dominick Drexler,GER,"MF,FW",Köln,Bundesliga,30,1990,13.7,2,12,2,16.7,0.88,0.15,0.17,1.0,12.1,0,0,0,2.8,2.8,0.23,-0.8,-0.8,Matches
770,Matthieu Dreyer,FRA,GK,Lorient,Ligue 1,31,1989,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
771,Domingos Duarte,POR,DF,Granada,La Liga,25,1995,26.3,1,7,2,28.6,0.27,0.08,0.14,0.5,8.2,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches
772,Léo Duarte,BRA,DF,Milan,Serie A,24,1996,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
773,Óscar Duarte,CRC,DF,Levante,La Liga,31,1989,22.9,1,6,3,50.0,0.26,0.13,0.17,0.33,7.5,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches
774,Rubén Duarte,ESP,DF,Alavés,La Liga,24,1995,28.3,1,12,1,8.3,0.42,0.04,0.08,1.0,22.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
775,Leo Dubois,FRA,DF,Lyon,Ligue 1,25,1994,32.3,2,20,3,15.0,0.62,0.09,0.1,0.67,20.4,0,0,0,1.0,1.0,0.05,1.0,1.0,Matches
776,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,31,1989,13.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
777,Ondrej Duda,SVK,"FW,MF",Köln,Bundesliga,25,1994,28.2,7,47,13,27.7,1.67,0.46,0.09,0.31,21.7,4,3,4,5.8,2.8,0.06,1.2,1.2,Matches
778,Unai Dufur,ESP,DF,Eibar,La Liga,21,1999,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
