Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
609,Bryan Dabo,BFA,MF,Benevento,Serie A,28,1992,12.4,5,0,0,18,19,1,14,14,8,0,0,0,127,53,21,71.6,Matches
610,Moanes Dabour,ISR,FW,Hoffenheim,Bundesliga,28,1992,11.1,2,0,0,19,25,5,8,6,8,0,0,0,76,22,23,48.9,Matches
611,Colin Dagba,FRA,DF,Paris S-G,Ligue 1,21,1998,15.1,3,0,0,20,9,3,32,12,13,0,1,0,96,4,14,22.2,Matches
612,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,22,1998,3.0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0.0,Matches
613,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,24,1996,14.0,2,0,0,27,19,0,7,21,24,0,1,0,170,14,12,53.8,Matches
614,Leon Dajaku,GER,FW,Union Berlin,Bundesliga,19,2001,0.4,0,0,0,0,1,2,0,0,1,0,0,0,5,1,1,50.0,Matches
615,Stuart Dallas,NIR,"DF,MF",Leeds United,Premier League,29,1991,37.9,7,0,0,41,51,0,56,59,52,0,0,0,367,41,37,52.6,Matches
616,Diogo Dalot,POR,DF,Milan,Serie A,21,1999,12.1,5,0,0,25,4,2,34,18,17,0,0,0,97,22,9,71.0,Matches
617,Mikkel Damsgaard,DEN,"MF,FW",Sampdoria,Serie A,20,2000,19.7,3,0,0,26,28,3,35,28,28,0,1,0,144,22,33,40.0,Matches
618,Flavius Daniliuc,AUT,DF,Nice,Ligue 1,19,2001,16.4,0,0,0,12,9,0,2,19,12,0,0,0,139,21,24,46.7,Matches
619,Danilo,BRA,DF,Juventus,Serie A,29,1991,32.4,6,0,0,25,20,2,28,44,37,0,1,0,268,34,18,65.4,Matches
620,Scott Dann,ENG,DF,Crystal Palace,Premier League,33,1987,15.0,1,0,0,7,6,0,0,8,7,0,0,0,148,49,34,59.0,Matches
621,Tiago Dantas,POR,MF,Bayern Munich,Bundesliga,19,2000,0.8,0,0,0,0,1,0,1,1,0,0,0,0,7,0,1,0.0,Matches
622,Dante,BRA,DF,Nice,Ligue 1,36,1983,8.6,2,0,0,6,4,0,0,2,7,0,1,0,78,22,8,73.3,Matches
623,Andrea Danzi,ITA,"MF,DF",Hellas Verona,Serie A,21,1999,1.2,1,0,0,1,0,0,0,1,0,0,0,0,12,2,0,100.0,Matches
624,Ebrima Darboe,GAM,MF,Roma,Serie A,19,2001,3.6,2,0,0,3,3,0,0,13,4,0,0,0,42,2,4,33.3,Matches
625,Márton Dárdai,GER,DF,Hertha BSC,Bundesliga,18,2002,9.1,0,0,0,10,4,0,8,15,11,0,0,0,65,12,14,46.2,Matches
626,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,29,1990,21.1,5,1,0,27,28,2,45,31,24,0,0,0,208,21,32,39.6,Matches
627,Karl Darlow,ENG,GK,Newcastle Utd,Premier League,29,1990,25.0,3,0,0,0,3,0,0,1,0,0,0,0,103,0,0,0.0,Matches
628,Matteo Darmian,ITA,DF,Inter,Serie A,30,1989,12.9,4,0,0,21,16,2,28,16,13,1,1,0,74,18,11,62.1,Matches
629,Matteo Darmian,ITA,DF,Parma,Serie A,30,1989,2.3,1,0,0,3,3,0,0,3,3,0,0,0,11,2,2,50.0,Matches
630,Jonathan David,CAN,FW,Lille,Ligue 1,20,2000,26.2,0,0,0,35,43,7,7,15,13,2,0,0,117,22,69,24.2,Matches
631,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,19,2000,19.6,2,1,0,14,37,3,28,46,38,1,0,0,242,19,21,47.5,Matches
632,Ben Davies,WAL,DF,Tottenham,Premier League,27,1993,15.0,1,0,0,19,14,1,24,13,13,1,0,0,101,34,20,63.0,Matches
633,Tom Davies,ENG,MF,Everton,Premier League,22,1998,15.8,3,0,0,28,26,0,5,34,28,0,1,0,130,9,16,36.0,Matches
634,Keinan Davis,ENG,"FW,MF",Aston Villa,Premier League,22,1998,3.1,0,0,0,4,5,0,6,0,3,0,0,0,12,17,17,50.0,Matches
635,Leif Davis,ENG,DF,Leeds United,Premier League,20,2000,0.4,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0.0,Matches
636,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,25,1995,20.7,9,0,0,38,9,2,5,26,30,0,0,0,232,54,41,56.8,Matches
637,Craig Dawson,ENG,DF,West Ham,Premier League,30,1990,21.4,5,1,1,14,12,2,0,39,11,0,0,2,153,65,28,69.9,Matches
638,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,29,1991,22.2,1,0,0,27,32,1,65,16,31,2,0,0,157,8,14,36.4,Matches
639,Sebastien De Maio,FRA,DF,Udinese,Serie A,33,1987,9.5,1,0,0,11,3,3,1,13,13,0,0,0,104,24,19,55.8,Matches
640,Rodrigo De Paul,ARG,MF,Udinese,Serie A,26,1994,35.6,5,2,1,35,125,1,114,19,29,0,1,0,267,7,13,35.0,Matches
641,Mattia De Sciglio,ITA,DF,Juventus,Serie A,27,1992,0.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,Matches
642,Mattia De Sciglio,ITA,DF,Lyon,Ligue 1,27,1992,16.3,4,1,0,22,10,0,24,36,23,0,0,0,145,20,13,60.6,Matches
643,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,32,1988,23.8,4,0,0,42,21,1,35,27,17,0,0,0,182,51,35,59.3,Matches
644,Thibault De Smet,BEL,DF,Reims,Ligue 1,22,1998,5.5,3,0,0,11,6,0,9,5,8,0,1,0,52,11,13,45.8,Matches
645,Lucas Deaux,FRA,"MF,DF",Nîmes,Ligue 1,31,1988,19.5,4,1,0,35,20,3,21,14,38,0,1,0,221,37,31,54.4,Matches
646,Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,35,1985,23.4,5,0,0,40,19,4,61,47,37,0,3,0,211,79,29,73.1,Matches
647,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,Serie A,29,1991,14.9,1,0,0,15,20,5,7,8,12,0,0,0,80,8,27,22.9,Matches
648,Alessandro Deiola,ITA,MF,Spezia,Serie A,24,1995,4.0,1,0,0,6,5,0,3,2,6,0,0,0,34,3,6,33.3,Matches
649,Alessandro Deiola,ITA,MF,Cagliari,Serie A,24,1995,6.8,2,0,0,12,3,0,4,15,7,0,0,0,61,9,2,81.8,Matches
650,Romain Del Castillo,FRA,"MF,FW",Rennes,Ligue 1,24,1996,7.2,2,0,0,14,13,2,26,4,23,0,0,0,59,7,13,35.0,Matches
651,Lorenzo Del Pinto,ITA,MF,Benevento,Serie A,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
652,Thomas Delaine,FRA,DF,Metz,Ligue 1,28,1992,19.8,4,0,0,22,16,0,69,16,18,0,0,0,132,10,14,41.7,Matches
653,Thomas Delaney,DEN,MF,Dortmund,Bundesliga,28,1991,14.3,6,0,0,36,26,1,9,24,37,0,0,0,160,30,14,68.2,Matches
654,Liam Delap,ENG,FW,Manchester City,Premier League,17,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
655,Jonathan Delaplace,FRA,DF,Lorient,Ligue 1,34,1986,10.1,1,1,0,16,7,1,27,20,12,0,0,0,96,6,11,35.3,Matches
656,Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18,2002,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,Matches
657,Cristian Dell'Orco,ITA,DF,Spezia,Serie A,26,1994,2.9,0,0,0,2,2,0,0,4,1,0,0,0,37,5,4,55.6,Matches
658,Andy Delort,ALG,FW,Montpellier,Ligue 1,28,1991,27.6,4,0,0,53,42,19,92,4,15,1,0,0,141,129,111,53.8,Matches
659,Fabian Delph,ENG,"MF,DF",Everton,Premier League,30,1989,3.0,1,0,0,3,7,0,3,4,2,0,0,0,29,0,0,0.0,Matches
660,Moussa Dembélé,FRA,"FW,MF",Atlético Madrid,La Liga,24,1996,1.1,0,0,0,3,0,3,1,0,0,0,0,0,8,6,6,50.0,Matches
661,Moussa Dembélé,FRA,FW,Lyon,Ligue 1,24,1996,7.5,3,0,0,17,7,7,2,2,3,0,0,0,34,16,26,38.1,Matches
662,Ousmane Dembélé,FRA,"FW,DF",Barcelona,La Liga,23,1997,19.7,2,0,0,15,28,11,58,14,10,0,0,0,77,8,12,40.0,Matches
663,Merih Demiral,TUR,DF,Juventus,Serie A,22,1998,10.4,1,0,0,11,1,2,0,12,11,0,1,0,82,25,8,75.8,Matches
664,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,27,1993,19.4,2,0,0,44,27,0,30,13,35,0,0,0,195,15,24,38.5,Matches
665,Ermedin Demirović,BIH,FW,Freiburg,Bundesliga,22,1998,16.6,7,0,0,44,15,10,11,5,13,1,0,0,68,45,96,31.9,Matches
666,Diego Demme,GER,MF,Napoli,Serie A,28,1991,17.7,6,0,0,33,28,1,8,17,37,0,0,0,169,7,16,30.4,Matches
667,Jason Denayer,BEL,DF,Lyon,Ligue 1,25,1995,29.0,1,0,0,21,8,0,1,22,21,0,0,0,237,46,42,52.3,Matches
668,Leander Dendoncker,BEL,"MF,DF",Wolves,Premier League,25,1995,27.8,4,0,0,30,12,4,8,27,29,0,0,1,232,83,51,61.9,Matches
669,Kevin Denkey,TOG,FW,Nîmes,Ligue 1,19,2000,5.8,3,0,0,21,9,2,5,2,3,0,0,0,27,6,16,27.3,Matches
670,Emmanuel Dennis,NGA,FW,Köln,Bundesliga,22,1997,5.3,0,0,0,15,5,7,9,3,7,0,0,0,27,9,18,33.3,Matches
671,Stefano Denswil,NED,DF,Bologna,Serie A,27,1993,1.3,0,0,0,0,2,0,0,1,2,0,0,0,11,3,1,75.0,Matches
672,Fabio Depaoli,ITA,DF,Benevento,Serie A,23,1997,12.4,2,0,0,17,8,1,19,16,15,0,0,1,69,15,9,62.5,Matches
673,Fabio Depaoli,ITA,MF,Sampdoria,Serie A,23,1997,0.9,0,0,0,5,2,2,1,0,0,0,0,0,5,0,4,0.0,Matches
674,Fabio Depaoli,ITA,DF,Atalanta,Serie A,23,1997,2.1,0,0,0,5,1,0,1,1,1,0,0,0,9,3,2,60.0,Matches
675,Memphis Depay,NED,FW,Lyon,Ligue 1,26,1994,32.5,4,0,0,32,54,12,99,9,6,2,0,0,157,16,32,33.3,Matches
676,Clément Depres,FRA,MF,Nîmes,Ligue 1,25,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
677,Mike van der Hoorn,NED,DF,Arminia,Bundesliga,27,1992,15.1,3,0,0,11,9,0,0,8,7,0,2,0,154,55,36,60.4,Matches
678,Kastriot Dermaku,ALB,DF,Parma,Serie A,28,1992,1.1,0,0,0,2,2,0,0,1,0,0,0,0,7,0,1,0.0,Matches
679,Kiril Despodov,BUL,FW,Cagliari,Serie A,23,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
680,Sergiño Dest,USA,DF,Barcelona,La Liga,19,2000,21.0,1,0,0,16,11,3,39,17,19,0,0,0,147,5,11,31.3,Matches
681,Mattia Destro,ITA,FW,Genoa,Serie A,29,1991,17.8,5,0,0,39,37,23,4,2,7,0,0,0,62,32,77,29.4,Matches
682,Gerard Deulofeu,ESP,FW,Udinese,Serie A,26,1994,6.6,0,0,0,7,6,11,14,3,2,1,0,0,32,0,11,0.0,Matches
683,Deyverson,BRA,FW,Alavés,La Liga,29,1991,9.7,4,0,0,16,25,11,13,10,6,0,0,0,73,65,49,57.0,Matches
684,Jacopo Dezi,ITA,"FW,MF",Parma,Serie A,28,1992,0.9,0,0,0,1,3,0,3,1,1,0,0,0,5,0,2,0.0,Matches
685,Samuel Di Carmine,ITA,FW,Hellas Verona,Serie A,31,1988,5.6,1,0,0,16,20,6,5,0,0,0,0,0,21,30,28,51.7,Matches
686,Samuel Di Carmine,ITA,FW,Crotone,Serie A,31,1988,5.3,1,0,0,5,15,0,3,1,2,1,0,0,11,12,16,42.9,Matches
687,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,26,1993,36.0,11,0,0,50,60,3,58,39,57,1,1,0,216,58,44,56.9,Matches
688,Ángel Di María,ARG,"FW,MF",Paris S-G,Ligue 1,32,1988,20.6,1,0,0,12,26,8,103,7,22,1,0,0,94,0,2,0.0,Matches
689,Alessandro Di Pardo,ITA,"MF,DF",Juventus,Serie A,21,1999,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,Matches
690,Giuseppe Di Serio,ITA,"FW,MF",Benevento,Serie A,19,2001,3.2,1,0,0,13,17,2,2,1,2,0,0,0,17,11,12,47.8,Matches
691,Boulaye Dia,SEN,"FW,MF",Reims,Ligue 1,23,1996,32.6,2,0,0,31,38,14,13,16,17,1,0,0,127,31,100,23.7,Matches
692,Abdoulay Diaby,MLI,MF,Getafe,La Liga,29,1991,0.2,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
693,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,21,1999,26.5,5,0,0,27,17,10,102,19,7,0,0,0,143,5,18,21.7,Matches
694,Mbaye Diagne,SEN,FW,West Brom,Premier League,28,1991,13.2,2,0,0,17,23,17,5,2,4,0,0,0,47,48,100,32.4,Matches
695,Mouctar Diakhaby,FRA,DF,Valencia,La Liga,23,1996,23.1,4,1,0,22,8,4,2,10,15,0,1,0,180,50,16,75.8,Matches
696,Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,24,1996,16.6,3,2,1,17,9,1,10,17,15,0,0,0,142,24,15,61.5,Matches
697,Amad Diallo,CIV,FW,Manchester Utd,Premier League,18,2002,1.8,0,0,0,2,4,0,0,3,3,0,0,0,11,1,2,33.3,Matches
698,Amad Diallo,CIV,MF,Atalanta,Serie A,18,2002,0.2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.0,Matches
699,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,25,1995,25.8,2,0,0,24,25,13,17,13,10,0,0,0,109,84,109,43.5,Matches
700,Habib Diallo,SEN,FW,Metz,Ligue 1,25,1995,1.6,0,0,0,2,2,2,1,0,0,0,0,0,8,10,15,40.0,Matches
701,Ibrahima Diallo,FRA,MF,Southampton,Premier League,21,1999,11.3,3,0,0,22,11,0,7,16,25,0,1,0,126,8,19,29.6,Matches
702,Ibrahima Diallo,FRA,MF,Brest,Ligue 1,21,1999,4.9,1,0,0,8,8,0,3,3,8,0,0,0,44,2,3,40.0,Matches
703,Amadou Diambo,GHA,FW,Benevento,Serie A,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
704,Grady Diangana,ENG,"MF,FW",West Brom,Premier League,22,1998,13.7,0,0,0,11,35,4,15,14,19,0,0,0,80,15,37,28.8,Matches
705,Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,21,1998,2.2,1,0,0,4,4,3,13,0,1,0,0,0,18,2,2,50.0,Matches
706,Raphael Dias Belloli,BRA,MF,Leeds United,Premier League,23,1996,26.2,3,0,0,13,31,15,75,31,19,0,0,0,159,12,38,24.0,Matches
707,Raphael Dias Belloli,BRA,"FW,MF",Rennes,Ligue 1,23,1996,4.5,0,0,0,6,12,0,7,4,2,0,0,0,22,3,9,25.0,Matches
708,Rúben Dias,POR,DF,Manchester City,Premier League,23,1997,31.6,4,0,0,21,20,1,2,22,21,0,2,1,271,60,28,68.2,Matches
709,Krepin Diatta,SEN,"MF,DF",Monaco,Ligue 1,21,1999,4.3,3,0,0,3,8,3,8,1,2,0,0,0,33,7,8,46.7,Matches
710,Amadou Diawara,GUI,MF,Roma,Serie A,23,1997,7.3,4,1,1,17,4,0,0,9,12,0,0,0,80,3,3,50.0,Matches
711,Brahim Díaz,ESP,"MF,FW",Milan,Serie A,20,1999,13.6,2,0,0,14,29,1,8,6,20,1,0,0,87,6,30,16.7,Matches
712,Víctor Díaz,ESP,DF,Granada,La Liga,32,1988,9.2,3,0,0,10,1,0,22,15,16,0,1,0,92,16,13,55.2,Matches
713,Daniel Didavi,GER,"FW,MF",Stuttgart,Bundesliga,30,1990,10.8,2,0,0,16,13,4,19,6,7,0,0,0,63,9,11,45.0,Matches
714,Eric Dier,ENG,DF,Tottenham,Premier League,26,1994,28.0,3,0,0,16,13,0,4,23,15,0,2,0,269,90,48,65.2,Matches
715,Daan Dierckx,BEL,DF,Parma,Serie A,17,2003,5.2,1,0,0,5,0,1,0,12,5,0,0,0,19,3,11,21.4,Matches
716,Lucas Digne,FRA,DF,Everton,Premier League,27,1993,29.8,2,1,0,35,22,4,132,26,40,0,0,0,284,94,39,70.7,Matches
717,Virgil van Dijk,NED,DF,Liverpool,Premier League,29,1991,4.1,1,0,0,4,2,1,0,0,1,0,0,0,48,16,7,69.6,Matches
718,Mitchell Dijks,NED,DF,Bologna,Serie A,27,1993,16.5,7,1,1,33,15,1,33,20,17,0,1,0,112,12,17,41.4,Matches
719,Javairô Dilrosun,NED,"FW,MF",Hertha BSC,Bundesliga,22,1998,5.9,0,0,0,8,11,1,9,6,5,0,0,0,30,1,7,12.5,Matches
720,Federico Dimarco,ITA,DF,Hellas Verona,Serie A,22,1997,29.0,6,0,0,32,50,6,103,42,25,0,1,0,246,13,30,30.2,Matches
721,Tristan Dingomé,CMR,MF,Reims,Ligue 1,29,1991,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0,Matches
722,Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,18,2001,1.2,0,1,0,1,0,1,1,3,0,0,0,0,10,3,3,50.0,Matches
723,Sinaly Diomande,CIV,DF,Lyon,Ligue 1,19,2001,12.6,3,0,0,16,14,0,3,23,8,0,1,0,112,51,15,77.3,Matches
724,Lois Diony,FRA,FW,Angers,Ligue 1,27,1992,19.4,2,0,0,23,35,5,30,3,12,1,0,0,61,43,80,35.0,Matches
725,Issa Diop,FRA,DF,West Ham,Premier League,23,1997,15.3,3,0,0,8,8,1,1,14,19,0,0,1,111,30,20,60.0,Matches
726,Papakouli Diop,SEN,MF,Eibar,La Liga,34,1986,25.8,9,2,1,42,20,2,7,41,36,0,0,0,347,86,69,55.5,Matches
727,Sofiane Diop,FRA,"MF,FW",Monaco,Ligue 1,20,2000,22.5,4,0,0,33,56,4,24,16,41,0,0,0,218,22,28,44.0,Matches
728,Andy Diouf,FRA,FW,Rennes,Ligue 1,18,2002,0.1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
729,Yehvann Diouf,FRA,GK,Reims,Ligue 1,20,1999,1.5,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0.0,Matches
730,Assane Dioussé,SEN,DF,Saint-Étienne,Ligue 1,22,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
731,Axel Disasi,FRA,DF,Monaco,Ligue 1,22,1998,22.3,4,2,0,28,19,1,3,27,23,0,0,1,217,55,30,64.7,Matches
732,Tiago Djaló,POR,DF,Lille,Ligue 1,20,2000,9.7,4,1,1,15,9,1,6,11,17,0,0,0,84,11,7,61.1,Matches
733,Djené,TOG,DF,Getafe,La Liga,28,1991,32.7,8,2,1,35,36,1,7,54,37,1,2,0,363,71,44,61.7,Matches
734,Moussa Djenepo,MLI,MF,Southampton,Premier League,22,1998,13.8,5,0,0,29,39,3,10,11,22,1,1,0,119,11,33,25.0,Matches
735,Koffi Djidji,CIV,DF,Crotone,Serie A,27,1992,16.9,4,0,0,22,3,1,3,28,22,0,0,0,114,34,24,58.6,Matches
736,Alexander Djiku,GHA,"DF,MF",Strasbourg,Ligue 1,25,1994,28.4,8,0,0,51,37,2,5,80,44,0,2,0,227,66,29,69.5,Matches
737,Berat Djimsiti,ALB,DF,Atalanta,Serie A,27,1993,29.2,8,0,0,31,26,1,9,48,26,0,0,0,321,78,30,72.2,Matches
738,Marko Dmitrović,SRB,GK,Eibar,La Liga,28,1992,34.7,0,0,0,1,4,0,0,0,1,0,0,0,198,0,0,0.0,Matches
739,Ritsu Doan,JPN,"MF,FW",Arminia,Bundesliga,22,1998,30.8,1,0,0,31,64,5,64,26,44,1,0,0,200,32,60,34.8,Matches
740,Mihai Dobre,ROU,FW,Dijon,Ligue 1,21,1998,5.9,0,0,0,5,6,2,6,9,8,0,0,0,38,14,10,58.3,Matches
741,Matt Doherty,IRL,DF,Tottenham,Premier League,28,1992,13.8,4,1,1,20,12,0,24,18,8,0,1,0,114,54,23,70.1,Matches
742,Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,18,2002,25.7,1,1,0,36,69,6,69,12,38,0,0,0,175,8,15,34.8,Matches
743,Kasper Dolberg,DEN,FW,Nice,Ligue 1,22,1997,21.4,2,0,0,20,49,5,4,4,6,0,0,0,72,23,30,43.4,Matches
744,Keagan Dolly,RSA,MF,Montpellier,Ligue 1,27,1993,5.0,2,0,0,5,3,2,4,4,8,0,0,0,36,1,7,12.5,Matches
745,Jaume Doménech,ESP,GK,Valencia,La Liga,29,1990,28.0,1,0,0,0,1,0,0,0,0,0,0,0,141,0,0,0.0,Matches
746,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,19,2001,4.0,2,0,0,7,2,0,0,7,4,0,0,0,17,10,13,43.5,Matches
747,Nicolás Domínguez,ARG,MF,Bologna,Serie A,22,1998,13.9,8,0,0,23,15,1,11,25,35,0,1,0,167,24,24,50.0,Matches
748,John Donald,ESP,DF,Elche,La Liga,19,2000,0.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
749,Ji Dong-won,KOR,FW,Mainz 05,Bundesliga,29,1991,0.7,1,0,0,3,1,0,0,0,0,0,0,0,10,5,4,55.6,Matches
750,Anastasios Donis,GRE,MF,Reims,Ligue 1,23,1996,1.1,0,1,0,3,0,3,3,0,0,0,0,0,2,1,0,100.0,Matches
751,Gianluigi Donnarumma,ITA,GK,Milan,Serie A,21,1999,37.0,1,0,0,1,4,0,0,0,0,0,0,0,147,0,0,0.0,Matches
752,Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,22,1997,22.2,4,1,1,24,26,0,3,23,17,0,1,0,177,69,45,60.5,Matches
753,Bas Dost,NED,FW,Eint Frankfurt,Bundesliga,31,1989,9.1,3,0,0,16,9,3,4,2,4,0,0,0,34,70,32,68.6,Matches
754,Lucas Douath,FRA,MF,Saint-Étienne,Ligue 1,16,2003,14.7,8,0,0,33,28,0,3,22,27,0,0,0,171,21,15,58.3,Matches
755,Abdoulaye Doucouré,FRA,MF,Everton,Premier League,27,1993,27.1,6,0,0,23,12,0,10,35,42,0,0,0,303,36,26,58.1,Matches
756,Cheick Doucouré,MLI,MF,Lens,Ligue 1,20,2000,29.2,8,0,0,46,16,0,3,55,59,0,0,0,333,31,22,58.5,Matches
757,Fodé Doucouré,MLI,DF,Reims,Ligue 1,19,2001,3.7,0,0,0,4,1,0,4,4,1,0,0,0,32,2,4,33.3,Matches
758,Mahamadou Doucouré,FRA,FW,Nîmes,Ligue 1,20,2000,0.5,0,0,0,0,1,0,2,1,0,0,0,0,2,1,1,50.0,Matches
759,Cheick Doukouré,CIV,MF,Levante,La Liga,27,1992,1.1,1,0,0,7,3,1,0,2,4,0,0,0,10,1,1,50.0,Matches
760,Idrissa Doumbia,CIV,MF,Huesca,La Liga,22,1998,8.7,4,0,0,12,5,0,0,9,10,0,0,0,79,2,5,28.6,Matches
761,Moussa Doumbia,MLI,"MF,FW",Reims,Ligue 1,25,1994,10.0,1,0,0,8,31,2,21,16,3,0,0,0,84,2,18,10.0,Matches
762,Souleyman Doumbia,CIV,DF,Angers,Ligue 1,23,1996,24.7,8,0,0,32,16,0,35,40,34,1,1,1,191,29,21,58.0,Matches
763,Aleksandar Dragović,AUT,DF,Leverkusen,Bundesliga,29,1991,12.6,3,0,0,12,7,0,5,15,10,0,0,0,168,27,15,64.3,Matches
764,Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,22,1997,35.0,0,1,0,1,5,0,0,0,0,0,1,0,171,0,0,0.0,Matches
765,Denis Drăguș,ROU,"FW,MF",Crotone,Serie A,21,1999,2.0,1,0,0,4,4,2,3,1,3,0,0,0,14,1,3,25.0,Matches
766,Radu Drăgușin,ROU,DF,Juventus,Serie A,18,2002,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
767,Mouhamadou Drammeh,FRA,MF,Reims,Ligue 1,21,1999,1.9,1,0,0,1,4,0,0,2,1,0,0,0,17,2,6,25.0,Matches
768,Julian Draxler,GER,"MF,FW",Paris S-G,Ligue 1,26,1993,11.8,3,0,0,8,13,4,22,16,7,0,0,0,59,6,3,66.7,Matches
769,Dominick Drexler,GER,"MF,FW",Köln,Bundesliga,30,1990,13.7,1,0,0,20,23,6,37,18,23,0,0,0,95,15,21,41.7,Matches
770,Matthieu Dreyer,FRA,GK,Lorient,Ligue 1,31,1989,15.0,1,0,0,0,1,0,0,0,0,0,0,0,67,0,0,0.0,Matches
771,Domingos Duarte,POR,DF,Granada,La Liga,25,1995,26.3,5,1,0,22,20,0,2,31,19,0,1,0,264,55,34,61.8,Matches
772,Léo Duarte,BRA,DF,Milan,Serie A,24,1996,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
773,Óscar Duarte,CRC,DF,Levante,La Liga,31,1989,22.9,2,0,0,34,6,2,2,25,14,0,1,0,184,85,50,63.0,Matches
774,Rubén Duarte,ESP,DF,Alavés,La Liga,24,1995,28.3,5,1,1,42,39,0,58,42,34,0,1,0,252,59,29,67.0,Matches
775,Leo Dubois,FRA,DF,Lyon,Ligue 1,25,1994,32.3,3,0,0,21,33,2,129,30,34,1,1,0,327,36,23,61.0,Matches
776,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,31,1989,13.0,0,0,0,0,5,0,0,0,0,0,0,0,65,0,0,0.0,Matches
777,Ondrej Duda,SVK,"FW,MF",Köln,Bundesliga,25,1994,28.2,8,1,1,54,56,5,51,19,29,0,0,0,208,41,78,34.5,Matches
778,Unai Dufur,ESP,DF,Eibar,La Liga,21,1999,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,1,1,50.0,Matches
779,Haris Duljević,BIH,"MF,FW",Nîmes,Ligue 1,26,1993,8.6,1,0,0,10,12,1,14,13,14,0,0,0,64,5,26,16.1,Matches
780,Paul Dummett,WAL,DF,Newcastle Utd,Premier League,28,1991,13.9,2,0,0,9,4,0,9,18,11,0,0,0,72,39,31,55.7,Matches
781,Alfred Duncan,GHA,MF,Fiorentina,Serie A,27,1993,1.8,0,0,0,2,2,0,1,3,1,0,0,0,16,2,5,28.6,Matches
782,Alfred Duncan,GHA,MF,Cagliari,Serie A,27,1993,11.9,2,0,0,16,12,0,9,16,15,0,0,0,131,12,14,46.2,Matches
783,Lewis Dunk,ENG,DF,Brighton,Premier League,28,1991,32.6,5,2,0,21,20,2,1,29,19,0,0,1,408,69,40,63.3,Matches
784,Jimmy Dunne,IRL,DF,Burnley,Premier League,22,1997,3.0,1,0,0,2,3,0,0,3,2,0,0,0,59,23,7,76.7,Matches
785,Erik Durm,GER,DF,Eint Frankfurt,Bundesliga,28,1992,16.4,1,0,0,9,14,1,38,23,16,0,0,0,130,22,23,48.9,Matches
786,Hugo Duro,ESP,FW,Real Madrid,La Liga,20,1999,0.6,0,0,0,1,1,0,1,0,0,0,0,0,1,1,5,16.7,Matches
787,Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,23,1997,22.5,4,0,0,22,14,0,8,18,24,0,2,0,221,47,45,51.1,Matches
