Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
829,Alfonso Espino,URU,DF,Cádiz,La Liga,28,1992,28.9,1039,778,261,21,0,134,38,61,1,1,0,0,402,224,413,602,119,53,239,1,666,9,27,36,53,Matches
830,Vicente Esquerdo,ESP,MF,Valencia,La Liga,21,1999,2.6,97,95,2,1,0,18,5,2,0,0,0,0,69,13,15,85,8,2,1,0,77,1,3,1,3,Matches
831,Nahuel Estévez,ARG,MF,Spezia,Serie A,24,1995,19.6,908,841,67,27,2,147,42,51,34,2,18,4,604,98,206,77,784,24,6,3,677,7,25,21,30,Matches
832,Pervis Estupiñán,ECU,DF,Villarreal,La Liga,22,1998,13.0,667,567,100,9,0,85,27,61,0,0,0,0,405,148,114,460,82,27,91,3,523,1,7,15,38,Matches
833,Yoann Etienne,FRA,DF,Lorient,Ligue 1,23,1997,1.0,38,29,9,0,0,12,0,2,0,0,0,0,14,9,15,21,3,3,9,1,24,0,4,2,2,Matches
834,Xabier Etxeita,ESP,DF,Getafe,La Liga,32,1987,9.8,289,274,15,14,0,33,13,0,0,0,0,0,147,35,107,91,151,34,1,0,195,0,13,4,5,Matches
835,Jonny Evans,NIR,DF,Leicester City,Premier League,32,1988,27.5,1764,1723,41,37,0,201,32,2,0,0,0,0,1285,155,324,629,984,97,4,3,1544,2,28,30,7,Matches
836,Edu Expósito,ESP,MF,Eibar,La Liga,23,1996,27.3,1179,1117,62,21,1,213,46,36,35,17,16,2,738,176,265,203,851,87,5,4,879,6,30,37,32,Matches
837,Valentin Eysseric,FRA,"MF,FW",Fiorentina,Serie A,28,1992,8.1,356,332,24,9,0,58,21,18,12,6,4,0,231,41,84,61,279,6,3,1,264,1,9,13,16,Matches
838,Eberechi Eze,ENG,MF,Crystal Palace,Premier League,22,1998,28.4,1158,1037,121,37,2,191,31,26,63,18,24,8,895,101,162,162,961,17,5,1,918,8,12,34,32,Matches
839,Jokin Ezkieta,ESP,GK,Athletic Club,La Liga,23,1996,1.0,24,16,8,1,0,0,0,0,0,0,0,0,18,2,4,2,16,0,0,6,21,0,1,0,0,Matches
840,Łukasz Fabiański,POL,GK,West Ham,Premier League,35,1985,35.0,1002,634,368,97,0,51,28,0,0,0,0,0,294,57,651,36,741,2,0,141,606,5,39,6,2,Matches
841,Fabinho,BRA,"DF,MF",Liverpool,Premier League,26,1993,28.5,2049,2001,48,42,3,188,37,2,0,0,0,0,1662,146,241,142,1796,58,6,8,1867,1,14,17,8,Matches
842,Fábio,BRA,DF,Nantes,Ligue 1,30,1990,16.7,864,676,188,14,1,79,13,22,1,0,0,1,465,175,224,221,399,43,173,3,668,2,19,20,31,Matches
843,Cesc Fàbregas,ESP,MF,Monaco,Ligue 1,33,1987,9.7,812,716,96,33,4,102,42,15,56,22,20,6,527,102,183,110,655,27,5,6,643,2,10,14,16,Matches
844,Bandiougou Fadiga,FRA,"FW,MF",Paris S-G,Ligue 1,19,2001,0.7,34,33,1,1,1,6,0,1,0,0,0,0,33,0,1,9,24,1,0,0,33,1,0,0,0,Matches
845,Bandiougou Fadiga,FRA,MF,Brest,Ligue 1,19,2001,0.5,29,27,2,2,0,3,1,1,0,0,0,0,25,1,3,5,24,0,0,0,25,0,1,0,0,Matches
846,Wout Faes,BEL,DF,Reims,Ligue 1,22,1998,32.2,1622,1591,31,26,1,135,65,1,0,0,0,0,1249,129,244,187,1326,75,5,3,1418,4,25,23,10,Matches
847,Nicolò Fagioli,ITA,MF,Juventus,Serie A,19,2001,0.2,18,17,1,0,0,1,1,0,1,0,1,0,16,0,2,1,17,0,0,0,17,0,0,0,1,Matches
848,Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,31,1988,20.8,825,562,263,79,0,47,22,0,0,0,0,0,394,30,401,74,591,0,0,116,541,3,11,5,1,Matches
849,Romain Faivre,FRA,"MF,FW",Brest,Ligue 1,22,1998,32.1,1482,1316,166,57,3,190,56,46,88,47,18,9,1061,182,239,1231,196,24,13,2,1188,5,21,41,39,Matches
850,Fali,ESP,"DF,MF",Cádiz,La Liga,26,1993,29.3,715,650,65,56,3,86,46,13,0,0,0,0,374,86,255,153,491,48,7,2,505,2,23,13,10,Matches
851,Iago Falque,ESP,"MF,FW",Benevento,Serie A,30,1990,4.0,208,189,19,6,1,38,9,14,9,4,2,2,136,20,52,176,27,2,2,0,156,0,4,2,6,Matches
852,Andri Fannar Baldursson,ISL,MF,Bologna,Serie A,18,2002,2.4,70,69,1,1,0,10,1,0,0,0,0,0,52,10,8,18,47,2,0,0,55,0,2,3,0,Matches
853,Paolo Faragò,ITA,DF,Bologna,Serie A,27,1993,0.3,13,12,1,0,0,1,0,1,0,0,0,0,12,1,0,4,8,0,1,0,11,0,0,0,1,Matches
854,Paolo Faragò,ITA,"DF,MF",Cagliari,Serie A,27,1993,4.1,225,185,40,3,1,26,3,7,1,1,0,0,125,51,49,56,122,7,36,1,187,0,5,4,5,Matches
855,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,28,1991,32.1,1492,1217,275,34,2,172,22,50,1,1,0,0,712,337,443,138,1040,42,240,3,1076,10,41,65,50,Matches
856,Mohamed Fares,ALG,DF,Lazio,Serie A,24,1996,12.7,555,490,65,7,0,55,12,47,0,0,0,0,336,123,96,412,62,12,58,3,426,2,10,6,24,Matches
857,Diego Farias,BRA,FW,Spezia,Serie A,30,1990,16.8,660,647,13,4,2,117,16,25,4,0,1,0,523,75,62,48,586,12,5,4,537,3,3,25,22,Matches
858,Wuilker Faríñez,VEN,GK,Lens,Ligue 1,22,1998,1.2,27,17,10,1,0,1,1,0,0,0,0,0,14,0,13,2,18,0,0,3,17,0,2,1,0,Matches
859,Noah Fatar,FRA,"FW,MF",Angers,Ligue 1,18,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1,8,1,0,0,0,7,0,0,0,0,Matches
860,Ansu Fati,ESP,FW,Barcelona,La Liga,17,2002,4.8,205,196,9,1,1,35,0,5,5,3,0,0,177,15,13,15,183,2,1,3,174,0,0,5,7,Matches
861,Julien Faussurier,FRA,DF,Brest,Ligue 1,33,1987,10.6,610,485,125,9,1,48,34,44,6,1,2,0,301,131,178,39,425,27,110,1,465,0,16,17,27,Matches
862,Andrea Favilli,ITA,FW,Hellas Verona,Serie A,23,1997,3.8,82,77,5,0,0,30,2,0,0,0,0,0,51,20,11,49,19,5,0,3,60,0,2,1,3,Matches
863,Federico Fazio,ARG,DF,Roma,Serie A,33,1987,4.5,307,298,9,7,1,32,9,2,0,0,0,0,239,26,42,55,231,8,2,0,269,0,4,10,4,Matches
864,Nabil Fekir,FRA,"MF,FW",Betis,La Liga,27,1993,29.1,1324,1167,157,40,6,238,53,56,81,22,34,2,1015,113,196,1109,169,13,12,2,1070,7,26,22,32,Matches
865,Felipe,BRA,DF,Atlético Madrid,La Liga,31,1989,22.9,1027,992,35,29,1,120,29,2,0,0,0,0,780,71,176,155,759,63,6,4,889,3,20,4,5,Matches
866,Luiz Felipe,BRA,DF,Lazio,Serie A,23,1997,10.1,546,521,25,19,0,35,13,1,0,0,0,0,456,41,49,64,452,18,6,1,500,0,4,8,4,Matches
867,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,22,1997,29.0,1443,1368,75,54,0,190,41,7,0,0,0,0,1049,142,252,1021,272,83,21,4,1215,2,17,15,25,Matches
868,João Félix,POR,"FW,MF",Atlético Madrid,La Liga,20,1999,17.5,679,662,17,4,8,158,12,13,1,1,0,0,538,75,66,43,603,10,5,3,566,4,3,14,20,Matches
869,Zinedine Ferhat,ALG,"FW,MF",Nîmes,Ligue 1,27,1993,32.9,1242,1159,83,14,11,221,45,83,41,16,10,7,737,232,273,69,1025,59,24,5,824,4,42,43,58,Matches
870,Bruno Fernandes,POR,MF,Manchester Utd,Premier League,25,1994,34.4,2283,2077,206,57,20,346,125,91,60,19,24,8,1501,278,504,164,1995,60,36,19,1702,17,44,71,99,Matches
871,Edimilson Fernandes,SUI,"MF,DF",Mainz 05,Bundesliga,24,1996,9.3,357,318,39,8,0,42,18,14,12,6,6,0,230,37,90,44,273,17,19,0,260,1,6,14,9,Matches
872,Aitor Fernández,ESP,GK,Levante,La Liga,29,1991,29.0,921,650,271,66,0,66,25,0,0,0,0,0,539,61,321,67,677,3,0,150,698,1,16,10,3,Matches
873,Álex Fernández,ESP,MF,Cádiz,La Liga,27,1992,21.6,898,741,157,67,0,150,46,41,75,28,33,6,539,116,243,171,664,35,8,2,667,5,11,20,23,Matches
874,Álvaro Fernández,ESP,GK,Huesca,La Liga,22,1998,22.0,818,577,241,70,0,60,23,0,0,0,0,0,466,45,307,91,595,0,0,109,613,8,22,3,1,Matches
875,Andrés Fernández,ESP,GK,Huesca,La Liga,33,1986,16.0,566,400,166,45,0,65,15,0,0,0,0,0,289,16,261,42,432,0,0,70,386,6,19,1,2,Matches
876,Augusto Fernández,ARG,MF,Cádiz,La Liga,34,1986,4.1,114,111,3,2,0,18,8,0,0,0,0,0,70,17,27,13,87,11,1,1,92,0,4,1,2,Matches
877,Carlos Fernández,ESP,FW,Sevilla,La Liga,24,1996,1.6,39,37,2,0,0,6,0,2,0,0,0,0,29,7,3,21,11,2,0,2,29,0,1,0,1,Matches
878,Carlos Fernández,ESP,"FW,MF",Real Sociedad,La Liga,24,1996,4.3,119,117,2,1,0,41,0,2,0,0,0,0,74,28,17,75,18,12,0,0,78,1,1,4,8,Matches
879,Federico Fernández,ARG,DF,Newcastle Utd,Premier League,31,1989,23.1,837,767,70,31,0,63,32,10,0,0,0,0,558,98,181,36,682,60,39,5,671,4,17,15,15,Matches
880,Joaquín Fernández,ESP,DF,Valladolid,La Liga,24,1996,23.0,763,734,29,28,0,89,24,1,0,0,0,0,492,80,191,107,570,56,1,4,622,0,23,13,7,Matches
881,Fernandinho,BRA,MF,Manchester City,Premier League,35,1985,13.2,1001,975,26,19,2,122,33,6,1,0,1,0,789,77,135,122,812,40,6,3,879,1,5,23,8,Matches
882,Fernando,BRA,MF,Sevilla,La Liga,33,1987,28.3,1537,1488,49,37,2,178,54,2,0,0,0,0,1199,160,178,162,1235,82,10,7,1391,3,20,11,8,Matches
883,Alex Ferrari,ITA,DF,Sampdoria,Serie A,26,1994,9.8,485,423,62,16,0,47,11,4,0,0,0,0,323,66,96,60,358,11,45,2,413,2,4,10,9,Matches
884,David Ferreiro,ESP,"MF,FW",Huesca,La Liga,32,1988,28.1,1096,925,171,68,0,197,83,112,88,29,38,1,600,131,365,119,915,34,12,5,720,10,28,28,50,Matches
885,Salvador Ferrer,ESP,DF,Spezia,Serie A,22,1998,13.2,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
886,Facundo Ferreyra,ARG,FW,Celta Vigo,La Liga,29,1991,3.3,55,50,5,1,0,22,0,1,0,0,0,0,29,14,12,8,25,3,1,8,36,0,0,3,3,Matches
887,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,28,1992,28.6,1634,1594,40,34,3,196,88,15,1,0,0,1,1195,166,273,97,1464,43,5,7,1402,5,15,28,35,Matches
888,Marco Festa,ITA,GK,Crotone,Serie A,28,1992,1.0,38,25,13,3,0,2,1,0,0,0,0,0,22,1,15,1,27,0,0,9,31,0,0,0,0,Matches
889,Fidel,ESP,"MF,DF",Elche,La Liga,30,1989,26.6,1236,1034,202,53,0,219,63,77,59,25,23,0,733,219,284,998,119,19,89,2,911,6,27,47,42,Matches
890,Sam Field,ENG,MF,West Brom,Premier League,22,1998,0.7,23,23,0,0,0,5,0,0,0,0,0,0,12,0,11,16,0,6,0,0,15,0,0,1,0,Matches
891,Alfreð Finnbogason,ISL,FW,Augsburg,Bundesliga,31,1989,6.0,176,167,9,1,2,50,3,10,1,0,0,0,100,45,31,34,107,17,1,5,111,1,3,8,8,Matches
892,Roberto Firmino,BRA,FW,Liverpool,Premier League,28,1991,31.5,1308,1266,42,3,8,287,9,32,2,0,0,0,1021,187,100,162,1066,39,15,12,1043,2,5,63,49,Matches
893,Junior Firpo,ESP,DF,Barcelona,La Liga,23,1996,3.2,236,212,24,4,0,30,0,4,0,0,0,0,186,34,16,174,32,7,20,1,210,2,0,7,5,Matches
894,John Fleck,SCO,MF,Sheffield Utd,Premier League,28,1991,28.6,1212,1101,111,30,2,154,38,35,59,28,13,10,813,157,242,1047,91,45,6,15,946,3,16,28,24,Matches
895,Mark Flekken,NED,GK,Freiburg,Bundesliga,27,1993,3.0,125,88,37,10,0,7,6,0,0,0,0,0,51,3,71,33,79,0,0,9,92,0,3,0,0,Matches
896,Florian Flick,GER,MF,Schalke 04,Bundesliga,20,2000,4.0,110,104,6,5,0,32,2,0,0,0,0,0,77,15,18,7,98,3,0,0,91,0,2,2,4,Matches
897,Alexis Flips,FRA,MF,Reims,Ligue 1,20,2000,0.5,15,13,2,1,0,5,5,4,1,1,0,0,7,2,6,0,15,0,0,0,8,0,4,1,0,Matches
898,Alessandro Florenzi,ITA,DF,Paris S-G,Ligue 1,29,1991,17.1,1003,896,107,7,0,69,27,71,3,1,2,0,638,179,186,54,809,32,97,3,830,2,22,20,16,Matches
899,Kingsley Fobi,GHA,DF,Granada,La Liga,21,1998,0.5,12,7,5,0,0,1,0,0,0,0,0,0,4,3,5,1,5,1,5,0,8,0,0,1,0,Matches
900,Phil Foden,ENG,"FW,MF",Manchester City,Premier League,20,2000,18.0,838,781,57,3,0,132,28,36,45,7,27,4,663,75,100,742,60,19,6,1,687,4,11,17,30,Matches
901,Mamadou Fofana,MLI,"MF,DF",Metz,Ligue 1,22,1998,11.9,449,436,13,13,0,58,8,0,0,0,0,0,331,40,78,72,348,26,0,1,377,0,7,9,6,Matches
902,Seko Fofana,CIV,MF,Lens,Ligue 1,25,1995,25.7,1250,1232,18,7,3,194,23,21,0,0,0,0,1051,88,111,228,950,37,4,8,1072,2,11,25,29,Matches
903,Wesley Fofana,FRA,DF,Leicester City,Premier League,19,2000,25.1,1672,1587,85,38,2,146,38,1,0,0,0,0,1338,133,201,129,1398,53,47,2,1474,2,26,19,10,Matches
904,Wesley Fofana,FRA,DF,Saint-Étienne,Ligue 1,19,2000,3.5,184,175,9,4,0,16,2,1,0,0,0,0,134,21,29,5,162,9,5,0,148,3,4,1,3,Matches
905,Youssouf Fofana,FRA,MF,Monaco,Ligue 1,21,1999,31.9,1711,1656,55,36,4,228,64,12,17,5,11,0,1322,149,240,312,1340,42,2,3,1449,5,31,41,24,Matches
906,Thomas Foket,BEL,DF,Reims,Ligue 1,25,1994,36.9,1929,1537,392,26,0,207,45,51,0,0,0,0,1155,453,321,151,1339,54,366,2,1537,4,41,62,60,Matches
907,Ramón Folch,ESP,MF,Elche,La Liga,30,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
908,Lamine Fomba,FRA,MF,Nîmes,Ligue 1,22,1998,24.2,721,709,12,10,1,108,17,3,0,0,0,0,535,109,77,104,558,34,1,6,594,0,15,24,14,Matches
909,Thomas Fontaine,MAD,DF,Lorient,Ligue 1,29,1991,3.6,100,90,10,10,0,7,5,0,0,0,0,0,74,8,18,59,36,2,0,1,89,0,3,0,2,Matches
910,José Fontán,ESP,DF,Celta Vigo,La Liga,20,2000,7.2,340,314,26,4,0,40,11,7,0,0,0,0,241,44,55,262,43,11,22,0,278,1,3,8,9,Matches
911,José Fonte,POR,DF,Lille,Ligue 1,36,1983,35.4,2336,2270,66,60,0,165,85,11,1,0,0,0,1875,141,320,231,1949,96,4,12,2117,3,28,15,18,Matches
912,Fernando Forestieri,ITA,"FW,MF",Udinese,Serie A,30,1990,6.1,201,190,11,3,1,41,5,9,0,0,0,0,146,30,25,14,169,7,2,4,156,1,2,6,10,Matches
913,Pablo Fornals,ESP,"FW,MF",West Ham,Premier League,24,1996,28.6,1102,1078,24,4,2,206,18,33,2,0,1,0,807,140,155,106,910,43,5,16,852,7,14,37,41,Matches
914,Emil Forsberg,SWE,"FW,MF",RB Leipzig,Bundesliga,28,1991,17.1,603,542,61,11,7,125,19,13,29,6,20,1,438,74,91,50,505,18,3,19,467,2,13,19,24,Matches
915,Fraser Forster,ENG,GK,Southampton,Premier League,32,1988,8.0,274,172,102,38,0,31,8,0,0,0,0,0,100,11,163,47,183,0,0,29,154,2,11,7,2,Matches
916,Philipp Förster,GER,"FW,MF",Stuttgart,Bundesliga,25,1995,16.8,713,680,33,9,0,165,5,19,8,5,2,1,553,97,63,577,87,19,14,7,564,6,7,28,34,Matches
917,Steven Fortes,CPV,DF,Lens,Ligue 1,28,1992,15.9,924,892,32,30,0,87,30,1,0,0,0,0,752,53,119,139,718,47,2,2,815,0,19,15,8,Matches
918,Yassin Fortune,FRA,FW,Angers,Ligue 1,21,1999,0.2,4,3,1,0,0,1,0,0,0,0,0,0,3,1,0,2,2,0,0,0,3,0,0,1,0,Matches
919,Timothy Fosu-Mensah,NED,DF,Manchester Utd,Premier League,22,1998,0.9,75,71,4,0,0,8,0,5,0,0,0,0,62,7,6,8,60,1,4,1,65,0,1,1,2,Matches
920,Timothy Fosu-Mensah,NED,DF,Leverkusen,Bundesliga,22,1998,4.5,352,309,43,5,0,54,10,5,0,0,0,0,250,50,52,39,258,8,38,1,304,0,1,7,4,Matches
921,Daam Foulon,BEL,DF,Benevento,Serie A,21,1999,11.3,458,360,98,17,0,41,6,20,2,0,2,0,272,80,106,303,51,18,79,0,338,1,18,7,21,Matches
922,Dimitri Foulquier,FRA,DF,Granada,La Liga,27,1993,29.6,1093,761,332,8,0,143,17,33,0,0,0,0,476,328,289,99,608,46,323,3,833,2,29,18,50,Matches
923,Juan Foyth,ARG,"DF,MF",Villarreal,La Liga,22,1998,13.0,734,669,65,21,2,115,16,2,0,0,0,0,551,94,89,70,561,33,44,4,650,0,9,10,11,Matches
924,Gianluca Frabotta,ITA,DF,Juventus,Serie A,21,1999,7.7,484,416,68,8,1,50,7,31,1,0,0,0,319,101,64,367,37,11,59,0,403,1,13,8,17,Matches
925,Raphael Framberger,GER,DF,Augsburg,Bundesliga,24,1995,17.1,738,559,179,10,1,126,15,42,0,0,0,0,314,246,178,17,488,47,169,2,488,4,25,26,40,Matches
926,Tyrese Francois,AUS,DF,Fulham,Premier League,20,2000,0.2,15,13,2,0,0,2,0,0,0,0,0,0,13,1,1,12,1,0,2,0,14,0,0,0,1,Matches
927,Ryan Fraser,SCO,"FW,MF",Newcastle Utd,Premier League,26,1994,10.3,369,305,64,10,1,49,19,52,45,10,24,6,198,55,116,55,276,23,7,3,243,1,2,6,19,Matches
928,Fred,BRA,MF,Manchester Utd,Premier League,27,1993,26.6,1763,1704,59,51,6,242,57,7,0,0,0,0,1424,179,160,1231,493,21,7,4,1555,3,21,44,41,Matches
929,Ryan Fredericks,ENG,"DF,FW",West Ham,Premier League,27,1992,6.3,279,242,37,4,0,30,1,18,0,0,0,0,157,47,75,19,197,26,33,0,203,0,4,3,12,Matches
930,Remo Freuler,SUI,MF,Atalanta,Serie A,28,1992,30.1,2124,2032,92,70,2,244,43,18,2,0,0,0,1726,181,217,292,1719,59,20,9,1876,4,18,43,26,Matches
931,Marco Friedl,AUT,DF,Werder Bremen,Bundesliga,22,1998,30.9,1676,1540,136,79,0,151,121,10,13,4,5,0,1100,158,418,1158,393,57,44,7,1360,3,31,28,26,Matches
932,Marvin Friedrich,GER,DF,Union Berlin,Bundesliga,24,1995,34.0,1805,1761,44,36,1,217,53,9,0,0,0,0,1241,158,406,237,1429,74,8,9,1461,5,31,34,31,Matches
933,Jeremie Frimpong,NED,"DF,FW",Leverkusen,Bundesliga,19,2000,4.8,279,238,41,1,0,34,2,16,0,0,0,0,197,51,31,26,207,4,40,0,232,1,1,6,13,Matches
934,Jorge de Frutos,ESP,"MF,FW",Levante,La Liga,23,1997,24.3,720,655,65,6,2,133,28,73,33,8,11,0,434,145,141,55,596,27,25,6,488,3,15,30,51,Matches
935,Christian Fuchs,AUT,DF,Leicester City,Premier League,34,1986,7.8,589,516,73,14,1,45,11,8,0,0,0,0,387,85,117,448,39,27,59,1,478,0,7,11,11,Matches
936,Angelo Fulgini,FRA,MF,Angers,Ligue 1,23,1996,30.3,1624,1502,122,43,15,288,58,44,56,12,24,10,1210,188,226,163,1393,28,6,19,1315,5,22,51,35,Matches
937,Niclas Füllkrug,GER,"FW,MF",Werder Bremen,Bundesliga,27,1993,9.7,259,248,11,0,0,84,4,3,0,0,0,0,101,78,80,32,129,43,4,9,151,1,2,11,17,Matches
938,Ramiro Funes Mori,ARG,DF,Villarreal,La Liga,29,1991,8.1,477,458,19,9,0,51,7,2,0,0,0,0,376,35,66,207,234,16,10,2,420,3,9,8,5,Matches
939,Darnell Furlong,ENG,DF,West Brom,Premier League,24,1995,32.6,1177,873,304,17,0,181,31,73,1,0,0,1,395,281,501,32,671,91,286,2,700,7,43,24,47,Matches
940,Daniel Fuzato,BRA,GK,Roma,Serie A,23,1997,5.0,153,106,47,16,0,19,2,0,0,0,0,0,91,8,54,11,114,0,0,28,113,0,4,1,0,Matches
941,Baptiste Gabard,FRA,MF,Saint-Étienne,Ligue 1,20,2000,1.5,55,54,1,1,0,6,0,0,0,0,0,0,49,1,5,42,11,1,0,0,43,0,0,6,2,Matches
942,Matteo Gabbia,ITA,DF,Milan,Serie A,20,1999,6.2,357,348,9,8,0,26,10,0,0,0,0,0,291,25,41,53,271,19,1,1,331,0,2,1,1,Matches
943,Manolo Gabbiadini,ITA,FW,Sampdoria,Serie A,28,1991,9.7,225,221,4,1,2,70,7,6,0,0,0,0,137,43,45,174,24,14,0,7,165,2,2,11,8,Matches
944,Mijat Gaćinović,SRB,"DF,MF",Hoffenheim,Bundesliga,25,1995,9.1,442,371,71,6,0,47,12,18,5,1,2,1,254,114,74,83,267,23,59,4,338,0,7,9,26,Matches
945,Roberto Gagliardini,ITA,MF,Inter,Serie A,26,1994,13.7,612,598,14,12,0,115,20,13,1,0,0,0,480,65,67,62,515,16,1,3,526,2,7,14,11,Matches
946,Riccardo Gagliolo,SWE,DF,Parma,Serie A,30,1990,21.7,1341,1190,151,38,0,106,33,39,0,0,0,0,840,191,310,848,324,41,112,5,1082,3,13,32,21,Matches
947,Adolfo Gaich,ARG,FW,Benevento,Serie A,21,1999,8.5,141,134,7,0,1,39,1,3,1,0,0,0,77,46,18,7,101,17,0,7,90,1,3,3,8,Matches
948,Andrey Galabinov,BUL,FW,Spezia,Serie A,31,1988,4.8,109,90,19,1,1,25,3,1,0,0,0,0,58,27,24,19,68,9,0,6,80,2,5,2,1,Matches
949,Javi Galán,ESP,DF,Huesca,La Liga,25,1994,34.1,1820,1430,390,38,0,198,51,104,23,12,6,1,1025,419,376,1366,75,41,329,1,1424,8,46,35,69,Matches
950,Conor Gallagher,ENG,MF,West Brom,Premier League,20,2000,28.1,954,902,52,15,0,180,28,32,25,13,3,4,649,116,189,94,787,48,2,4,742,2,14,32,28,Matches
951,Enric Gallego,ESP,FW,Osasuna,La Liga,33,1986,9.0,275,264,11,0,1,104,5,8,0,0,0,0,103,94,78,121,24,42,0,12,159,0,11,6,14,Matches
952,Kévin Gameiro,FRA,FW,Valencia,La Liga,33,1987,12.0,265,242,23,1,0,62,1,2,0,0,0,0,202,36,27,16,222,16,2,1,210,2,2,4,12,Matches
953,Idrissa Gana Gueye,SEN,MF,Paris S-G,Ligue 1,30,1989,17.6,1691,1658,33,25,1,197,20,7,0,0,0,0,1527,81,83,125,1511,24,8,7,1569,2,9,32,11,Matches
954,Ignatius Ganago,CMR,FW,Lens,Ligue 1,21,1999,14.5,283,256,27,0,1,71,5,17,1,0,0,0,193,57,33,31,210,20,2,3,203,0,7,13,11,Matches
955,Aleix García,ESP,MF,Eibar,La Liga,23,1997,4.9,271,250,21,7,0,33,22,3,13,9,4,0,192,26,53,40,211,11,1,2,225,1,5,3,3,Matches
956,Borja García,ESP,"MF,FW",Huesca,La Liga,29,1990,12.4,561,545,16,4,3,100,13,9,2,0,1,0,400,92,69,48,484,17,0,5,477,6,3,9,17,Matches
957,Dani García,ESP,MF,Athletic Club,La Liga,30,1990,21.3,1036,1002,34,27,1,161,46,5,0,0,0,0,689,128,219,154,779,65,4,3,866,3,25,16,12,Matches
958,David García,ESP,DF,Osasuna,La Liga,26,1994,35.0,1298,1246,52,49,1,195,52,4,0,0,0,0,679,171,448,395,653,143,3,4,980,7,32,22,12,Matches
959,Eric García,ESP,DF,Manchester City,Premier League,19,2001,4.3,344,337,7,4,0,16,3,0,0,0,0,0,303,21,20,33,296,8,3,1,322,1,3,3,2,Matches
960,Manu García,ESP,MF,Alavés,La Liga,34,1986,12.5,389,378,11,4,0,90,10,7,0,0,0,0,238,51,100,208,110,34,4,3,278,2,7,12,10,Matches
961,Raúl García,ESP,"DF,MF",Valladolid,La Liga,31,1989,5.6,287,219,68,4,0,27,5,20,0,0,0,0,125,72,90,181,12,17,64,0,199,1,6,6,19,Matches
962,Raúl García,ESP,"FW,MF",Athletic Club,La Liga,34,1986,19.4,597,586,11,1,6,183,10,17,1,1,0,0,268,130,199,77,338,76,1,11,372,5,21,17,25,Matches
963,Rubén García,ESP,"MF,FW",Osasuna,La Liga,27,1993,30.2,1212,1069,143,52,0,214,87,91,57,22,26,3,631,210,371,892,140,96,28,8,803,7,48,44,54,Matches
964,Sergi García,ESP,MF,Alavés,La Liga,21,1999,0.2,8,5,3,0,0,2,0,0,0,0,0,0,4,3,1,0,6,0,2,0,5,0,0,0,0,Matches
965,Unai García,ESP,DF,Osasuna,La Liga,28,1992,13.8,421,393,28,27,0,58,27,3,0,0,0,0,260,46,115,33,344,30,1,3,330,1,15,1,8,Matches
966,Mario Gaspar,ESP,DF,Villarreal,La Liga,29,1990,20.6,1106,888,218,22,0,121,17,30,1,0,0,0,689,242,175,85,764,45,195,2,935,7,17,22,35,Matches
967,Manuel Gasparini,ITA,GK,Udinese,Serie A,18,2002,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,Matches
968,Dwight Gayle,ENG,"FW,MF",Newcastle Utd,Premier League,29,1990,5.7,114,106,8,0,0,32,1,2,0,0,0,0,74,27,13,27,67,7,3,5,91,0,3,1,3,Matches
969,Paulo Gazzaniga,ARG,GK,Elche,La Liga,28,1992,8.0,243,152,91,27,0,9,5,0,0,0,0,0,72,10,161,7,188,0,0,24,141,1,10,5,0,Matches
970,Jean-Philippe Gbamin,CIV,MF,Everton,Premier League,24,1995,0.1,9,9,0,0,0,4,0,0,0,0,0,0,7,1,1,3,6,0,0,0,6,0,0,0,2,Matches
971,Yann Gboho,FRA,"MF,FW",Rennes,Ligue 1,19,2001,3.4,120,118,2,0,0,28,1,5,0,0,0,0,103,10,7,6,109,1,2,0,91,1,3,2,5,Matches
972,David de Gea,ESP,GK,Manchester Utd,Premier League,29,1990,25.5,594,385,209,37,0,32,15,0,0,0,0,0,355,25,214,37,463,2,0,80,458,3,10,6,1,Matches
973,Christian Gebauer,AUT,"MF,FW",Arminia,Bundesliga,26,1993,7.6,192,186,6,2,0,41,4,8,1,0,0,0,105,38,49,24,141,16,3,3,126,1,5,5,14,Matches
974,Theodor Gebre Selassie,CZE,DF,Werder Bremen,Bundesliga,33,1986,33.7,1542,1203,339,11,0,206,17,33,0,0,0,0,757,367,418,109,972,85,328,6,1177,4,22,52,44,Matches
975,Emrehan Gedikli,GER,FW,Leverkusen,Bundesliga,17,2003,0.3,5,4,1,0,0,2,0,0,0,0,0,0,4,1,0,1,3,1,0,0,4,0,0,0,0,Matches
