Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
203,Ross Barkley,ENG,MF,Chelsea,Premier League,26,1993,0.5,0,0,0,0,0,0,0,0.0,0,5,1,20.0,2,2,1,0,0,0,0,0,0,0,0,Matches
204,Aymen Barkok,MAR,"FW,MF",Eint Frankfurt,Bundesliga,22,1998,10.9,31,18,12,7,12,10,30,33.3,20,289,85,29.4,58,124,107,20,1,0,19,14,45,9,0,Matches
205,Ashley Barnes,ENG,FW,Burnley,Premier League,30,1989,14.8,16,6,2,7,7,4,12,33.3,8,202,52,25.7,24,77,101,15,3,0,12,5,21,9,0,Matches
206,Harvey Barnes,ENG,"FW,MF",Leicester City,Premier League,22,1997,21.6,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0,Matches
207,Marc Baró,ESP,DF,Cádiz,La Liga,20,1999,1.0,2,1,2,0,0,0,2,0.0,2,13,2,15.4,8,5,0,2,0,0,2,3,5,1,1,Matches
208,Antonio Barragán,ESP,DF,Elche,La Liga,33,1987,24.8,28,14,22,5,1,8,24,33.3,16,189,41,21.7,117,58,14,38,11,0,27,30,58,70,1,Matches
209,Antonio Barreca,ITA,DF,Fiorentina,Serie A,25,1995,0.9,0,0,0,0,0,0,1,0.0,1,6,1,16.7,3,1,2,2,0,0,2,0,0,0,0,Matches
210,Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,20,2000,25.6,68,39,27,27,14,15,49,30.6,34,579,173,29.9,173,287,119,61,12,0,49,50,118,63,0,Matches
211,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,La Liga,18,2001,14.5,32,20,9,13,10,8,32,25.0,24,344,96,27.9,81,156,107,28,1,0,27,12,44,10,0,Matches
212,Jacob Barrett Laursen,DEN,DF,Arminia,Bundesliga,25,1994,12.3,21,13,11,9,1,6,14,42.9,8,152,41,27.0,79,55,18,40,6,0,34,23,44,37,0,Matches
213,Musa Barrow,GAM,"FW,MF",Bologna,Serie A,21,1998,32.5,21,8,6,9,6,4,27,14.8,23,462,120,26.0,100,166,196,44,4,0,40,14,35,18,0,Matches
214,Kyle Bartley,ENG,DF,West Brom,Premier League,29,1991,28.7,26,18,15,10,1,10,32,31.3,22,231,76,32.9,135,82,14,74,37,1,37,31,57,202,2,Matches
215,Paolo Bartolomei,ITA,MF,Spezia,Serie A,30,1989,3.6,7,2,3,1,3,1,2,50.0,1,73,12,16.4,19,36,18,3,0,0,3,0,7,1,0,Matches
216,Marc Bartra,ESP,DF,Betis,La Liga,29,1991,18.8,30,10,17,12,1,9,21,42.9,12,207,65,31.4,108,89,10,27,6,0,21,24,54,101,3,Matches
217,Daniele Baselli,ITA,MF,Torino,Serie A,28,1992,4.4,11,10,2,6,3,5,9,55.6,4,103,36,35.0,36,47,20,5,0,0,5,6,17,6,0,Matches
218,Chris Basham,ENG,"DF,MF",Sheffield Utd,Premier League,32,1988,28.6,76,46,48,22,6,37,69,53.6,32,382,115,30.1,200,137,45,49,15,5,34,45,121,124,1,Matches
219,Toma Bašić,CRO,MF,Bordeaux,Ligue 1,23,1996,28.9,31,22,15,14,2,10,53,18.9,43,502,122,24.3,173,256,73,28,4,0,24,23,54,49,0,Matches
220,Álvaro Bastida,ESP,MF,Cádiz,La Liga,16,2004,0.4,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
221,Alessandro Bastoni,ITA,DF,Inter,Serie A,21,1999,32.5,44,26,18,23,3,17,30,56.7,13,296,87,29.4,141,124,31,48,20,0,28,37,81,87,1,Matches
222,Simone Bastoni,ITA,DF,Spezia,Serie A,23,1996,16.9,55,29,31,19,5,26,47,55.3,21,264,76,28.8,99,122,43,21,1,0,20,22,77,39,0,Matches
223,Bastos,ANG,DF,Lazio,Serie A,29,1991,0.7,4,2,2,1,1,0,1,0.0,1,23,9,39.1,15,7,1,3,0,0,3,0,4,1,0,Matches
224,Michy Batshuayi,BEL,FW,Crystal Palace,Premier League,26,1993,8.1,3,3,1,2,0,2,9,22.2,7,109,21,19.3,8,54,47,10,1,0,9,2,5,5,1,Matches
225,Rodrigo Battaglia,ARG,MF,Alavés,La Liga,29,1991,27.7,53,32,22,25,6,18,52,34.6,34,477,133,27.9,180,253,44,42,15,0,27,18,71,55,0,Matches
226,Cristian Battocchio,ITA,"MF,FW",Brest,Ligue 1,28,1992,3.9,5,3,1,4,0,2,8,25.0,6,51,10,19.6,9,33,9,2,0,0,2,3,8,5,0,Matches
227,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,30,1990,31.0,0,0,0,0,0,0,0,0.0,0,5,1,20.0,5,0,0,0,0,0,0,0,0,2,0,Matches
228,Julian Baumgartlinger,AUT,MF,Leverkusen,Bundesliga,32,1988,11.9,46,28,18,25,3,16,34,47.1,18,198,83,41.9,57,115,26,20,0,0,20,17,63,19,0,Matches
229,Christoph Baumgartner,AUT,"MF,FW",Hoffenheim,Bundesliga,20,1999,26.3,53,38,20,23,10,14,60,23.3,46,572,183,32.0,121,282,169,46,9,0,37,19,72,19,0,Matches
230,Jon Bautista,ESP,"FW,MF",Real Sociedad,La Liga,25,1995,4.1,6,5,0,4,2,0,5,0.0,5,83,21,25.3,4,43,36,5,2,0,3,2,8,4,0,Matches
231,Paul Baysse,FRA,DF,Bordeaux,Ligue 1,32,1988,29.0,33,24,22,9,2,10,20,50.0,10,222,91,41.0,134,79,9,40,23,0,17,37,70,169,3,Matches
232,Noah Joel Sarenren Bazee,NGA,"FW,MF",Augsburg,Bundesliga,23,1996,0.4,1,1,0,1,0,1,1,100.0,0,10,3,30.0,1,9,0,1,0,0,1,2,3,0,0,Matches
233,Ihlas Bebou,TOG,FW,Hoffenheim,Bundesliga,26,1994,24.4,30,20,8,12,10,8,14,57.1,6,361,116,32.1,34,140,187,26,7,0,19,13,43,21,1,Matches
234,Rodrigo Becão,BRA,DF,Udinese,Serie A,24,1996,30.9,68,37,39,25,4,20,47,42.6,27,413,142,34.4,248,133,32,56,31,0,25,47,115,123,2,Matches
235,Sheraldo Becker,NED,"FW,MF",Union Berlin,Bundesliga,25,1995,12.3,8,7,3,3,2,3,5,60.0,2,129,39,30.2,22,62,45,10,0,0,10,5,13,5,0,Matches
236,Timo Becker,GER,DF,Schalke 04,Bundesliga,23,1997,18.2,38,19,34,4,0,15,29,51.7,14,265,87,32.8,149,93,23,42,5,0,37,34,72,49,1,Matches
237,Jan Bednarek,POL,DF,Southampton,Premier League,24,1996,34.4,48,28,31,16,1,23,53,43.4,30,284,95,33.5,169,104,11,59,28,1,31,78,126,216,1,Matches
238,Donny van de Beek,NED,"MF,FW",Manchester Utd,Premier League,23,1997,5.8,12,9,3,6,3,3,13,23.1,10,105,32,30.5,21,59,25,11,1,0,10,7,19,9,0,Matches
239,Valon Behrami,SUI,MF,Genoa,Serie A,35,1985,9.9,22,14,9,12,1,9,23,39.1,14,281,59,21.0,110,137,34,22,3,0,19,6,28,16,0,Matches
240,Brian Behrendt,GER,DF,Arminia,Bundesliga,28,1991,0.9,2,1,0,2,0,0,1,0.0,1,13,3,23.1,5,8,0,0,0,0,0,0,2,1,0,Matches
241,Maximilian Beier,GER,FW,Hoffenheim,Bundesliga,17,2002,0.1,0,0,0,0,0,0,0,0.0,0,5,2,40.0,0,3,2,0,0,0,0,0,0,0,0,Matches
242,Ishak Belfodil,ALG,FW,Hoffenheim,Bundesliga,28,1992,6.6,3,2,1,0,2,0,1,0.0,1,54,13,24.1,5,13,36,3,1,0,2,0,3,4,0,Matches
243,Erwan Belhadji,FRA,FW,Dijon,Ligue 1,19,2001,0.3,3,0,3,0,0,2,3,66.7,1,13,3,23.1,5,8,0,3,0,0,3,0,3,0,0,Matches
244,Haris Belkebla,ALG,MF,Brest,Ligue 1,26,1994,30.3,73,50,38,30,5,22,72,30.6,50,594,159,26.8,232,294,68,52,8,0,44,37,110,45,0,Matches
245,Stefan Bell,GER,DF,Mainz 05,Bundesliga,28,1991,14.1,25,17,20,5,0,10,20,50.0,10,129,57,44.2,76,47,6,23,12,0,11,38,63,127,1,Matches
246,Karim Bellarabi,GER,"FW,MF",Leverkusen,Bundesliga,30,1990,8.9,16,12,4,5,7,4,22,18.2,18,143,39,27.3,31,66,46,11,0,0,11,13,29,8,0,Matches
247,Jean-Ricner Bellegarde,FRA,"MF,FW",Strasbourg,Ligue 1,22,1998,23.2,58,43,28,17,13,13,30,43.3,17,394,126,32.0,134,171,89,29,2,1,27,18,76,17,1,Matches
248,Héctor Bellerín,ESP,DF,Arsenal,Premier League,25,1995,23.2,34,18,18,13,3,12,41,29.3,29,223,62,27.8,87,100,36,50,9,0,41,13,47,41,0,Matches
249,Jude Bellingham,ENG,MF,Dortmund,Bundesliga,17,2003,18.9,54,37,14,27,13,18,50,36.0,32,434,126,29.0,96,231,107,40,6,0,34,21,75,20,0,Matches
250,Andrea Belotti,ITA,FW,Torino,Serie A,26,1993,32.1,31,26,2,18,11,7,29,24.1,22,387,100,25.8,46,177,164,33,5,0,28,8,39,17,0,Matches
251,Fran Beltrán,ESP,MF,Celta Vigo,La Liga,21,1999,15.5,34,20,20,10,4,8,30,26.7,22,343,111,32.4,136,162,45,22,2,0,20,17,51,23,1,Matches
252,Sami Ben Amar,MAR,MF,Nîmes,Ligue 1,22,1998,0.1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,1,0,Matches
253,Hatem Ben Arfa,FRA,"MF,FW",Bordeaux,Ligue 1,33,1987,18.9,12,11,1,9,2,1,9,11.1,8,174,65,37.4,20,79,75,2,0,0,2,5,17,0,0,Matches
254,Salim Ben Seghir,FRA,DF,Nice,Ligue 1,17,2003,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,29,1990,29.0,19,14,3,9,7,3,13,23.1,10,348,98,28.2,21,156,171,19,2,0,17,10,29,4,0,Matches
256,Ahmad Benali,LBY,MF,Crotone,Serie A,28,1992,13.5,29,22,16,13,0,13,46,28.3,33,276,78,28.3,114,116,46,13,2,0,11,10,39,19,0,Matches
257,Samy Benchama,FRA,"MF,DF",Montpellier,Ligue 1,20,2000,0.5,2,1,1,1,0,0,1,0.0,1,14,3,21.4,7,6,1,0,0,0,0,0,2,1,0,Matches
258,Lars Bender,GER,DF,Leverkusen,Bundesliga,31,1989,10.4,19,13,11,6,2,9,22,40.9,13,132,44,33.3,49,63,20,26,7,0,19,8,27,27,0,Matches
259,Sven Bender,GER,DF,Leverkusen,Bundesliga,31,1989,13.0,18,12,9,6,3,6,19,31.6,13,131,48,36.6,59,65,7,26,9,0,17,14,32,64,0,Matches
260,Darío Benedetto,ARG,FW,Marseille,Ligue 1,30,1990,17.5,7,2,1,4,2,3,11,27.3,8,188,41,21.8,8,94,86,13,3,0,10,3,10,16,0,Matches
261,László Bénes,SVK,"MF,FW",Augsburg,Bundesliga,22,1997,7.3,7,5,5,2,0,3,7,42.9,4,130,37,28.5,36,75,19,7,2,0,5,9,16,4,1,Matches
262,László Bénes,SVK,MF,M'Gladbach,Bundesliga,22,1997,1.7,6,2,5,1,0,2,3,66.7,1,20,5,25.0,7,12,1,3,1,0,2,4,10,2,0,Matches
263,Walter Benítez,ARG,GK,Nice,Ligue 1,27,1993,38.0,0,0,0,0,0,0,1,0.0,1,3,2,66.7,3,0,0,1,0,0,1,0,0,0,2,Matches
264,Loris Benito,SUI,DF,Bordeaux,Ligue 1,28,1992,29.5,49,33,34,12,3,25,51,49.0,26,296,92,31.1,149,111,36,49,11,1,38,40,89,92,0,Matches
265,Sergio Benito,ESP,FW,Valladolid,La Liga,21,1999,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
266,Bilal Benkhedim,FRA,FW,Saint-Étienne,Ligue 1,19,2001,0.8,0,0,0,0,0,0,2,0.0,2,27,9,33.3,4,14,9,2,0,0,2,0,0,0,0,Matches
267,Djamel Benlamri,ALG,DF,Lyon,Ligue 1,30,1989,1.7,5,4,4,1,0,4,8,50.0,4,16,7,43.8,12,4,0,7,3,0,4,6,11,13,0,Matches
