Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
523,Alberto Cifuentes,ESP,GK,Cádiz,La Liga,41,1979,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
524,Luca Cigarini,ITA,MF,Crotone,Serie A,34,1986,10.3,25,17,9,14,2,12,34,35.3,22,168,53,31.5,62,85,21,16,1,0,15,10,35,8,1,Matches
525,Jasper Cillessen,NED,GK,Valencia,La Liga,31,1989,10.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Matches
526,Antonio Cioffi,ITA,FW,Napoli,Serie A,17,2002,0.1,0,0,0,0,0,0,0,0.0,0,4,2,50.0,1,3,0,2,0,0,2,1,1,0,0,Matches
527,Tim Civeja,GER,"MF,DF",Augsburg,Bundesliga,18,2002,0.4,0,0,0,0,0,0,1,0.0,1,6,2,33.3,3,3,0,1,0,0,1,1,1,1,0,Matches
528,Ciaran Clark,IRL,DF,Newcastle Utd,Premier League,30,1989,21.0,27,14,18,7,2,3,10,30.0,7,156,49,31.4,102,42,12,45,20,0,25,26,53,134,3,Matches
529,Alexis Claude-Maurice,FRA,"MF,FW",Nice,Ligue 1,22,1998,21.2,36,25,16,14,6,18,49,36.7,31,362,97,26.8,84,164,114,16,2,0,14,13,49,11,0,Matches
530,Jonathan Clauss,FRA,DF,Lens,Ligue 1,27,1992,28.0,54,27,16,25,13,18,51,35.3,33,342,103,30.1,122,133,87,55,1,0,54,43,97,56,0,Matches
531,Carlos Clerc,ESP,DF,Levante,La Liga,28,1992,30.9,66,47,37,22,7,23,50,46.0,27,425,151,35.5,187,168,70,53,4,0,49,35,101,94,1,Matches
532,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,29,1991,12.7,21,9,14,7,0,9,16,56.3,7,117,31,26.5,73,29,15,25,2,0,23,13,34,32,0,Matches
533,Conor Coady,ENG,DF,Wolves,Premier League,27,1993,36.7,31,23,23,8,0,14,37,37.8,23,203,71,35.0,149,52,2,59,39,2,20,25,56,163,1,Matches
534,Marcus Coco,FRA,"MF,FW",Nantes,Ligue 1,24,1996,16.4,41,30,17,14,10,13,31,41.9,18,320,87,27.2,89,155,76,19,2,0,17,15,56,15,0,Matches
535,Coke,ESP,DF,Levante,La Liga,33,1987,9.3,21,11,12,6,3,10,25,40.0,15,130,32,24.6,71,39,20,17,0,0,17,15,36,36,0,Matches
536,Séamus Coleman,IRL,"DF,MF",Everton,Premier League,31,1988,17.9,39,26,25,9,5,17,40,42.5,23,242,73,30.2,134,72,36,39,9,0,30,22,61,38,1,Matches
537,Ebrima Colley,GAM,"FW,MF",Hellas Verona,Serie A,20,2000,8.2,8,5,0,8,0,4,11,36.4,7,131,39,29.8,27,52,52,9,0,0,9,2,10,1,0,Matches
538,Omar Colley,GAM,DF,Sampdoria,Serie A,27,1992,28.8,40,24,26,12,2,10,21,47.6,11,245,88,35.9,149,88,8,47,30,2,17,52,92,177,2,Matches
539,Simone Colombi,ITA,GK,Parma,Serie A,29,1991,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
540,Lorenzo Colombo,ITA,FW,Milan,Serie A,18,2002,1.0,2,2,1,1,0,0,2,0.0,2,32,6,18.8,5,20,7,0,0,0,0,1,3,2,0,Matches
541,Racine Coly,SEN,DF,Nice,Ligue 1,24,1995,0.2,1,1,1,0,0,0,1,0.0,1,4,3,75.0,2,2,0,0,0,0,0,0,1,0,0,Matches
542,Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,24,1996,19.5,20,12,9,9,2,8,27,29.6,19,320,102,31.9,56,133,131,24,0,0,24,12,32,5,0,Matches
543,Daniel Congré,FRA,DF,Montpellier,Ligue 1,35,1985,36.6,58,36,48,10,0,32,68,47.1,36,329,131,39.8,209,106,14,67,35,0,32,45,103,189,3,Matches
544,Aaron Connolly,IRL,FW,Brighton,Premier League,20,2000,8.8,7,5,2,4,1,1,5,20.0,4,124,40,32.3,7,58,59,9,1,0,8,0,7,1,0,Matches
545,Andrea Consigli,ITA,GK,Sassuolo,Serie A,33,1987,37.0,0,0,0,0,0,0,1,0.0,1,9,1,11.1,9,0,0,0,0,0,0,0,0,2,0,Matches
546,Andrea Conti,ITA,DF,Milan,Serie A,26,1994,0.3,1,1,1,0,0,0,0,0.0,0,8,4,50.0,5,2,1,1,0,0,1,1,2,1,0,Matches
547,Andrea Conti,ITA,DF,Parma,Serie A,26,1994,9.0,30,18,20,8,2,10,30,33.3,20,128,37,28.9,71,42,15,17,4,0,13,24,54,18,0,Matches
548,Liam Cooper,SCO,DF,Leeds United,Premier League,28,1991,24.3,76,47,48,27,1,34,58,58.6,24,291,115,39.5,181,102,8,45,31,0,14,53,129,123,1,Matches
549,Francis Coquelin,FRA,MF,Villarreal,La Liga,29,1991,8.2,21,9,3,15,3,5,11,45.5,6,127,38,29.9,37,73,17,12,2,0,10,17,38,12,0,Matches
550,Theo Corbeanu,CAN,FW,Wolves,Premier League,18,2002,0.1,1,0,0,1,0,0,1,0.0,1,4,1,25.0,1,2,1,0,0,0,0,1,2,0,0,Matches
551,Sébastien Corchia,FRA,DF,Nantes,Ligue 1,29,1990,23.0,53,25,28,15,10,22,50,44.0,28,283,95,33.6,110,123,50,47,10,0,37,26,79,72,0,Matches
552,Alex Cordaz,ITA,GK,Crotone,Serie A,37,1983,36.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,2,2,Matches
553,Iñigo Córdoba,ESP,"FW,MF",Athletic Club,La Liga,23,1997,1.1,0,0,0,0,0,0,4,0.0,4,23,7,30.4,6,7,10,3,0,0,3,1,1,1,0,Matches
554,Iñigo Córdoba,ESP,MF,Alavés,La Liga,23,1997,2.4,7,5,3,2,2,2,10,20.0,8,85,17,20.0,27,39,19,8,0,0,8,4,11,1,0,Matches
555,Jhon Córdoba,COL,FW,Hertha BSC,Bundesliga,27,1993,17.1,10,4,1,4,5,2,9,22.2,7,263,77,29.3,20,126,117,16,2,0,14,9,19,4,0,Matches
556,Sergio Córdova,VEN,"FW,MF",Arminia,Bundesliga,22,1997,12.1,16,11,1,9,6,3,14,21.4,11,269,57,21.2,21,150,98,14,2,0,12,6,22,14,0,Matches
557,Jack Cork,ENG,MF,Burnley,Premier League,31,1989,15.0,25,16,6,15,4,9,27,33.3,18,234,71,30.3,58,121,55,20,6,0,14,15,40,24,0,Matches
558,Andreas Cornelius,DEN,FW,Parma,Serie A,27,1993,21.1,8,5,1,2,5,1,11,9.1,10,270,65,24.1,21,99,150,11,3,0,8,2,10,29,1,Matches
559,Maxwel Cornet,CIV,"DF,FW",Lyon,Ligue 1,23,1996,27.2,80,46,46,24,10,29,58,50.0,29,301,97,32.2,152,101,48,43,3,0,40,44,124,85,2,Matches
560,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,25,1995,26.6,37,30,12,18,7,14,51,27.5,37,502,147,29.3,87,232,183,31,2,0,29,21,58,16,0,Matches
561,Joaquín Correa,ARG,FW,Lazio,Serie A,25,1994,21.5,17,10,4,9,4,6,25,24.0,19,339,108,31.9,37,155,147,13,0,0,13,9,26,7,0,Matches
562,Rober Correa,ESP,DF,Eibar,La Liga,27,1992,12.6,22,16,14,6,2,9,14,64.3,5,133,45,33.8,59,49,25,24,1,0,23,24,46,58,0,Matches
563,Félix Correia,POR,MF,Juventus,Serie A,19,2001,0.1,0,0,0,0,0,0,0,0.0,0,7,0,0.0,2,3,2,0,0,0,0,0,0,0,0,Matches
564,Thierry Correia,POR,DF,Valencia,La Liga,21,1999,23.7,59,34,43,11,5,25,45,55.6,20,355,95,26.8,197,109,49,42,5,0,37,36,95,86,1,Matches
565,Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,36,1983,6.0,0,0,0,0,0,0,0,0.0,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,1,Matches
566,Danny da Costa,GER,DF,Mainz 05,Bundesliga,27,1993,13.4,25,10,11,7,7,10,26,38.5,16,185,48,25.9,79,66,40,17,2,0,15,22,47,38,0,Matches
567,Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,27,1993,1.2,2,2,2,0,0,0,1,0.0,1,25,6,24.0,9,12,4,4,1,0,3,0,2,4,0,Matches
568,David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,19,2001,1.8,6,5,2,4,0,4,4,100.0,0,30,13,43.3,10,16,4,3,0,0,3,0,6,2,0,Matches
569,Diego Costa,ESP,FW,Atlético Madrid,La Liga,31,1988,2.3,1,0,1,0,0,1,3,33.3,2,30,6,20.0,3,18,9,1,0,0,1,0,1,2,0,Matches
570,Douglas Costa,BRA,"MF,FW",Juventus,Serie A,29,1990,0.5,1,0,1,0,0,1,3,33.3,2,8,1,12.5,1,4,3,0,0,0,0,1,2,0,0,Matches
571,Douglas Costa,BRA,"FW,MF",Bayern Munich,Bundesliga,29,1990,3.6,2,2,1,1,0,0,2,0.0,2,67,18,26.9,5,32,30,8,1,0,7,3,5,0,0,Matches
572,Hélder Costa,POR,"MF,FW",Leeds United,Premier League,26,1994,12.8,30,15,14,7,9,9,32,28.1,23,265,72,27.2,93,102,70,19,0,0,19,6,36,9,0,Matches
573,Jaume Costa,ESP,"DF,MF",Villarreal,La Liga,32,1988,3.9,11,3,6,5,0,5,8,62.5,3,42,15,35.7,11,23,8,10,1,0,9,8,19,12,0,Matches
574,Charles Costes,FRA,MF,Dijon,Ligue 1,17,2002,0.0,0,0,0,0,0,0,0,0.0,0,4,0,0.0,1,2,1,0,0,0,0,0,0,0,0,Matches
575,Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33,1987,38.0,0,0,0,0,0,0,2,0.0,2,6,1,16.7,6,0,0,1,0,0,1,0,0,3,0,Matches
576,Vladimír Coufal,CZE,DF,West Ham,Premier League,27,1992,33.9,77,41,57,17,3,44,93,47.3,49,457,126,27.6,247,140,70,74,5,0,69,39,116,123,1,Matches
577,Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,28,1991,10.9,7,6,0,3,4,2,5,40.0,3,78,19,24.4,1,38,39,5,2,0,3,3,10,11,0,Matches
578,Lassana Coulibaly,MLI,"MF,FW",Angers,Ligue 1,24,1996,18.7,81,56,35,35,11,24,67,35.8,43,468,157,33.5,167,248,53,28,6,0,22,36,117,41,1,Matches
579,Mamadou Coulibaly,SEN,MF,Udinese,Serie A,21,1999,2.0,10,7,4,6,0,0,2,0.0,2,36,6,16.7,8,24,4,3,1,0,2,1,11,0,0,Matches
580,Senou Coulibaly,MLI,DF,Dijon,Ligue 1,25,1994,21.5,32,22,26,5,1,8,25,32.0,17,218,64,29.4,135,72,11,35,12,0,23,39,71,114,1,Matches
581,Tanguy Coulibaly,FRA,"DF,FW",Stuttgart,Bundesliga,19,2001,16.7,38,20,18,8,12,14,30,46.7,16,362,94,26.0,93,136,133,26,0,0,26,7,45,15,0,Matches
582,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,28,1992,38.0,0,0,0,0,0,0,0,0.0,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,5,Matches
583,Philippe Coutinho,BRA,"MF,FW",Barcelona,La Liga,28,1992,7.3,7,6,2,4,1,2,5,40.0,3,65,20,30.8,14,29,22,4,0,0,4,4,11,1,0,Matches
584,Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,21,1999,15.2,39,18,28,10,1,19,38,50.0,19,182,50,27.5,105,56,21,35,12,0,23,21,60,51,0,Matches
585,Alessio Cragno,ITA,GK,Cagliari,Serie A,26,1994,34.0,0,0,0,0,0,0,3,0.0,3,7,1,14.3,7,0,0,0,0,0,0,0,0,1,1,Matches
586,Gian Crespi,ITA,GK,Crotone,Serie A,19,2001,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
587,Aaron Cresswell,ENG,DF,West Ham,Premier League,30,1989,35.2,31,13,15,14,2,14,34,41.2,20,230,67,29.1,122,90,18,48,14,0,34,36,67,99,0,Matches
588,Domenico Criscito,ITA,DF,Genoa,Serie A,33,1986,19.2,43,27,31,9,3,10,28,35.7,18,238,71,29.8,131,94,13,27,14,0,13,35,78,77,1,Matches
589,Bryan Cristante,ITA,"DF,MF",Roma,Serie A,25,1995,23.9,38,31,17,18,3,8,26,30.8,18,375,108,28.8,133,172,70,29,9,0,20,34,72,76,2,Matches
590,Giovanni Crociata,ITA,"DF,MF",Crotone,Serie A,22,1997,0.3,2,1,1,1,0,1,1,100.0,0,12,1,8.3,3,7,2,1,0,0,1,0,2,0,0,Matches
591,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,28,1992,21.8,33,17,16,15,2,18,32,56.3,14,228,65,28.5,103,92,33,48,6,1,42,10,43,59,1,Matches
592,Juan Cuadrado,COL,"DF,MF",Juventus,Serie A,32,1988,24.2,42,21,24,13,5,14,40,35.0,26,287,84,29.3,134,93,60,35,2,0,33,31,73,22,1,Matches
593,Adrián Cubas,PAR,MF,Nîmes,Ligue 1,24,1996,24.9,81,62,32,39,10,35,86,40.7,51,667,232,34.8,295,320,52,42,10,0,32,57,138,32,1,Matches
594,Sergio Cubero Ezcurra,ESP,MF,Eibar,La Liga,20,1999,0.0,0,0,0,0,0,0,0,0.0,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
595,Cucho,COL,"FW,MF",Getafe,La Liga,21,1999,16.3,19,10,1,15,3,1,19,5.3,18,321,76,23.7,31,169,121,19,1,0,18,5,24,8,0,Matches
596,Marc Cucurella,ESP,MF,Getafe,La Liga,22,1998,36.0,71,48,24,38,9,21,56,37.5,35,771,236,30.6,196,387,188,69,4,0,65,54,125,40,0,Matches
597,Mickaël Cuisance,FRA,MF,Marseille,Ligue 1,20,1999,11.4,26,17,9,12,5,7,31,22.6,24,302,78,25.8,75,153,74,14,0,0,14,7,33,8,0,Matches
598,Mickaël Cuisance,FRA,FW,Bayern Munich,Bundesliga,20,1999,0.2,0,0,0,0,0,0,0,0.0,0,4,1,25.0,0,1,3,1,0,0,1,0,0,0,0,Matches
599,Matheus Cunha,BRA,"FW,MF",Hertha BSC,Bundesliga,21,1999,23.9,39,30,10,22,7,12,51,23.5,39,492,136,27.6,120,211,161,38,4,0,34,35,74,6,0,Matches
600,Giuseppe Cuomo,ITA,DF,Crotone,Serie A,22,1998,8.9,27,14,19,8,0,13,22,59.1,9,136,52,38.2,75,52,9,16,4,0,12,15,42,35,0,Matches
601,Patrick Cutrone,ITA,"FW,MF",Wolves,Premier League,22,1998,0.3,0,0,0,0,0,0,0,0.0,0,7,2,28.6,2,1,4,0,0,0,0,0,0,0,0,Matches
602,Patrick Cutrone,ITA,"FW,MF",Fiorentina,Serie A,22,1998,2.2,3,2,2,1,0,0,4,0.0,4,63,11,17.5,11,30,22,3,0,0,3,0,3,0,0,Matches
603,Patrick Cutrone,ITA,FW,Valencia,La Liga,22,1998,1.2,0,0,0,0,0,0,0,0.0,0,28,6,21.4,3,11,14,0,0,0,0,1,1,0,0,Matches
604,Wylan Cyprien,FRA,MF,Parma,Serie A,25,1995,4.6,10,6,7,3,0,2,6,33.3,4,69,18,26.1,33,30,6,13,6,0,7,3,13,11,2,Matches
605,Rafael Czichos,GER,DF,Köln,Bundesliga,30,1990,25.1,63,37,41,21,1,20,43,46.5,23,272,108,39.7,164,103,5,41,10,0,31,38,101,144,0,Matches
606,Lennart-Marten Czyborra,GER,DF,Genoa,Serie A,21,1999,13.0,15,7,6,5,4,7,19,36.8,12,161,39,24.2,70,59,32,25,3,0,22,12,27,33,0,Matches
607,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,31,1988,7.8,16,11,6,8,2,6,13,46.2,7,93,34,36.6,32,48,13,13,7,0,6,6,22,16,0,Matches
608,Damien Da Silva,FRA,DF,Rennes,Ligue 1,32,1988,29.6,29,18,19,8,2,12,24,50.0,12,167,67,40.1,90,72,5,29,16,1,13,40,69,161,1,Matches
609,Bryan Dabo,BFA,MF,Benevento,Serie A,28,1992,12.4,15,8,9,4,2,6,18,33.3,12,181,52,28.7,59,93,29,15,2,0,13,14,29,18,0,Matches
610,Moanes Dabour,ISR,FW,Hoffenheim,Bundesliga,28,1992,11.1,12,8,5,4,3,4,15,26.7,11,188,60,31.9,21,91,76,10,1,0,9,6,18,5,0,Matches
611,Colin Dagba,FRA,DF,Paris S-G,Ligue 1,21,1998,15.1,26,13,6,15,5,11,25,44.0,14,209,66,31.6,66,89,54,33,6,1,27,12,38,26,0,Matches
612,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,22,1998,3.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
613,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,24,1996,14.0,36,24,12,20,4,11,38,28.9,27,296,82,27.7,83,172,41,31,7,0,24,21,57,14,0,Matches
614,Leon Dajaku,GER,FW,Union Berlin,Bundesliga,19,2001,0.4,1,1,0,1,0,0,0,0.0,0,7,1,14.3,0,7,0,0,0,0,0,0,1,0,0,Matches
615,Stuart Dallas,NIR,"DF,MF",Leeds United,Premier League,29,1991,37.9,79,52,46,28,5,29,99,29.3,70,587,190,32.4,223,279,85,55,3,0,52,59,138,55,1,Matches
616,Diogo Dalot,POR,DF,Milan,Serie A,21,1999,12.1,37,17,26,9,2,23,37,62.2,14,180,38,21.1,98,61,21,26,5,0,21,18,55,54,0,Matches
617,Mikkel Damsgaard,DEN,"MF,FW",Sampdoria,Serie A,20,2000,19.7,50,28,17,25,8,16,74,21.6,58,575,148,25.7,130,280,165,43,4,0,39,28,78,13,0,Matches
618,Flavius Daniliuc,AUT,DF,Nice,Ligue 1,19,2001,16.4,29,12,19,7,3,15,26,57.7,11,168,49,29.2,91,57,20,20,7,0,13,19,48,47,1,Matches
619,Danilo,BRA,DF,Juventus,Serie A,29,1991,32.4,60,37,39,13,8,24,59,40.7,35,249,80,32.1,134,85,30,54,13,0,41,44,104,82,0,Matches
620,Scott Dann,ENG,DF,Crystal Palace,Premier League,33,1987,15.0,10,7,9,1,0,3,12,25.0,9,62,17,27.4,41,20,1,26,16,0,10,8,18,75,1,Matches
621,Tiago Dantas,POR,MF,Bayern Munich,Bundesliga,19,2000,0.8,0,0,0,0,0,0,0,0.0,0,10,2,20.0,5,4,1,0,0,0,0,1,1,0,0,Matches
622,Dante,BRA,DF,Nice,Ligue 1,36,1983,8.6,8,7,5,3,0,3,9,33.3,6,53,20,37.7,29,23,1,6,4,0,2,2,10,32,0,Matches
623,Andrea Danzi,ITA,"MF,DF",Hellas Verona,Serie A,21,1999,1.2,0,0,0,0,0,0,1,0.0,1,5,2,40.0,2,3,0,1,1,0,0,1,1,2,0,Matches
624,Ebrima Darboe,GAM,MF,Roma,Serie A,19,2001,3.6,6,4,1,3,2,2,11,18.2,9,67,21,31.3,13,43,11,3,0,0,3,13,19,0,1,Matches
625,Márton Dárdai,GER,DF,Hertha BSC,Bundesliga,18,2002,9.1,18,11,12,5,1,8,16,50.0,8,90,25,27.8,50,36,4,14,3,0,11,15,33,41,0,Matches
626,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,29,1990,21.1,37,24,17,15,5,9,35,25.7,26,405,130,32.1,99,218,88,35,2,0,33,31,68,24,0,Matches
627,Karl Darlow,ENG,GK,Newcastle Utd,Premier League,29,1990,25.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,1,1,2,0,Matches
628,Matteo Darmian,ITA,DF,Inter,Serie A,30,1989,12.9,26,13,14,4,8,10,25,40.0,15,176,45,25.6,66,61,49,15,1,0,14,16,42,30,0,Matches
629,Matteo Darmian,ITA,DF,Parma,Serie A,30,1989,2.3,6,3,3,3,0,3,8,37.5,5,40,11,27.5,22,17,1,3,0,0,3,3,9,11,0,Matches
630,Jonathan David,CAN,FW,Lille,Ligue 1,20,2000,26.2,21,13,5,8,8,6,19,31.6,13,535,149,27.9,39,198,298,23,1,0,22,15,36,7,0,Matches
631,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,19,2000,19.6,48,38,18,22,8,20,30,66.7,10,246,98,39.8,91,96,59,44,1,0,43,46,94,34,1,Matches
632,Ben Davies,WAL,DF,Tottenham,Premier League,27,1993,15.0,26,13,14,8,4,10,29,34.5,19,184,42,22.8,91,64,29,24,5,0,19,13,39,72,0,Matches
633,Tom Davies,ENG,MF,Everton,Premier League,22,1998,15.8,33,28,21,11,1,10,40,25.0,30,272,91,33.5,115,123,34,21,8,0,13,34,67,30,1,Matches
634,Keinan Davis,ENG,"FW,MF",Aston Villa,Premier League,22,1998,3.1,3,3,1,1,1,0,1,0.0,1,63,16,25.4,4,33,26,2,1,0,1,0,3,2,0,Matches
635,Leif Davis,ENG,DF,Leeds United,Premier League,20,2000,0.4,0,0,0,0,0,0,2,0.0,2,12,0,0.0,5,6,1,3,1,0,2,2,2,0,0,Matches
636,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,25,1995,20.7,42,30,26,13,3,13,26,50.0,13,297,87,29.3,146,130,21,37,19,0,18,26,68,99,0,Matches
637,Craig Dawson,ENG,DF,West Ham,Premier League,30,1990,21.4,13,11,13,0,0,3,12,25.0,9,145,45,31.0,96,46,3,32,25,1,7,39,52,133,1,Matches
638,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,29,1991,22.2,37,31,8,19,10,10,52,19.2,42,376,121,32.2,46,175,155,27,2,0,25,16,53,7,0,Matches
639,Sebastien De Maio,FRA,DF,Udinese,Serie A,33,1987,9.5,20,13,8,12,0,4,5,80.0,1,111,40,36.0,74,34,3,17,11,1,6,13,33,45,0,Matches
640,Rodrigo De Paul,ARG,MF,Udinese,Serie A,26,1994,35.6,44,29,21,21,2,20,62,32.3,42,488,135,27.7,189,194,105,59,2,0,57,19,63,23,1,Matches
641,Mattia De Sciglio,ITA,DF,Juventus,Serie A,27,1992,0.3,0,0,0,0,0,0,0,0.0,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,0,Matches
642,Mattia De Sciglio,ITA,DF,Lyon,Ligue 1,27,1992,16.3,34,23,18,10,6,15,27,55.6,12,173,61,35.3,61,74,38,37,8,0,29,36,70,47,1,Matches
643,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,32,1988,23.8,37,17,21,12,4,15,37,40.5,22,277,80,28.9,128,110,39,68,9,0,59,27,64,73,2,Matches
644,Thibault De Smet,BEL,DF,Reims,Ligue 1,22,1998,5.5,12,8,6,6,0,3,14,21.4,11,94,32,34.0,47,38,9,19,2,0,17,5,17,25,0,Matches
645,Lucas Deaux,FRA,"MF,DF",Nîmes,Ligue 1,31,1988,19.5,59,38,28,26,5,18,61,29.5,43,472,144,30.5,148,251,73,26,6,0,20,14,73,44,4,Matches
646,Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,35,1985,23.4,66,37,43,17,6,37,64,57.8,27,296,88,29.7,155,106,35,49,11,0,38,47,113,84,1,Matches
647,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,Serie A,29,1991,14.9,17,12,6,3,8,3,10,30.0,7,234,65,27.8,34,101,99,16,1,0,15,8,25,2,1,Matches
648,Alessandro Deiola,ITA,MF,Spezia,Serie A,24,1995,4.0,9,6,5,4,0,5,9,55.6,4,78,20,25.6,21,43,14,4,1,0,3,2,11,2,0,Matches
649,Alessandro Deiola,ITA,MF,Cagliari,Serie A,24,1995,6.8,13,7,7,2,4,4,18,22.2,14,128,27,21.1,52,57,19,12,3,0,9,15,28,17,0,Matches
650,Romain Del Castillo,FRA,"MF,FW",Rennes,Ligue 1,24,1996,7.2,33,23,7,17,9,8,23,34.8,15,181,67,37.0,35,80,66,9,0,0,9,4,37,2,0,Matches
651,Lorenzo Del Pinto,ITA,MF,Benevento,Serie A,30,1990,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,1,0,2,0,0,0,0,0,0,1,0,Matches
652,Thomas Delaine,FRA,DF,Metz,Ligue 1,28,1992,19.8,37,18,23,11,3,16,37,43.2,21,217,41,18.9,97,86,34,35,5,0,30,16,53,36,1,Matches
653,Thomas Delaney,DEN,MF,Dortmund,Bundesliga,28,1991,14.3,49,37,19,22,8,16,35,45.7,19,274,100,36.5,105,135,34,33,10,0,23,24,73,28,1,Matches
654,Liam Delap,ENG,FW,Manchester City,Premier League,17,2003,0.4,0,0,0,0,0,0,0,0.0,0,6,1,16.7,0,5,1,0,0,0,0,0,0,0,0,Matches
655,Jonathan Delaplace,FRA,DF,Lorient,Ligue 1,34,1986,10.1,18,12,13,3,2,8,17,47.1,9,136,42,30.9,65,55,16,19,5,0,14,20,38,26,1,Matches
656,Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18,2002,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,1,1,2,0,Matches
657,Cristian Dell'Orco,ITA,DF,Spezia,Serie A,26,1994,2.9,1,1,1,0,0,1,2,50.0,1,18,7,38.9,8,5,5,11,6,0,5,4,5,7,0,Matches
658,Andy Delort,ALG,FW,Montpellier,Ligue 1,28,1991,27.6,18,15,2,10,6,4,16,25.0,12,240,67,27.9,33,91,116,12,2,0,10,4,22,28,0,Matches
659,Fabian Delph,ENG,"MF,DF",Everton,Premier League,30,1989,3.0,5,2,3,2,0,1,2,50.0,1,30,6,20.0,12,18,0,4,0,0,4,4,9,3,0,Matches
660,Moussa Dembélé,FRA,"FW,MF",Atlético Madrid,La Liga,24,1996,1.1,0,0,0,0,0,0,0,0.0,0,16,5,31.3,1,10,5,0,0,0,0,0,0,0,0,Matches
661,Moussa Dembélé,FRA,FW,Lyon,Ligue 1,24,1996,7.5,3,3,0,1,2,1,5,20.0,4,80,24,30.0,1,28,51,8,4,0,4,2,5,9,0,Matches
662,Ousmane Dembélé,FRA,"FW,DF",Barcelona,La Liga,23,1997,19.7,17,10,4,10,3,5,14,35.7,9,285,65,22.8,33,116,136,22,0,0,22,14,31,2,0,Matches
663,Merih Demiral,TUR,DF,Juventus,Serie A,22,1998,10.4,17,11,12,5,0,3,9,33.3,6,106,31,29.2,61,37,8,18,8,0,10,12,29,39,0,Matches
664,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,27,1993,19.4,51,35,14,31,6,15,45,33.3,30,442,161,36.4,106,238,98,25,4,0,21,13,64,11,1,Matches
665,Ermedin Demirović,BIH,FW,Freiburg,Bundesliga,22,1998,16.6,17,13,4,6,7,1,19,5.3,18,376,96,25.5,32,161,183,31,5,0,26,5,22,23,1,Matches
666,Diego Demme,GER,MF,Napoli,Serie A,28,1991,17.7,62,37,24,29,9,18,63,28.6,45,427,125,29.3,134,215,78,16,1,0,15,17,79,23,0,Matches
667,Jason Denayer,BEL,DF,Lyon,Ligue 1,25,1995,29.0,34,21,23,11,0,8,14,57.1,6,179,74,41.3,87,83,9,69,32,1,37,22,56,121,2,Matches
668,Leander Dendoncker,BEL,"MF,DF",Wolves,Premier League,25,1995,27.8,49,29,31,15,3,23,61,37.7,38,495,149,30.1,224,224,47,59,15,0,44,27,76,75,0,Matches
669,Kevin Denkey,TOG,FW,Nîmes,Ligue 1,19,2000,5.8,3,3,0,2,1,1,4,25.0,3,90,17,18.9,5,37,48,2,0,0,2,2,5,3,0,Matches
