Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
459,Scott Carson,ENG,GK,Manchester City,Premier League,34,1985,1.0,15,16,93.8,334,200,3,3,100.0,9,9,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,Matches
460,Dani Carvajal,ESP,DF,Real Madrid,La Liga,28,1992,10.6,700,822,85.2,13226,3622,307,335,91.6,286,320,89.4,100,132,75.8,2,0.8,1.2,9,29,18,5,52,Matches
461,Fabio Carvalho,ENG,"MF,FW",Fulham,Premier League,17,2002,2.8,67,86,77.9,869,98,47,55,85.5,15,18,83.3,3,5,60.0,0,0.4,-0.4,2,3,2,0,5,Matches
462,William Carvalho,POR,MF,Betis,La Liga,28,1992,13.6,814,954,85.3,15337,3569,345,383,90.1,350,390,89.7,105,156,67.3,0,0.5,-0.5,10,85,11,0,70,Matches
463,Casemiro,BRA,MF,Real Madrid,La Liga,28,1992,32.2,1632,1949,83.7,32768,8045,638,708,90.1,697,787,88.6,271,379,71.5,4,3.6,0.4,25,150,24,0,111,Matches
464,Matty Cash,ENG,DF,Aston Villa,Premier League,22,1997,26.4,959,1298,73.9,18616,6966,394,440,89.5,412,517,79.7,141,307,45.9,2,2.2,-0.2,22,78,24,16,64,Matches
465,Kiko Casilla,ESP,GK,Leeds United,Premier League,33,1986,3.0,82,94,87.2,2073,1230,27,27,100.0,29,29,100.0,25,37,67.6,0,0.0,0.0,0,0,0,0,0,Matches
466,Giuseppe Caso,ITA,MF,Genoa,Serie A,21,1998,0.6,9,17,52.9,121,16,6,8,75.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0,0,0,0,1,Matches
467,Moreto Cassamã,GNB,MF,Reims,Ligue 1,22,1998,22.6,1215,1392,87.3,27793,5962,333,367,90.7,591,630,93.8,284,379,74.9,1,0.8,0.2,15,103,5,1,99,Matches
468,Francesco Cassata,ITA,DF,Genoa,Serie A,23,1997,2.3,69,93,74.2,1119,467,34,39,87.2,28,36,77.8,4,9,44.4,0,0.1,-0.1,1,4,1,0,10,Matches
469,Timothy Castagne,BEL,DF,Leicester City,Premier League,24,1995,26.1,1267,1512,83.8,20653,7144,634,693,91.5,548,631,86.8,74,141,52.5,3,2.0,1.0,22,87,21,7,99,Matches
470,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,28,1992,32.0,938,1247,75.2,29682,17383,111,111,100.0,443,444,99.8,383,690,55.5,0,0.0,0.0,1,10,0,0,0,Matches
471,Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,25,1995,21.6,633,751,84.3,12747,4537,212,236,89.8,323,357,90.5,91,142,64.1,0,0.1,-0.1,2,40,1,1,46,Matches
472,Samu Castillejo,ESP,FW,Milan,Serie A,25,1995,13.1,365,463,78.8,6300,1539,181,207,87.4,137,160,85.6,37,63,58.7,0,0.7,-0.7,10,23,16,4,37,Matches
473,Gonzalo Castro,GER,"MF,FW",Stuttgart,Bundesliga,33,1987,19.2,675,905,74.6,12319,4097,304,348,87.4,256,322,79.5,94,175,53.7,2,3.0,-1.0,43,61,31,1,90,Matches
474,Jonny Castro,ESP,DF,Wolves,Premier League,26,1994,5.5,188,239,78.7,2770,1002,111,127,87.4,66,79,83.5,8,19,42.1,0,0.1,-0.1,3,8,1,1,11,Matches
475,Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,23,1997,25.9,598,774,77.3,10069,2881,313,376,83.2,202,246,82.1,60,97,61.9,3,2.5,0.5,19,49,35,12,79,Matches
476,Danilo Cataldi,ITA,MF,Lazio,Serie A,25,1994,6.3,356,432,82.4,6477,2137,146,156,93.6,160,180,88.9,42,84,50.0,0,0.2,-0.2,4,35,8,2,40,Matches
477,Ivan Cavaleiro,POR,"FW,MF",Fulham,Premier League,26,1993,27.5,600,834,71.9,10024,2429,307,379,81.0,213,264,80.7,60,131,45.8,0,3.4,-3.4,44,19,30,11,50,Matches
478,Edinson Cavani,URU,FW,Manchester Utd,Premier League,33,1987,15.3,270,343,78.7,4517,627,134,163,82.2,95,113,84.1,30,36,83.3,3,2.7,0.3,15,16,13,1,18,Matches
479,Dani Ceballos,ESP,MF,Arsenal,Premier League,23,1996,17.9,1112,1286,86.5,22027,5182,415,457,90.8,511,558,91.6,172,230,74.8,3,2.9,0.1,27,131,22,3,107,Matches
480,Federico Ceccherini,ITA,DF,Hellas Verona,Serie A,28,1992,19.3,745,911,81.8,13994,4692,305,340,89.7,334,387,86.3,89,155,57.4,0,0.2,-0.2,5,72,6,0,63,Matches
481,Federico Ceccherini,ITA,DF,Fiorentina,Serie A,28,1992,3.0,97,111,87.4,2176,613,29,30,96.7,48,52,92.3,20,29,69.0,0,0.0,0.0,0,4,0,0,5,Matches
482,Zeki Çelik,TUR,DF,Lille,Ligue 1,23,1997,26.5,1308,1657,78.9,22519,9292,642,713,90.0,520,624,83.3,125,251,49.8,2,2.6,-0.6,25,104,24,13,121,Matches
483,Bersant Celina,KVX,"MF,FW",Dijon,Ligue 1,23,1996,25.5,844,1092,77.3,14705,4256,427,478,89.3,298,355,83.9,102,218,46.8,5,4.5,0.5,49,89,38,7,96,Matches
484,Fabien Centonze,FRA,DF,Metz,Ligue 1,24,1996,35.8,1381,1769,78.1,22360,9804,729,815,89.4,536,674,79.5,95,212,44.8,0,1.5,-1.5,20,75,26,18,113,Matches
485,Luca Ceppitelli,ITA,DF,Cagliari,Serie A,30,1989,16.3,685,812,84.4,14163,4525,218,247,88.3,359,387,92.8,99,159,62.3,0,0.0,0.0,1,50,6,1,44,Matches
486,Alberto Cerri,ITA,FW,Cagliari,Serie A,24,1996,4.1,95,142,66.9,1530,281,56,73,76.7,29,46,63.0,8,12,66.7,0,0.8,-0.8,6,6,5,0,13,Matches
487,Sava Cestic,GER,DF,Köln,Bundesliga,19,2001,10.0,307,405,75.8,7158,2532,54,71,76.1,189,212,89.2,60,114,52.6,0,0.1,-0.1,2,16,1,0,24,Matches
488,Julian Chabot,GER,DF,Spezia,Serie A,22,1998,18.4,915,1047,87.4,21661,5549,234,251,93.2,436,473,92.2,236,308,76.6,1,0.2,0.8,4,46,1,0,35,Matches
489,Nassim Chadli,FRA,"FW,MF",Nîmes,Ligue 1,19,2001,0.3,12,15,80.0,205,114,5,7,71.4,5,5,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,2,Matches
490,Fouad Chafik,MAR,DF,Dijon,Ligue 1,33,1986,18.0,782,1021,76.6,13877,5842,355,395,89.9,323,398,81.2,84,191,44.0,0,0.7,-0.7,10,68,9,6,76,Matches
491,Mehdi Chahiri,MAR,"FW,MF",Strasbourg,Ligue 1,24,1996,8.9,201,279,72.0,3393,1003,101,122,82.8,63,85,74.1,26,49,53.1,0,1.3,-1.3,8,17,9,0,36,Matches
492,Sofian Chakla,MAR,DF,Villarreal,La Liga,26,1993,0.1,4,7,57.1,99,41,1,1,100.0,1,1,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
493,Sofian Chakla,MAR,DF,Getafe,La Liga,26,1993,10.0,128,207,61.8,2599,881,41,54,75.9,62,82,75.6,22,63,34.9,0,0.1,-0.1,1,9,0,0,17,Matches
494,Aníbal Chalá,ECU,DF,Dijon,Ligue 1,24,1996,8.3,301,393,76.6,4901,2358,149,167,89.2,124,163,76.1,20,44,45.5,0,0.2,-0.2,4,18,2,1,29,Matches
495,Trevoh Chalobah,ENG,"DF,MF",Lorient,Ligue 1,21,1999,24.9,1035,1202,86.1,19560,5263,409,449,91.1,476,531,89.6,132,185,71.4,2,0.9,1.1,7,66,3,0,62,Matches
496,Calum Chambers,ENG,DF,Arsenal,Premier League,25,1995,8.4,462,575,80.3,8301,2388,206,231,89.2,204,241,84.6,47,85,55.3,2,1.1,0.9,11,24,9,5,23,Matches
497,Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,30,1990,4.8,153,214,71.5,2681,1166,73,85,85.9,63,91,69.2,15,30,50.0,0,0.3,-0.3,4,14,5,1,26,Matches
498,Kwon Chang-hoon,KOR,"MF,FW",Freiburg,Bundesliga,26,1994,2.4,54,71,76.1,871,206,32,36,88.9,17,22,77.3,4,9,44.4,0,0.0,0.0,1,3,0,0,7,Matches
499,Gaëtan Charbonnier,FRA,"MF,FW",Brest,Ligue 1,31,1988,17.4,548,698,78.5,8963,1996,275,324,84.9,212,268,79.1,38,63,60.3,1,3.1,-2.1,22,38,20,4,50,Matches
500,Brendan Chardonnet,FRA,DF,Brest,Ligue 1,25,1994,30.2,1372,1633,84.0,33190,11429,331,361,91.7,689,740,93.1,344,512,67.2,1,1.0,0.0,7,105,18,3,90,Matches
501,Xavier Chavalerin,FRA,MF,Reims,Ligue 1,29,1991,28.3,870,1037,83.9,16109,4733,408,458,89.1,334,381,87.7,114,173,65.9,3,2.5,0.5,22,70,11,3,71,Matches
502,Pape Cheikh Diop,SEN,MF,Dijon,Ligue 1,22,1997,12.1,535,612,87.4,10055,2152,201,232,86.6,262,280,93.6,62,85,72.9,0,0.7,-0.7,9,37,6,0,42,Matches
503,Chema,ESP,"DF,MF",Getafe,La Liga,28,1992,6.2,94,157,59.9,2358,997,24,37,64.9,40,62,64.5,29,55,52.7,0,0.1,-0.1,1,14,0,0,11,Matches
504,Rayan Cherki,FRA,"FW,MF",Lyon,Ligue 1,16,2003,7.8,280,351,79.8,4780,1147,153,175,87.4,89,118,75.4,32,41,78.0,3,2.1,0.9,15,17,11,2,26,Matches
505,Denis Cheryshev,RUS,MF,Valencia,La Liga,29,1990,12.2,209,338,61.8,3793,1255,100,127,78.7,82,134,61.2,25,50,50.0,3,2.4,0.6,15,20,15,6,36,Matches
506,Giorgio Chiellini,ITA,DF,Juventus,Serie A,35,1984,15.4,1004,1093,91.9,22079,6173,243,250,97.2,576,601,95.8,177,225,78.7,1,0.0,1.0,1,75,2,0,52,Matches
507,Federico Chiesa,ITA,DF,Fiorentina,Serie A,22,1997,2.7,91,118,77.1,1795,588,44,50,88.0,30,38,78.9,16,23,69.6,1,0.8,0.2,5,6,6,5,5,Matches
508,Federico Chiesa,ITA,"MF,DF",Juventus,Serie A,22,1997,24.6,626,808,77.5,11214,3484,303,354,85.6,235,294,79.9,77,117,65.8,8,6.5,1.5,45,45,41,17,82,Matches
509,Ben Chilwell,ENG,DF,Chelsea,Premier League,23,1996,25.4,1419,1806,78.6,24038,8064,710,781,90.9,557,684,81.4,122,262,46.6,5,2.8,2.2,30,87,26,11,127,Matches
510,Vlad Chiricheș,ROU,DF,Sassuolo,Serie A,30,1989,20.4,1494,1598,93.5,28946,7925,539,566,95.2,768,805,95.4,173,204,84.8,1,0.7,0.3,7,65,2,0,41,Matches
511,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,23,1997,25.3,1040,1235,84.2,19622,4743,420,465,90.3,470,526,89.4,127,200,63.5,2,1.2,0.8,17,120,14,2,98,Matches
512,Tahith Chong,NED,"FW,MF",Werder Bremen,Bundesliga,20,1999,4.3,86,136,63.2,1383,469,50,69,72.5,23,36,63.9,9,14,64.3,1,0.5,0.5,5,7,3,2,7,Matches
513,Joris Chotard,FRA,MF,Montpellier,Ligue 1,18,2001,12.9,274,381,71.9,5556,1735,117,147,79.6,102,132,77.3,51,89,57.3,0,0.4,-0.4,7,22,4,2,24,Matches
514,Hamza Choudhury,ENG,MF,Leicester City,Premier League,22,1997,3.5,190,235,80.9,3682,616,73,92,79.3,89,102,87.3,25,34,73.5,0,0.0,0.0,0,13,0,0,8,Matches
515,Mounir Chouiar,FRA,"FW,MF",Dijon,Ligue 1,21,1999,14.3,395,523,75.5,6808,1944,212,251,84.5,121,148,81.8,54,93,58.1,2,2.0,0.0,27,21,9,0,40,Matches
516,Andreas Christensen,DEN,DF,Chelsea,Premier League,24,1996,15.2,1011,1089,92.8,21334,5754,295,316,93.4,551,578,95.3,158,183,86.3,0,0.4,-0.4,6,44,3,0,46,Matches
517,Carney Chukwuemeka,ENG,"FW,MF",Aston Villa,Premier League,16,2004,0.2,5,8,62.5,88,10,3,3,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
518,Samuel Chukwueze,NGA,"MF,FW",Villarreal,La Liga,21,1999,15.2,397,532,74.6,6638,1586,189,228,82.9,175,227,77.1,26,52,50.0,2,2.6,-0.6,28,16,30,6,47,Matches
519,Darko Churlinov,MKD,"DF,FW",Stuttgart,Bundesliga,20,2000,2.4,81,99,81.8,1239,325,45,49,91.8,29,35,82.9,6,12,50.0,1,0.4,0.6,2,1,6,1,10,Matches
520,Víctor Chust,ESP,DF,Real Madrid,La Liga,20,2000,1.1,65,70,92.9,1454,434,14,15,93.3,39,39,100.0,11,15,73.3,0,0.0,0.0,0,5,0,0,2,Matches
521,Sébastien Cibois,FRA,GK,Brest,Ligue 1,22,1998,3.0,64,90,71.1,1994,1139,8,8,100.0,28,29,96.6,28,53,52.8,0,0.0,0.0,0,1,0,0,1,Matches
522,Cifu,ESP,DF,Elche,La Liga,29,1990,5.0,162,219,74.0,2697,985,82,93,88.2,59,81,72.8,17,30,56.7,0,0.0,0.0,0,8,0,0,8,Matches
523,Alberto Cifuentes,ESP,GK,Cádiz,La Liga,41,1979,2.0,31,69,44.9,1673,1368,1,1,100.0,3,3,100.0,27,65,41.5,0,0.0,0.0,1,1,0,0,0,Matches
524,Luca Cigarini,ITA,MF,Crotone,Serie A,34,1986,10.3,625,748,83.6,13470,4538,217,237,91.6,275,310,88.7,124,180,68.9,0,1.2,-1.2,16,82,8,0,70,Matches
525,Jasper Cillessen,NED,GK,Valencia,La Liga,31,1989,10.0,188,317,59.3,6614,4602,40,40,100.0,54,55,98.2,90,218,41.3,0,0.0,0.0,0,4,0,0,0,Matches
526,Antonio Cioffi,ITA,FW,Napoli,Serie A,17,2002,0.1,10,11,90.9,130,13,7,7,100.0,3,3,100.0,0,0,0.0,0,0.1,-0.1,1,0,1,0,1,Matches
527,Tim Civeja,GER,"MF,DF",Augsburg,Bundesliga,18,2002,0.4,16,24,66.7,306,88,8,12,66.7,3,6,50.0,5,5,100.0,0,0.0,0.0,0,1,0,0,2,Matches
528,Ciaran Clark,IRL,DF,Newcastle Utd,Premier League,30,1989,21.0,620,747,83.0,12686,3922,198,227,87.2,312,345,90.4,102,157,65.0,0,0.1,-0.1,2,35,2,0,35,Matches
529,Alexis Claude-Maurice,FRA,"MF,FW",Nice,Ligue 1,22,1998,21.2,619,765,80.9,10392,2074,316,358,88.3,224,269,83.3,59,103,57.3,5,3.1,1.9,34,47,10,1,51,Matches
530,Jonathan Clauss,FRA,DF,Lens,Ligue 1,27,1992,28.0,1015,1403,72.3,18840,6896,431,490,88.0,454,583,77.9,122,292,41.8,6,6.1,-0.1,52,62,49,23,124,Matches
531,Carlos Clerc,ESP,DF,Levante,La Liga,28,1992,30.9,1304,1698,76.8,22889,9666,666,746,89.3,500,613,81.6,126,278,45.3,3,3.3,-0.3,23,96,39,16,160,Matches
532,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,29,1991,12.7,437,569,76.8,6908,2752,232,258,89.9,164,205,80.0,30,75,40.0,1,0.4,0.6,4,20,13,6,25,Matches
533,Conor Coady,ENG,DF,Wolves,Premier League,27,1993,36.7,1576,1789,88.1,40606,14307,287,303,94.7,811,847,95.7,469,617,76.0,0,0.1,-0.1,2,78,1,0,59,Matches
534,Marcus Coco,FRA,"MF,FW",Nantes,Ligue 1,24,1996,16.4,417,609,68.5,6557,1666,220,274,80.3,134,191,70.2,36,83,43.4,2,1.5,0.5,16,29,12,5,42,Matches
535,Coke,ESP,DF,Levante,La Liga,33,1987,9.3,361,443,81.5,6986,2644,145,164,88.4,162,185,87.6,52,78,66.7,0,0.3,-0.3,4,19,11,1,41,Matches
536,Séamus Coleman,IRL,"DF,MF",Everton,Premier League,31,1988,17.9,624,766,81.5,11157,4088,298,328,90.9,249,293,85.0,72,119,60.5,3,1.9,1.1,18,32,14,5,43,Matches
537,Ebrima Colley,GAM,"FW,MF",Hellas Verona,Serie A,20,2000,8.2,196,267,73.4,2928,563,118,142,83.1,63,86,73.3,9,16,56.3,0,0.7,-0.7,6,11,8,1,16,Matches
538,Omar Colley,GAM,DF,Sampdoria,Serie A,27,1992,28.8,1087,1325,82.0,24424,8519,269,314,85.7,592,642,92.2,214,348,61.5,0,0.0,0.0,1,96,0,0,76,Matches
539,Simone Colombi,ITA,GK,Parma,Serie A,29,1991,2.0,35,50,70.0,1223,1027,7,7,100.0,8,9,88.9,18,32,56.3,0,0.0,0.0,0,0,0,0,0,Matches
540,Lorenzo Colombo,ITA,FW,Milan,Serie A,18,2002,1.0,8,14,57.1,83,22,5,7,71.4,0,0,0.0,1,2,50.0,0,0.0,0.0,0,0,1,1,0,Matches
541,Racine Coly,SEN,DF,Nice,Ligue 1,24,1995,0.2,18,20,90.0,161,47,16,16,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches
542,Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,24,1996,19.5,680,856,79.4,12068,2221,337,391,86.2,261,322,81.1,75,107,70.1,10,6.6,3.4,43,20,39,16,63,Matches
543,Daniel Congré,FRA,DF,Montpellier,Ligue 1,35,1985,36.6,1296,1482,87.4,28435,10553,352,381,92.4,671,728,92.2,257,335,76.7,0,0.1,-0.1,4,75,1,0,82,Matches
544,Aaron Connolly,IRL,FW,Brighton,Premier League,20,2000,8.8,79,101,78.2,1147,165,45,56,80.4,26,30,86.7,4,5,80.0,1,0.2,0.8,5,2,1,0,3,Matches
545,Andrea Consigli,ITA,GK,Sassuolo,Serie A,33,1987,37.0,1104,1358,81.3,26799,14945,321,323,99.4,432,438,98.6,324,569,56.9,0,0.0,0.0,0,11,0,0,2,Matches
546,Andrea Conti,ITA,DF,Milan,Serie A,26,1994,0.3,21,25,84.0,416,151,6,7,85.7,14,16,87.5,1,2,50.0,0,0.1,-0.1,1,2,1,0,4,Matches
547,Andrea Conti,ITA,DF,Parma,Serie A,26,1994,9.0,377,452,83.4,7171,2944,140,153,91.5,183,209,87.6,46,72,63.9,0,0.4,-0.4,7,30,10,4,48,Matches
548,Liam Cooper,SCO,DF,Leeds United,Premier League,28,1991,24.3,1363,1555,87.7,31575,9368,291,312,93.3,784,821,95.5,285,407,70.0,0,0.0,0.0,0,78,3,0,67,Matches
549,Francis Coquelin,FRA,MF,Villarreal,La Liga,29,1991,8.2,461,524,88.0,7869,1564,229,255,89.8,189,205,92.2,34,44,77.3,0,0.5,-0.5,3,28,4,0,22,Matches
550,Theo Corbeanu,CAN,FW,Wolves,Premier League,18,2002,0.1,3,3,100.0,53,28,1,1,100.0,0,0,0.0,1,1,100.0,0,0.1,-0.1,1,0,1,1,0,Matches
551,Sébastien Corchia,FRA,DF,Nantes,Ligue 1,29,1990,23.0,663,969,68.4,11784,6238,301,343,87.8,282,374,75.4,65,193,33.7,1,1.6,-0.6,24,45,13,7,75,Matches
552,Alex Cordaz,ITA,GK,Crotone,Serie A,37,1983,36.0,1042,1446,72.1,29331,18966,240,241,99.6,415,428,97.0,381,770,49.5,0,0.0,0.0,1,10,0,0,1,Matches
553,Iñigo Córdoba,ESP,"FW,MF",Athletic Club,La Liga,23,1997,1.1,17,36,47.2,220,97,9,17,52.9,6,10,60.0,0,6,0.0,0,0.0,0.0,0,0,1,0,2,Matches
554,Iñigo Córdoba,ESP,MF,Alavés,La Liga,23,1997,2.4,49,77,63.6,871,367,18,26,69.2,20,29,69.0,7,13,53.8,0,0.3,-0.3,3,1,4,2,5,Matches
555,Jhon Córdoba,COL,FW,Hertha BSC,Bundesliga,27,1993,17.1,244,320,76.3,3999,498,123,149,82.6,83,110,75.5,26,31,83.9,1,1.8,-0.8,23,11,5,3,14,Matches
556,Sergio Córdova,VEN,"FW,MF",Arminia,Bundesliga,22,1997,12.1,180,267,67.4,2619,646,105,130,80.8,52,80,65.0,13,26,50.0,1,1.2,-0.2,15,18,2,0,19,Matches
557,Jack Cork,ENG,MF,Burnley,Premier League,31,1989,15.0,412,499,82.6,6579,1282,214,243,88.1,147,162,90.7,36,61,59.0,0,0.3,-0.3,6,39,3,0,26,Matches
558,Andreas Cornelius,DEN,FW,Parma,Serie A,27,1993,21.1,409,585,69.9,6425,1080,225,300,75.0,133,188,70.7,37,55,67.3,4,2.9,1.1,24,29,11,2,39,Matches
559,Maxwel Cornet,CIV,"DF,FW",Lyon,Ligue 1,23,1996,27.2,1329,1673,79.4,22341,8799,697,768,90.8,511,661,77.3,106,191,55.5,5,3.4,1.6,25,79,23,12,115,Matches
560,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,25,1995,26.6,706,910,77.6,10112,2261,422,499,84.6,202,253,79.8,43,88,48.9,8,5.7,2.3,34,46,35,3,69,Matches
561,Joaquín Correa,ARG,FW,Lazio,Serie A,25,1994,21.5,596,725,82.2,9663,1787,312,354,88.1,198,235,84.3,62,84,73.8,3,2.0,1.0,28,39,20,0,53,Matches
562,Rober Correa,ESP,DF,Eibar,La Liga,27,1992,12.6,428,610,70.2,8274,3270,180,216,83.3,176,250,70.4,64,124,51.6,2,1.0,1.0,10,39,10,8,30,Matches
563,Félix Correia,POR,MF,Juventus,Serie A,19,2001,0.1,7,8,87.5,97,37,3,4,75.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0,1,0,0,1,Matches
564,Thierry Correia,POR,DF,Valencia,La Liga,21,1999,23.7,919,1211,75.9,17613,6511,385,444,86.7,392,489,80.2,127,221,57.5,1,1.3,-0.3,16,46,24,15,57,Matches
565,Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,36,1983,6.0,249,287,86.8,6303,3350,59,59,100.0,113,114,99.1,71,108,65.7,0,0.0,0.0,0,1,0,0,0,Matches
566,Danny da Costa,GER,DF,Mainz 05,Bundesliga,27,1993,13.4,311,513,60.6,6832,3670,96,128,75.0,156,243,64.2,58,123,47.2,1,1.7,-0.7,14,29,21,7,57,Matches
567,Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,27,1993,1.2,34,49,69.4,554,294,16,19,84.2,15,21,71.4,3,6,50.0,0,0.0,0.0,0,2,3,1,6,Matches
568,David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,19,2001,1.8,45,60,75.0,878,198,13,18,72.2,24,25,96.0,5,11,45.5,1,0.1,0.9,3,5,2,0,6,Matches
569,Diego Costa,ESP,FW,Atlético Madrid,La Liga,31,1988,2.3,56,73,76.7,801,77,39,48,81.3,11,15,73.3,4,4,100.0,0,0.3,-0.3,4,1,4,0,4,Matches
570,Douglas Costa,BRA,"FW,MF",Bayern Munich,Bundesliga,29,1990,3.6,129,187,69.0,2505,808,55,69,79.7,44,57,77.2,26,42,61.9,1,0.7,0.3,6,14,7,1,20,Matches
571,Douglas Costa,BRA,"MF,FW",Juventus,Serie A,29,1990,0.5,20,27,74.1,304,85,12,14,85.7,7,9,77.8,1,3,33.3,0,0.0,0.0,1,1,0,0,1,Matches
572,Hélder Costa,POR,"MF,FW",Leeds United,Premier League,26,1994,12.8,242,328,73.8,3298,882,158,180,87.8,68,93,73.1,7,23,30.4,3,0.9,2.1,9,7,13,4,16,Matches
573,Jaume Costa,ESP,"DF,MF",Villarreal,La Liga,32,1988,3.9,200,237,84.4,3693,1366,91,102,89.2,88,100,88.0,20,31,64.5,1,0.3,0.7,5,9,5,1,9,Matches
574,Charles Costes,FRA,MF,Dijon,Ligue 1,17,2002,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
575,Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33,1987,38.0,926,1326,69.8,31318,21542,128,128,100.0,361,370,97.6,434,825,52.6,0,0.0,0.0,0,13,1,0,1,Matches
576,Vladimír Coufal,CZE,DF,West Ham,Premier League,27,1992,33.9,1199,1692,70.9,20544,10137,575,654,87.9,486,661,73.5,118,291,40.5,7,4.6,2.4,46,82,40,23,119,Matches
577,Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,28,1991,10.9,169,271,62.4,2227,507,106,160,66.3,43,69,62.3,6,14,42.9,1,0.5,0.5,8,15,4,1,18,Matches
578,Lassana Coulibaly,MLI,"MF,FW",Angers,Ligue 1,24,1996,18.7,579,681,85.0,11006,2453,242,262,92.4,245,277,88.4,83,109,76.1,1,1.3,-0.3,8,52,3,1,44,Matches
579,Mamadou Coulibaly,SEN,MF,Udinese,Serie A,21,1999,2.0,63,82,76.8,1169,322,32,37,86.5,20,25,80.0,9,12,75.0,0,0.1,-0.1,2,10,3,1,9,Matches
580,Senou Coulibaly,MLI,DF,Dijon,Ligue 1,25,1994,21.5,813,980,83.0,18439,6464,196,212,92.5,428,475,90.1,181,274,66.1,0,0.0,0.0,0,44,0,0,38,Matches
581,Tanguy Coulibaly,FRA,"DF,FW",Stuttgart,Bundesliga,19,2001,16.7,347,469,74.0,5363,1365,193,239,80.8,118,148,79.7,22,45,48.9,1,1.8,-0.8,14,10,13,7,34,Matches
582,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,28,1992,38.0,1076,1307,82.3,28720,14815,163,165,98.8,617,619,99.7,292,518,56.4,0,0.0,0.0,0,12,1,0,0,Matches
583,Philippe Coutinho,BRA,"MF,FW",Barcelona,La Liga,28,1992,7.3,454,523,86.8,6951,1476,257,280,91.8,158,179,88.3,29,48,60.4,2,0.9,1.1,7,40,15,2,44,Matches
584,Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,21,1999,15.2,487,610,79.8,9647,4271,181,207,87.4,233,275,84.7,70,111,63.1,0,0.4,-0.4,6,37,7,2,45,Matches
585,Alessio Cragno,ITA,GK,Cagliari,Serie A,26,1994,34.0,664,962,69.0,20152,14219,175,175,100.0,205,206,99.5,276,570,48.4,0,0.2,-0.2,1,4,0,0,0,Matches
586,Gian Crespi,ITA,GK,Crotone,Serie A,19,2001,1.0,36,42,85.7,874,633,14,14,100.0,13,14,92.9,8,13,61.5,0,0.0,0.0,0,0,0,0,0,Matches
587,Aaron Cresswell,ENG,DF,West Ham,Premier League,30,1989,35.2,1541,2060,74.8,30884,14764,655,735,89.1,616,736,83.7,252,518,48.6,8,5.9,2.1,60,149,24,17,120,Matches
588,Domenico Criscito,ITA,DF,Genoa,Serie A,33,1986,19.2,857,1052,81.5,18219,6711,277,309,89.6,434,487,89.1,140,241,58.1,0,0.4,-0.4,6,75,9,1,80,Matches
589,Bryan Cristante,ITA,"DF,MF",Roma,Serie A,25,1995,23.9,1276,1529,83.5,28442,9146,379,426,89.0,634,687,92.3,257,388,66.2,3,0.9,2.1,15,123,21,3,120,Matches
590,Giovanni Crociata,ITA,"DF,MF",Crotone,Serie A,22,1997,0.3,11,16,68.8,180,73,5,5,100.0,6,9,66.7,0,1,0.0,0,0.2,-0.2,1,2,1,1,2,Matches
591,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,28,1992,21.8,606,870,69.7,11287,5974,261,308,84.7,265,362,73.2,74,162,45.7,0,0.5,-0.5,12,45,13,7,55,Matches
592,Juan Cuadrado,COL,"DF,MF",Juventus,Serie A,32,1988,24.2,1491,1798,82.9,30138,8831,522,591,88.3,728,799,91.1,229,371,61.7,10,7.2,2.8,58,76,37,8,150,Matches
593,Adrián Cubas,PAR,MF,Nîmes,Ligue 1,24,1996,24.9,853,1031,82.7,17754,4666,295,340,86.8,387,440,88.0,154,216,71.3,0,0.6,-0.6,8,54,6,0,68,Matches
