Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
108,Angeliño,ESP,"DF,FW",RB Leipzig,Bundesliga,23,1997,24.0,1059,1490,71.1,19377,7278,489,574,85.2,430,562,76.5,126,300,42.0,4,5.0,-1.0,56,68,60,27,111,Matches
109,Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,0.1,3,3,100.0,56,22,0,0,0.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,Matches
110,Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
111,Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,21.6,684,1008,67.9,14437,6071,272,312,87.2,276,365,75.6,129,299,43.1,6,5.0,1.0,35,62,40,32,78,Matches
112,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,30.1,1827,2073,88.1,38588,13005,501,551,90.9,1037,1100,94.3,274,389,70.4,1,0.4,0.6,7,68,9,2,94,Matches
113,José Antonio Miranda,EQG,"MF,DF",Getafe,La Liga,22,1998,0.3,9,16,56.3,92,11,9,11,81.8,0,3,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
114,Michail Antonio,ENG,FW,West Ham,Premier League,30,1990,21.9,326,490,66.5,5008,924,189,259,73.0,90,134,67.2,30,52,57.7,5,2.3,2.7,23,22,12,2,25,Matches
115,Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,2.6,106,119,89.1,2398,834,32,34,94.1,44,47,93.6,29,37,78.4,0,0.0,0.0,1,4,0,0,5,Matches
116,Houssem Aouar,FRA,"MF,FW",Lyon,Ligue 1,22,1998,19.8,852,1009,84.4,13252,3622,462,511,90.4,295,341,86.5,62,90,68.9,3,4.0,-1.0,37,87,25,1,98,Matches
117,Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,Ligue 1,18,2002,19.2,594,827,71.8,11181,3612,295,346,85.3,177,231,76.6,104,210,49.5,5,5.1,-0.1,58,55,27,8,59,Matches
118,Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,1992,17.3,634,861,73.6,10582,5626,323,368,87.8,251,344,73.0,56,123,45.5,2,1.0,1.0,11,50,14,5,79,Matches
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,15,20,75.0,312,146,2,2,100.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0,1,0,0,1,Matches
120,Mauro Arambarri,URU,MF,Getafe,La Liga,24,1995,33.1,754,1076,70.1,17074,4295,251,303,82.8,295,384,76.8,190,348,54.6,0,2.1,-2.1,21,83,26,10,88,Matches
121,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,18.5,1003,1160,86.5,18143,5425,424,464,91.4,451,492,91.7,111,166,66.9,0,0.8,-0.8,15,109,15,0,103,Matches
122,Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,16.6,463,611,75.8,9038,2437,195,238,81.9,187,229,81.7,71,108,65.7,2,2.6,-0.6,22,45,23,3,64,Matches
123,Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,27.0,1321,1555,85.0,29692,8417,310,343,90.4,744,804,92.5,258,382,67.5,0,0.7,-0.7,4,81,3,1,72,Matches
124,Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,16.8,987,1068,92.4,19975,4459,302,316,95.6,552,578,95.5,125,162,77.2,1,0.1,0.9,2,48,0,0,26,Matches
125,Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,31.2,1444,1874,77.1,34728,12168,423,470,90.0,612,718,85.2,392,645,60.8,1,0.9,0.1,12,158,15,6,149,Matches
126,Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36.0,737,1001,73.6,20163,12032,221,221,100.0,251,254,98.8,248,509,48.7,0,0.0,0.0,0,6,0,0,0,Matches
127,Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1992,1.0,47,55,85.5,915,324,17,21,81.0,25,28,89.3,5,6,83.3,0,0.0,0.0,0,3,0,0,4,Matches
128,Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,1994,3.3,40,62,64.5,509,84,27,38,71.1,11,17,64.7,0,3,0.0,0,0.2,-0.2,2,0,1,0,4,Matches
129,Unai Arietaleanizbeaskoa,ESP,"FW,MF",Eibar,La Liga,21,1999,0.5,4,7,57.1,51,15,2,4,50.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,Matches
130,Nicolò Armini,ITA,DF,Lazio,Serie A,19,2001,0.1,3,4,75.0,39,24,3,3,100.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches
131,Stuart Armstrong,SCO,MF,Southampton,Premier League,28,1992,30.7,1002,1258,79.7,16614,4712,515,604,85.3,383,444,86.3,85,127,66.9,5,2.7,2.3,34,90,40,5,116,Matches
132,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,1994,28.7,1323,1652,80.1,30923,8729,382,434,88.0,567,656,86.4,350,511,68.5,6,4.8,1.2,50,132,26,3,157,Matches
133,Toluwalas Arokodare,NGA,FW,Köln,Bundesliga,19,2000,1.2,27,36,75.0,501,39,13,18,72.2,11,13,84.6,3,4,75.0,0,0.0,0.0,1,2,1,0,1,Matches
134,Sergio Arribas,ESP,"FW,DF",Real Madrid,La Liga,18,2001,1.5,76,92,82.6,1168,317,38,43,88.4,29,34,85.3,4,5,80.0,0,0.0,0.0,1,3,4,1,9,Matches
135,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,6.5,198,243,81.5,5209,2622,49,51,96.1,89,89,100.0,60,103,58.3,0,0.0,0.0,0,3,0,0,1,Matches
136,Tolgay Arslan,GER,MF,Udinese,Serie A,29,1990,20.2,761,901,84.5,14451,2771,318,357,89.1,327,369,88.6,97,136,71.3,0,0.3,-0.3,8,56,16,3,51,Matches
137,Kwadwo Asamoah,GHA,"DF,MF",Cagliari,Serie A,31,1988,2.5,93,109,85.3,1855,507,35,38,92.1,40,45,88.9,17,24,70.8,0,0.0,0.0,0,8,2,0,7,Matches
138,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,8.5,294,353,83.3,5491,1450,130,144,90.3,116,136,85.3,41,58,70.7,0,0.2,-0.2,6,29,4,0,26,Matches
139,Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,1989,36.0,1033,1307,79.0,29726,17194,176,176,100.0,512,520,98.5,340,606,56.1,0,0.0,0.0,0,11,0,0,0,Matches
140,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,24,1996,20.8,808,1007,80.2,13286,3007,448,491,91.2,255,306,83.3,87,152,57.2,2,3.0,-1.0,36,45,38,10,75,Matches
141,Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,19,2001,1.1,8,19,42.1,138,69,5,10,50.0,2,3,66.7,1,4,25.0,0,0.0,0.0,0,1,0,0,1,Matches
142,Iago Aspas,ESP,FW,Celta Vigo,La Liga,32,1987,31.8,965,1254,77.0,15329,3590,523,641,81.6,306,382,80.1,92,124,74.2,13,8.3,4.7,60,59,52,5,116,Matches
143,Roger Assalé,CIV,"FW,MF",Dijon,Ligue 1,26,1993,9.2,126,183,68.9,2132,479,70,93,75.3,41,62,66.1,14,19,73.7,1,0.6,0.4,4,5,6,1,14,Matches
144,Miguel Atienza,ESP,MF,Eibar,La Liga,21,1999,9.3,270,336,80.4,4790,930,120,144,83.3,110,130,84.6,32,45,71.1,0,0.1,-0.1,2,29,4,1,20,Matches
145,Youcef Attal,ALG,"DF,MF",Nice,Ligue 1,24,1996,10.6,508,633,80.3,8305,2515,265,301,88.0,198,230,86.1,36,71,50.7,0,0.5,-0.5,5,24,12,7,41,Matches
146,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,31,1989,25.9,518,691,75.0,7883,1507,289,355,81.4,183,238,76.9,28,51,54.9,3,2.8,0.2,22,18,27,9,50,Matches
147,Emil Audero,ITA,GK,Sampdoria,Serie A,23,1997,37.0,874,1256,69.6,28376,16755,98,100,98.0,369,372,99.2,403,780,51.7,1,0.4,0.6,1,10,0,0,0,Matches
148,Tommaso Augello,ITA,DF,Sampdoria,Serie A,25,1994,35.7,1567,2046,76.6,27148,11188,708,791,89.5,704,879,80.1,132,288,45.8,3,3.1,-0.1,29,91,41,19,165,Matches
149,Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,23,1997,0.4,5,5,100.0,50,0,5,5,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
